[00:07.880 --> 00:08.880]  And we're back.
[44:04.040 --> 44:04.820]  in the 80s, there
[44:04.820 --> 44:05.380]  were four or five
[44:05.380 --> 44:05.900]  chase cards.
[44:06.120 --> 44:07.340]  This was right up
[44:07.340 --> 44:07.540]  there.
[44:07.760 --> 44:08.480]  I never had it.
[44:08.580 --> 44:09.740]  So I bought it
[44:09.740 --> 44:10.800]  when we were in
[44:10.800 --> 44:12.540]  Michigan at, like,
[44:12.560 --> 44:13.320]  an antique store.
[44:13.460 --> 44:14.320]  I bought it three
[44:14.320 --> 44:14.900]  years ago.
[44:14.980 --> 44:16.000]  Oh, three years ago.
[44:16.180 --> 44:17.060]  And then...
[44:17.060 --> 44:17.660]  So I've had it
[44:17.660 --> 44:18.160]  this whole time.
[44:18.300 --> 44:18.660]  Oh, wow.
[44:18.700 --> 44:19.300]  It's totally
[44:19.300 --> 44:20.180]  different to pull it.
[44:20.340 --> 44:20.980]  Totally different
[44:20.980 --> 44:21.680]  experience to pull it.
[44:21.800 --> 44:22.100]  That's awesome.
[44:22.120 --> 44:22.740]  I'm so glad we got
[44:22.740 --> 44:23.440]  to experience that
[44:23.440 --> 44:23.780]  with you.
[44:24.180 --> 44:25.340]  And then I recently
[44:25.340 --> 44:26.120]  discovered something,
[44:26.240 --> 44:26.740]  a new kind of
[44:26.740 --> 44:27.960]  collectible that I'm
[44:27.960 --> 44:28.640]  really excited about
[44:28.640 --> 44:29.100]  that I wanted to
[44:29.100 --> 44:30.820]  show you guys that I
[44:30.820 --> 44:31.420]  think maybe is an
[44:31.420 --> 44:32.000]  area we could get
[44:32.000 --> 44:32.180]  into.
[44:32.280 --> 44:32.700]  I don't think they
[44:32.700 --> 44:34.940]  still make it, but I
[44:34.940 --> 44:35.880]  just learned about,
[44:36.000 --> 44:37.600]  on Tiki Talk, I
[44:37.600 --> 44:38.140]  learned about this
[44:38.140 --> 44:38.980]  thing called
[44:40.200 --> 44:40.520]  Celebriducks.
[44:41.160 --> 44:41.560]  Are you guys
[44:41.560 --> 44:42.440]  familiar with...
[44:42.440 --> 44:44.120]  You got a Lamar
[44:44.120 --> 44:45.260]  Odom Celebriduck?
[44:45.660 --> 44:46.060]  Celebriduck.
[44:46.220 --> 44:47.400]  I had to pay like
[44:47.400 --> 44:48.880]  25 bucks for this
[44:48.880 --> 44:49.060]  thing.
[44:49.240 --> 44:49.800]  That sucks.
[44:49.860 --> 44:50.340]  And I bought
[44:50.340 --> 44:51.160]  Lamar Odom because it
[44:51.160 --> 44:51.820]  was literally the
[44:51.820 --> 44:52.620]  cheapest one they
[44:52.620 --> 44:52.840]  sold.
[44:53.020 --> 44:53.880]  Lamar Odom is the
[44:53.880 --> 44:54.840]  worst one to get.
[44:55.000 --> 44:55.760]  The Allen Iverson
[44:55.760 --> 44:56.220]  one was very
[44:56.220 --> 44:56.580]  expensive.
[44:57.740 --> 44:58.540]  Clippers Lamar
[44:58.540 --> 44:59.280]  Odom Celebriduck.
[44:59.280 --> 44:59.660]  Yeah, you don't
[44:59.660 --> 45:00.240]  even get Lakers
[45:00.240 --> 45:00.800]  Lamar Odom.
[45:01.840 --> 45:04.020]  So anyway, if you're
[45:04.020 --> 45:05.080]  into Celebriducks,
[45:05.140 --> 45:05.620]  let me know.
[45:05.720 --> 45:06.260]  I think we could
[45:06.260 --> 45:06.840]  start our...
[45:06.840 --> 45:07.960]  He'll go up there
[45:07.960 --> 45:08.340]  somewhere.
[45:08.500 --> 45:09.040]  We'll have a little
[45:09.040 --> 45:09.620]  Celebriduck.
[45:09.900 --> 45:11.100]  There's a museum of
[45:11.100 --> 45:11.640]  Celebriducks.
[45:12.120 --> 45:12.420]  Disgusting.
[45:12.700 --> 45:13.280]  Where was it?
[45:13.400 --> 45:14.080]  It was in Connecticut
[45:14.080 --> 45:14.540]  or something?
[45:14.780 --> 45:15.100]  Somewhere like that.
[45:15.200 --> 45:15.400]  Yeah.
[45:15.800 --> 45:16.380]  Somewhere where
[45:16.380 --> 45:16.960]  there's nothing else
[45:16.960 --> 45:18.200]  to do but collect
[45:18.200 --> 45:18.940]  Celebriducks.
[45:19.100 --> 45:19.720]  But it's going to
[45:19.720 --> 45:20.400]  get us there.
[45:20.880 --> 45:21.760]  Fucking cool, I'll
[45:21.760 --> 45:22.100]  tell you that.
[45:22.140 --> 45:22.700]  It's disgusting.
[45:23.840 --> 45:24.480]  We're going to end
[45:24.480 --> 45:25.180]  on these Lorikana
[45:25.180 --> 45:26.300]  cards, so just tease
[45:26.300 --> 45:26.780]  that a little bit.
[45:26.780 --> 45:27.720]  In the meantime...
[45:27.720 --> 45:28.000]  About ten more
[45:28.000 --> 45:28.540]  minutes we'll have
[45:30.300 --> 45:31.180]  Lorikana, which I
[45:31.180 --> 45:31.940]  just heard about last
[45:31.940 --> 45:32.120]  week.
[45:32.720 --> 45:33.600]  NBA Basketball
[45:33.600 --> 45:34.160]  Upper Deck.
[45:34.360 --> 45:34.620]  What year?
[45:35.060 --> 45:36.480]  91-92 edition.
[45:36.700 --> 45:37.900]  I bought this in
[45:37.900 --> 45:39.360]  Marine City, Michigan.
[45:39.580 --> 45:39.980]  Yeah.
[45:40.340 --> 45:41.000]  When we were on
[45:41.000 --> 45:41.820]  vacation this summer.
[45:42.520 --> 45:42.680]  Shout out
[45:42.680 --> 45:43.020]  Little Indian
[45:43.020 --> 45:43.060]  Store.
[45:43.060 --> 45:43.480]  Bad Boys
[45:43.480 --> 45:44.040]  Pistons.
[45:46.040 --> 45:47.480]  Let's see what we
[45:47.480 --> 45:47.760]  get.
[45:47.860 --> 45:48.960]  We get Kendall
[45:48.960 --> 45:49.440]  Gill.
[45:50.220 --> 45:51.600]  We have Rick
[45:51.600 --> 45:52.700]  Mahorn.
[45:53.680 --> 45:54.660]  We have Rich
[45:54.660 --> 45:54.960]  King.
[45:56.840 --> 45:57.220]  Great name.
[45:57.260 --> 45:59.060]  Lance Blanks.
[45:59.760 --> 46:00.180]  Oh, Ronnie
[46:00.180 --> 46:00.540]  Cycli.
[46:01.700 --> 46:01.920]  Vinnie
[46:01.920 --> 46:02.920]  the Microwave
[46:02.920 --> 46:03.340]  Johnson.
[46:03.480 --> 46:03.840]  There you go.
[46:03.920 --> 46:04.880]  There's a bad
[46:04.880 --> 46:05.440]  boy for you.
[46:05.520 --> 46:05.760]  Now he's
[46:05.760 --> 46:06.020]  cooking.
[46:06.160 --> 46:06.660]  Dude, they
[46:06.660 --> 46:07.200]  called this guy
[46:07.700 --> 46:08.780]  Vinnie the Microwave
[46:08.780 --> 46:09.500]  Johnson because he
[46:09.500 --> 46:10.280]  heated up so fast.
[46:10.720 --> 46:11.040]  He was like a
[46:11.040 --> 46:11.320]  microwave.
[46:11.540 --> 46:12.400]  He heated up from
[46:12.400 --> 46:12.880]  the inside out.
[46:12.940 --> 46:13.700]  He played off the
[46:13.700 --> 46:13.900]  bench.
[46:14.040 --> 46:14.700]  He was like their
[46:14.700 --> 46:15.180]  sixth man.
[46:15.300 --> 46:16.060]  He was fucking
[46:16.060 --> 46:16.620]  awesome.
[46:16.880 --> 46:17.420]  Really cool dude.
[46:17.760 --> 46:18.640]  Kevin Willis.
[46:19.240 --> 46:19.680]  Another great
[46:19.680 --> 46:20.120]  player.
[46:21.000 --> 46:21.620]  Here we have
[46:21.620 --> 46:22.760]  John Consack.
[46:24.320 --> 46:25.080]  Probably the most
[46:25.080 --> 46:25.660]  he ever did in the
[46:25.660 --> 46:27.000]  NBA was to die for
[46:27.000 --> 46:27.340]  that ball.
[46:28.500 --> 46:28.880]  Randolph
[46:29.800 --> 46:30.320]  Keyes.
[46:31.740 --> 46:32.260]  Anthony
[46:32.260 --> 46:33.220]  Bonner.
[46:33.820 --> 46:34.760]  His name is a
[46:34.760 --> 46:35.280]  body part.
[46:37.320 --> 46:37.840]  Travis
[46:37.840 --> 46:38.460]  Mays.
[46:38.820 --> 46:40.040]  Kind of a
[46:40.040 --> 46:40.440]  ballerina
[46:40.440 --> 46:40.960]  situation.
[46:41.220 --> 46:41.540]  Buck
[46:41.540 --> 46:42.260]  Johnson.
[46:42.380 --> 46:42.740]  That's pretty
[46:42.740 --> 46:43.020]  good, too.
[46:43.060 --> 46:43.520]  Oh, it is
[46:43.900 --> 46:44.160]  ballerina.
[46:45.500 --> 46:46.020]  Sleep
[46:46.020 --> 46:46.600]  that sucker.
[46:46.980 --> 46:47.280]  I really
[46:47.280 --> 46:48.540]  recommend, if
[46:48.540 --> 46:49.180]  you're not a Celtics
[46:49.180 --> 46:49.640]  fan, I really
[46:49.640 --> 46:50.280]  recommend Winning
[46:50.280 --> 46:50.480]  Time.
[46:51.360 --> 46:52.080]  Great show.
[46:52.080 --> 46:53.160]  Yeah, Emily's
[46:53.160 --> 46:53.900]  dad keeps trying to
[46:53.900 --> 46:54.460]  get me...
[46:54.460 --> 46:55.100]  Yeah, no, you
[46:55.100 --> 46:56.380]  shouldn't watch it.
[46:56.780 --> 46:57.200]  Is it because they
[46:57.200 --> 46:57.800]  just dunk on the
[46:57.800 --> 46:58.340]  Celtics all the
[46:58.340 --> 46:58.500]  time?
[46:58.620 --> 46:59.740]  Oh, they are...
[46:59.740 --> 47:00.320]  Which is funny
[47:00.320 --> 47:01.180]  because historically
[47:01.180 --> 47:01.800]  the Celtics have
[47:01.800 --> 47:02.220]  dunked on the
[47:02.220 --> 47:03.880]  Lakers over, and
[47:03.880 --> 47:06.340]  over, and over, and
[47:06.340 --> 47:08.980]  over, and over, and
[47:08.980 --> 47:12.080]  over, and over, and
[47:12.080 --> 47:14.160]  over, and over, and
[47:14.160 --> 47:17.700]  over, and over, and
[47:17.700 --> 47:19.420]  over, and over, and
[47:19.420 --> 47:19.440]  over, and over, and
[47:19.600 --> 47:20.520]  Twelve times?
[47:20.540 --> 47:20.880]  Seventeen
[47:20.880 --> 47:21.180]  times.
[47:21.220 --> 47:21.360]  Yeah.
[47:21.720 --> 47:22.060]  It's
[47:22.060 --> 47:22.180]  so funny.
[47:22.180 --> 47:22.600]  It is...
[47:23.780 --> 47:25.360]  It is so...
[47:25.360 --> 47:26.860]  It's so fun, the
[47:26.860 --> 47:27.680]  way that team is...
[47:27.680 --> 47:28.220]  Like, the Showtime
[47:28.220 --> 47:29.040]  Lakers are portrayed,
[47:29.180 --> 47:30.040]  but it's way
[47:30.040 --> 47:30.800]  funnier about how
[47:30.800 --> 47:31.360]  the Celtics are
[47:31.360 --> 47:31.580]  portrayed.
[47:31.940 --> 47:32.500]  We were talking
[47:32.500 --> 47:33.140]  about it when we
[47:33.140 --> 47:33.700]  did Animalist
[47:33.700 --> 47:34.360]  last week, and I
[47:34.360 --> 47:34.820]  was like, I think
[47:34.820 --> 47:35.260]  the only way you
[47:35.260 --> 47:35.680]  can make them
[47:35.680 --> 47:36.360]  bigger villains is
[47:36.360 --> 47:36.920]  if Larry Bird
[47:36.920 --> 47:37.780]  kicked a dog on
[47:37.780 --> 47:38.240]  his way to the
[47:38.660 --> 47:39.460]  basketball court.
[47:39.780 --> 47:40.800]  It is so
[47:40.800 --> 47:41.720]  fucking funny.
[47:42.040 --> 47:42.660]  It's the best.
[47:43.400 --> 47:44.300]  All right, 1990
[47:44.300 --> 47:44.720]  Tops.
[47:44.760 --> 47:45.220]  We're looking for
[47:45.220 --> 47:45.860]  Don Zimmers.
[47:46.000 --> 47:46.440]  Wee!
[47:46.440 --> 47:47.240]  Here's Jose Guzman.
[47:47.920 --> 47:49.340]  Here's Nick Leyva.
[47:49.400 --> 47:49.820]  That's a manager
[47:49.820 --> 47:50.280]  card, we'll
[47:50.280 --> 47:50.560]  slave it.
[47:50.880 --> 47:51.700]  Randy Velarde.
[47:52.740 --> 47:53.360]  Uh, ooh, Brett
[47:53.820 --> 47:54.640]  Saberhagen with the
[47:54.640 --> 47:54.900]  All right.
[47:54.900 --> 47:55.780]  All-star card.
[47:55.800 --> 47:56.460]  That's a...
[47:56.460 --> 47:57.160]  That might be...
[47:57.160 --> 47:57.860]  That might be
[47:57.860 --> 47:58.200]  something.
[47:58.720 --> 47:59.520]  I don't know, like,
[47:59.580 --> 48:00.700]  many other classic
[48:00.700 --> 48:01.340]  royals than
[48:01.340 --> 48:01.940]  Saberhagen.
[48:01.940 --> 48:02.420]  I'll look...
[48:02.420 --> 48:02.900]  We'll look up
[48:02.900 --> 48:03.640]  Saberhagen for you.
[48:03.780 --> 48:04.220]  Saberhagen.
[48:04.360 --> 48:05.400]  Steve Bedrosian.
[48:05.500 --> 48:05.960]  tossing, but like,
[48:06.000 --> 48:06.240]  you know.
[48:06.480 --> 48:07.080]  Oh, here we go.
[48:07.080 --> 48:07.420]  All right, names of
[48:07.420 --> 48:08.240]  fish, Sid Bream.
[48:08.640 --> 48:08.680]  Oh.
[48:09.200 --> 48:10.320]  I think we have one of
[48:10.320 --> 48:10.720]  those already.
[48:10.920 --> 48:11.540]  Names of fish right
[48:11.540 --> 48:12.360]  there with Mike Trout.
[48:12.700 --> 48:12.940]  Yes.
[48:13.920 --> 48:14.600]  Dan Bilardello.
[48:15.540 --> 48:16.180]  Uh, oh, here's
[48:16.180 --> 48:17.020]  Bernie Williams.
[48:18.140 --> 48:18.740]  Great player.
[48:19.420 --> 48:20.100]  There's a...
[48:20.100 --> 48:20.860]  Cool hat.
[48:21.200 --> 48:21.420]  You might
[48:21.420 --> 48:22.400]  get that hat.
[48:22.540 --> 48:24.000]  Dude, I want...
[48:24.000 --> 48:24.560]  Is there a way we can
[48:24.560 --> 48:24.960]  get that hat?
[48:24.980 --> 48:25.840]  I want that top
[48:25.840 --> 48:26.580]  baseball hat.
[48:27.760 --> 48:28.640]  We need to figure
[48:28.640 --> 48:29.260]  out how to get that hat.
[48:29.380 --> 48:30.020]  If we can't get it
[48:30.460 --> 48:31.100]  from them, we'll
[48:31.100 --> 48:31.440]  buy it on eBay.
[48:31.780 --> 48:32.480]  Brian Fisher.
[48:33.320 --> 48:33.660]  The...
[48:34.340 --> 48:34.680]  It's...
[48:34.680 --> 48:34.900]  hat on the floor with
[48:34.900 --> 48:35.760]  a ball on it?
[48:36.120 --> 48:36.540]  Maybe.
[48:37.140 --> 48:37.700]  Either way, we're
[48:37.700 --> 48:38.020]  getting it.
[48:38.400 --> 48:38.740]  Oh.
[48:38.920 --> 48:39.960]  Steve Frey.
[48:40.120 --> 48:40.860]  It's my mission in
[48:40.860 --> 48:41.500]  life to get that and
[48:41.500 --> 48:42.160]  wear that hat on this
[48:42.160 --> 48:42.340]  show.
[48:42.720 --> 48:43.500]  Carlos Martinez,
[48:43.680 --> 48:44.320]  Rookie Cup.
[48:44.920 --> 48:47.240]  Uh, Sito Gaston.
[48:48.100 --> 48:48.980]  Don August.
[48:49.320 --> 48:50.040]  I wonder if we
[48:50.040 --> 48:50.640]  can do a year.
[48:50.840 --> 48:51.320]  I wonder if we can
[48:51.320 --> 48:51.780]  do a year.
[48:52.180 --> 48:53.000]  Yeah, yeah.
[48:53.060 --> 48:53.900]  A calendar year.
[48:54.240 --> 48:54.300]  Yeah.
[48:54.580 --> 48:55.440]  David Cohn.
[48:56.360 --> 48:57.560]  Uh, Greg Swindell.
[48:57.780 --> 48:58.480]  Oh, and the
[48:58.480 --> 49:00.220]  great manager Dave
[49:00.220 --> 49:00.700]  Johnson.
[49:01.200 --> 49:02.840]  That's a fucking...
[49:02.840 --> 49:03.420]  That's a look.
[49:03.520 --> 49:04.080]  I love that.
[49:04.220 --> 49:04.400]  Yeah.
[49:04.820 --> 49:05.620]  That's a neck.
[49:05.960 --> 49:06.160]  Yeah.
[49:06.700 --> 49:07.440]  Uh, we'll open up
[49:07.440 --> 49:07.880]  one more pack of
[49:07.880 --> 49:08.500]  Recon, because I
[49:09.020 --> 49:09.940]  really just hate that
[49:09.940 --> 49:10.520]  I haven't opened them
[49:10.520 --> 49:10.800]  all yet.
[49:10.980 --> 49:11.620]  Yeah, I understand.
[49:16.080 --> 49:17.040]  We open the stuff
[49:17.040 --> 49:17.720]  that you guys send
[49:17.720 --> 49:18.000]  too.
[49:18.140 --> 49:18.760]  So, if you want to
[49:18.760 --> 49:19.420]  send more, you can.
[49:19.600 --> 49:20.700]  1901 East 51st
[49:20.700 --> 49:21.420]  Street, Austin, Texas
[49:21.940 --> 49:22.300]  78723.
[49:22.420 --> 49:22.940]  Just make sure it
[49:22.940 --> 49:23.540]  says Break Show.
[49:24.100 --> 49:25.500]  Um, it'll get to us
[49:25.500 --> 49:26.140]  and then we'll try to
[49:26.140 --> 49:26.680]  open it on the show.
[49:27.420 --> 49:28.520]  Here's a Rookie
[49:28.520 --> 49:29.800]  Rookie, David Roddy
[49:29.800 --> 49:30.240]  insert.
[49:30.320 --> 49:30.780]  That's probably not
[49:30.780 --> 49:31.240]  worth anything.
[49:31.360 --> 49:31.860]  Rookie, Rookie,
[49:32.040 --> 49:32.200]  Roddy.
[49:32.380 --> 49:33.280]  Uh, ooh.
[49:34.460 --> 49:35.520]  John Morant, numbered
[49:36.040 --> 49:37.060]  177 to 190.
[49:37.060 --> 49:38.000]  Alright, yeah.
[49:38.780 --> 49:39.740]  That's my guy right
[49:39.740 --> 49:39.980]  there.
[49:40.620 --> 49:40.980]  Look at him
[49:40.980 --> 49:41.640]  shooting, man.
[49:41.740 --> 49:42.280]  He's pulling up.
[49:42.680 --> 49:43.080]  Triple...
[49:43.080 --> 49:43.760]  There's his
[49:43.760 --> 49:44.740]  teammate, Triple J,
[49:45.000 --> 49:46.780]  who, uh, really
[49:47.340 --> 49:47.740]  underperformed.
[49:47.780 --> 49:48.600]  Jared Jackson Jr., yeah.
[49:48.620 --> 49:49.620]  Really underperformed
[49:49.620 --> 49:50.520]  on that U.S. team.
[49:51.280 --> 49:52.080]  Anthony Davis.
[49:52.940 --> 49:53.660]  Uh, boy, they could
[49:53.660 --> 49:54.240]  have used the center
[49:54.240 --> 49:54.860]  on that team.
[49:54.920 --> 49:55.000]  Yep.
[49:55.320 --> 49:56.680]  Sorry, Triple J, you're
[49:56.680 --> 49:57.380]  a great player, but
[49:57.380 --> 49:58.340]  God damn, man.
[49:58.680 --> 49:59.100]  I mean, A.D.'s not
[49:59.100 --> 49:59.680]  gonna go do it.
[50:00.640 --> 50:01.320]  They desperately...
[50:01.320 --> 50:01.640]  I don't know who
[50:01.640 --> 50:02.160]  else they would get.
[50:02.280 --> 50:02.420]  Yeah.
[50:02.660 --> 50:04.240]  Uh, Joker, and then
[50:04.240 --> 50:05.800]  Dougie Buckets, Doug
[50:05.800 --> 50:05.820]  McDermott.
[50:05.820 --> 50:07.460]  He looks like his
[50:07.460 --> 50:08.160]  old leg position.
[50:08.200 --> 50:08.560]  He's going, wait.
[50:10.460 --> 50:11.240]  He's being a little
[50:11.240 --> 50:11.540]  man.
[50:11.840 --> 50:12.660]  I'm a little man.
[50:12.780 --> 50:12.940]  Yeah.
[50:13.280 --> 50:13.920]  Now we're gonna open
[50:13.920 --> 50:14.380]  up...
[50:14.380 --> 50:15.260]  I bought these in
[50:15.260 --> 50:16.400]  Michigan as well, I
[50:16.400 --> 50:16.700]  believe.
[50:16.820 --> 50:17.640]  These are 1990
[50:17.640 --> 50:18.700]  Tops Hockey.
[50:18.800 --> 50:19.440]  I hate when we get
[50:19.440 --> 50:20.100]  into the hockey cards.
[50:20.200 --> 50:20.560]  I know, you hate it.
[50:20.560 --> 50:21.840]  There's like nothing...
[50:21.840 --> 50:22.920]  The names are hard,
[50:22.920 --> 50:23.860]  and there's like nothing
[50:23.860 --> 50:24.320]  to add.
[50:24.600 --> 50:25.640]  And I have no idea
[50:25.640 --> 50:26.400]  what's worth anything.
[50:26.940 --> 50:27.820]  If anything.
[50:28.160 --> 50:28.580]  It's the worst.
[50:28.960 --> 50:29.600]  Oh, this is probably
[50:29.600 --> 50:30.060]  worth something.
[50:30.420 --> 50:31.260]  Wayne Gretzky.
[50:31.680 --> 50:31.720]  Oh, yay!
[50:32.460 --> 50:33.040]  Who is that?
[50:33.040 --> 50:33.860]  He's scoring leader.
[50:34.780 --> 50:36.020]  Dad's obsessed with
[50:36.020 --> 50:36.460]  Wayne Gretzky.
[50:36.720 --> 50:37.860]  Really good shape,
[50:37.960 --> 50:38.080]  too.
[50:38.120 --> 50:38.540]  That might...
[50:38.540 --> 50:38.980]  Thank you.
[50:39.540 --> 50:40.300]  Joe Sakic.
[50:40.560 --> 50:41.300]  I know that one.
[50:41.740 --> 50:42.360]  He's a star.
[50:43.620 --> 50:44.580]  Mike Maylor.
[50:44.960 --> 50:45.740]  Ron Sutter.
[50:45.940 --> 50:47.200]  Hey, if anybody in the
[50:47.200 --> 50:47.860]  chat wants to let me
[50:47.860 --> 50:48.580]  know if I...
[50:48.580 --> 50:49.620]  Yeah, JJJ sucked
[50:49.620 --> 50:50.240]  for Team USA.
[50:50.520 --> 50:51.320]  That's unfortunate.
[50:54.940 --> 50:55.980]  Matteo Snyder.
[50:57.000 --> 50:58.040]  Stéphane Lebeau.
[50:59.840 --> 51:00.880]  Paul McClain.
[51:02.400 --> 51:03.440]  Doug Gilmore.
[51:04.700 --> 51:05.700]  Charlie Huddy.
[51:05.900 --> 51:06.200]  Wow.
[51:06.500 --> 51:07.220]  That's a...
[51:07.220 --> 51:08.780]  That might be a stepdad.
[51:09.120 --> 51:09.240]  Yeah.
[51:09.820 --> 51:10.460]  This is where I would
[51:10.460 --> 51:11.660]  need my dad to...
[51:11.660 --> 51:12.540]  The way you talk about
[51:12.540 --> 51:13.300]  wrestling, he'd talk
[51:13.300 --> 51:13.860]  about those people.
[51:14.040 --> 51:15.360]  This is...
[51:15.360 --> 51:16.520]  This is...
[51:17.540 --> 51:18.780]  A fucking awesome name.
[51:19.040 --> 51:19.400]  I don't know what
[51:19.400 --> 51:19.820]  we're going to do with
[51:19.820 --> 51:20.800]  it, but Rick Zombo.
[51:24.740 --> 51:25.540]  That's pretty good.
[51:25.740 --> 51:26.180]  I don't know.
[51:26.240 --> 51:26.940]  Let's save that,
[51:26.980 --> 51:27.560]  because I don't know.
[51:28.700 --> 51:29.600]  It's too good.
[51:30.020 --> 51:30.600]  Rick's a steady
[51:30.600 --> 51:31.560]  defender who generally
[51:31.560 --> 51:32.600]  plays it safe, letting
[51:32.600 --> 51:33.260]  others handle the
[51:33.260 --> 51:33.840]  offensive work.
[51:33.860 --> 51:34.760]  That sucks.
[51:34.860 --> 51:35.680]  That's the worst thing.
[51:35.740 --> 51:36.360]  That's like saying,
[51:36.460 --> 51:37.040]  how was your date?
[51:37.120 --> 51:37.860]  Oh, he was nice.
[51:38.180 --> 51:38.400]  Yeah.
[51:39.460 --> 51:40.160]  It's fine.
[51:41.700 --> 51:42.140]  Curtis...
[51:42.760 --> 51:42.980]  Curtis.
[51:43.620 --> 51:44.060]  Curtis.
[51:44.860 --> 51:45.300]  There's...
[51:45.820 --> 51:47.220]  Sylvan Lefevre.
[51:48.640 --> 51:49.520]  Keith Acton.
[51:50.240 --> 51:50.600]  Wow.
[51:50.960 --> 51:51.320]  Oh.
[51:51.340 --> 51:51.940]  That guy looks like
[51:51.940 --> 51:53.080]  Peyton Manning or something.
[51:54.120 --> 51:55.000]  Or like Anthony Edwards.
[51:55.140 --> 51:55.660]  Not Anthony Edwards.
[51:55.740 --> 51:56.320]  Yeah, the guy from
[51:56.320 --> 51:56.600]  E.R.
[51:57.240 --> 51:57.940]  Oh, yeah.
[51:58.060 --> 51:58.780]  Anthony Edwards.
[51:59.040 --> 51:59.680]  It does kind of look
[51:59.680 --> 52:00.100]  like Anthony Edwards.
[52:00.340 --> 52:00.880]  Maybe it's separated
[52:00.880 --> 52:01.780]  at birth, Anthony Edwards.
[52:03.260 --> 52:04.280]  Los Angeles Kings.
[52:04.780 --> 52:05.140]  Hey.
[52:05.560 --> 52:06.600]  And then...
[52:07.820 --> 52:08.540]  Rob Brindamore.
[52:09.500 --> 52:09.840]  That...
[52:09.840 --> 52:10.560]  His name means
[52:10.560 --> 52:11.560]  Rob something love.
[52:11.780 --> 52:12.140]  There you go.
[52:12.860 --> 52:13.220]  Nice.
[52:13.600 --> 52:14.080]  All right.
[52:14.140 --> 52:14.560]  We've got about
[52:14.560 --> 52:15.340]  nine minutes left.
[52:15.340 --> 52:15.900]  Yeah, yeah, yeah.
[52:15.940 --> 52:16.680]  We're getting on
[52:16.680 --> 52:16.960]  to time.
[52:17.080 --> 52:17.660]  So we're almost at
[52:17.660 --> 52:18.500]  Lorna Doon or whatever
[52:18.500 --> 52:19.120]  these are called.
[52:19.180 --> 52:20.160]  But we've got some
[52:20.160 --> 52:20.860]  other stuff we can open.
[52:21.060 --> 52:23.000]  We're almost at Lorna Doon.
[52:23.040 --> 52:23.540]  What are they called?
[52:23.800 --> 52:24.620]  Lor-a-con-a.
[52:24.680 --> 52:25.520]  Lor-a-con-a.
[52:25.640 --> 52:26.220]  That's close.
[52:26.640 --> 52:27.620]  Lor-a-con-a.
[52:27.700 --> 52:28.280]  Let's do this.
[52:28.820 --> 52:29.160]  What is it?
[52:29.480 --> 52:30.480]  So Lor-a-con-a is like
[52:30.480 --> 52:31.300]  Magic the Gathering
[52:31.300 --> 52:31.720]  but Disney?
[52:31.860 --> 52:32.460]  I think it's like
[52:32.460 --> 52:33.200]  Magic the Gathering
[52:33.200 --> 52:33.580]  but Disney.
[52:33.820 --> 52:34.180]  That's me.
[52:34.580 --> 52:35.060]  That's you.
[52:35.280 --> 52:35.960]  I'm this one.
[52:36.380 --> 52:37.420]  I'm the Mickey Mouse
[52:37.420 --> 52:37.780]  wizard.
[52:38.800 --> 52:39.800]  We'll open up...
[52:39.800 --> 52:41.160]  My mop is going to
[52:41.160 --> 52:41.700]  take over.
[52:44.100 --> 52:44.760]  Here we go.
[52:44.760 --> 52:45.970]  We have UFC optic.
[52:46.580 --> 52:46.960]  Okay.
[52:47.140 --> 52:48.010]  Taylor Santos.
[52:49.100 --> 52:50.260]  Max Holloway.
[52:51.080 --> 52:52.240]  Dominic Cruz.
[52:52.660 --> 52:54.020]  Arnold Allen.
[52:55.300 --> 52:56.460]  Marina Rodriguez.
[52:58.780 --> 52:59.940]  Askar Askarov.
[53:00.140 --> 53:00.380]  Dick.
[53:01.260 --> 53:01.800]  Cool name.
[53:01.940 --> 53:02.560]  It is a cool name.
[53:02.680 --> 53:03.860]  Alexa Grasso.
[53:04.600 --> 53:05.760]  Tony Ferguson.
[53:06.600 --> 53:08.560]  Ilya Tapuria rated rookie.
[53:08.820 --> 53:09.540]  We'll just leave that.
[53:10.160 --> 53:10.800]  Oh, here we go.
[53:10.860 --> 53:11.660]  Holly Holm.
[53:12.180 --> 53:13.360]  We saw her fight.
[53:13.480 --> 53:13.940]  I don't remember what
[53:13.940 --> 53:14.780]  kind of parallel this is called.
[53:14.980 --> 53:15.940]  Blue Shock maybe?
[53:18.180 --> 53:19.620]  Eric, do you watch UFC at all?
[53:19.860 --> 53:22.220]  Oh, I catch it from time to time.
[53:22.720 --> 53:24.000]  It was a lot of fun this last weekend.
[53:24.980 --> 53:25.420]  Brutal.
[53:26.680 --> 53:27.560]  Gilbert Burns.
[53:29.000 --> 53:30.340]  I'm the style bender.
[53:32.580 --> 53:33.460]  Jesus Christ.
[53:33.580 --> 53:34.100]  That was brutal.
[53:35.280 --> 53:36.160]  Da Bronx.
[53:38.000 --> 53:38.880]  Do Bronx.
[53:39.160 --> 53:39.940]  Charles Oliveira.
[53:40.280 --> 53:41.180]  He's really fucking good.
[53:41.360 --> 53:41.820]  We'll just leave that.
[53:42.320 --> 53:43.200]  Tito Ortiz.
[53:43.200 --> 53:43.840]  He's my house.
[53:45.980 --> 53:48.140]  And then a stargazing Brandon Moreno.
[53:48.360 --> 53:48.600]  Okay.
[53:49.300 --> 53:49.960]  Nothing there.
