[00:05.530 --> 00:07.730]  Hello! It's coming hoooome!
[54:06.060 --> 54:06.260]  Mm-hmm.
[54:08.720 --> 54:09.520]  Steve Frey.
[54:09.620 --> 54:10.140]  Bobby Valentine.
[54:10.360 --> 54:10.880]  Manager card.
[54:10.960 --> 54:11.720]  Jose Aquendo.
[54:12.340 --> 54:13.020]  Joe Torre.
[54:13.020 --> 54:14.120]  Look at that.
[54:14.240 --> 54:16.700]  He was the Yankees manager for a long time, too.
[54:16.900 --> 54:17.660]  Dick Schofield.
[54:18.420 --> 54:19.380]  What's going on, Gavver?
[54:20.220 --> 54:21.200]  It didn't come home, Greg.
[54:21.820 --> 54:23.120]  It didn't come home.
[54:24.480 --> 54:26.000]  It didn't go home.
[54:26.060 --> 54:27.220]  It stayed away.
[54:28.100 --> 54:28.680]  What happened?
[54:29.860 --> 54:30.980]  What's the final score?
[54:31.680 --> 54:33.440]  One to one, but they won in penalties.
[54:34.660 --> 54:35.560]  Oh, who won?
[54:36.040 --> 54:36.560]  The England one?
[54:36.820 --> 54:37.540]  No, the other one.
[54:37.660 --> 54:38.340]  The England one?
[54:40.240 --> 54:41.900]  I think England won.
[54:42.420 --> 54:42.860]  Nope.
[54:43.560 --> 54:45.160]  I'm more Italian than British.
[54:46.680 --> 54:48.740]  According to your accent, no, you're not.
[54:49.280 --> 54:50.820]  I also haven't been there that much.
[54:54.160 --> 54:54.880]  Oh, shit.
[54:55.160 --> 54:55.820]  Oh, man.
[54:55.860 --> 54:57.220]  That was a rough one for you, huh?
[54:57.300 --> 54:58.060]  Oh, man.
[54:58.700 --> 54:59.420]  What are we doing?
[54:59.620 --> 55:00.060]  Here's what I'm going to do.
[55:00.140 --> 55:01.040]  I'm going to end on...
[55:01.960 --> 55:04.400]  There's two minutes left and you've all bought in.
[55:04.720 --> 55:05.560]  Hey, so what are we doing?
[55:05.640 --> 55:06.400]  What is this show?
[55:06.600 --> 55:07.240]  Here's what we're going to do.
[55:07.240 --> 55:09.020]  We're going to end on Umbrella Academy.
[55:09.040 --> 55:09.580]  All right, here we go.
[55:09.640 --> 55:10.860]  And I'm pulling these for Rebecca.
[55:11.320 --> 55:11.660]  Rebecca!
[55:11.660 --> 55:12.140]  Rebecca!
[55:12.140 --> 55:13.220]  She was excited about these.
[55:13.680 --> 55:15.740]  So, Rebecca, hopefully I get you some cards that you think are cool.
[55:15.740 --> 55:16.440]  Rebecca, it's coming home!
[55:16.620 --> 55:17.120]  Oh, here we go.
[55:17.200 --> 55:17.800]  White Violin.
[55:17.900 --> 55:18.260]  Wow!
[55:18.720 --> 55:20.760]  This is when Elliot Page got very angry.
[55:20.920 --> 55:21.120]  Okay.
[55:21.760 --> 55:23.100]  Man on the Moon.
[55:23.460 --> 55:24.320]  That's already a song.
[55:24.760 --> 55:24.820]  Mask.
[55:25.020 --> 55:26.180]  That's with their masks.
[55:27.660 --> 55:28.060]  Wow!
[55:29.440 --> 55:32.660]  The framed artwork from Umbrella Academy.
[55:32.980 --> 55:34.320]  It was a dark and stormy night.
[55:34.640 --> 55:37.040]  They went in quietly like mice, one by one in a line.
[55:37.560 --> 55:39.000]  Oh, classic mice style.
[55:39.140 --> 55:39.860]  Man on the Moon.
[55:40.100 --> 55:41.180]  They put a man on the moon.
[55:41.180 --> 55:42.300]  That dude's dead a lot.
[55:42.500 --> 55:44.380]  And then, yeah, let's see what else.
[55:45.120 --> 55:45.520]  One more.
[55:45.640 --> 55:46.380]  And then we're going to go...
[55:46.380 --> 55:46.820]  What's coming up?
[55:46.980 --> 55:47.840]  What should we throw it to?
[55:48.100 --> 55:49.620]  Yeah, probably the hosts.
[55:49.980 --> 55:50.360]  The hosts.
[55:50.520 --> 55:50.660]  Yeah.
[55:51.640 --> 55:52.420]  They've got stuff to say.
[55:52.420 --> 55:53.340]  Coming up after us.
[55:53.420 --> 55:59.580]  There is a G Fuel tournament going on after this where Gamists will play...
[56:01.300 --> 56:02.620]  Oh, look at this.
[56:02.660 --> 56:03.260]  With fans.
[56:03.500 --> 56:04.700]  So you can tune in for that.
[56:04.760 --> 56:05.220]  Thanks, G Fuel.
[56:05.320 --> 56:06.500]  Oh, is that a Diego card?
[56:06.500 --> 56:08.280]  And a special Diego card.
[56:08.560 --> 56:10.060]  He's like the Batman of the group.
[56:10.060 --> 56:12.480]  Or really more like the Robin of the group, honestly.
[56:12.800 --> 56:15.720]  If I wanted you dead, you'd be dead.
[56:16.260 --> 56:17.180]  Look at this guy.
[56:17.280 --> 56:18.000]  Oh, there he is.
[56:18.140 --> 56:19.180]  There's the brother.
[56:19.480 --> 56:20.240]  We already have that one.
[56:20.500 --> 56:20.820]  Yeah.
[56:20.980 --> 56:21.880]  Oh, and there's number five.
[56:22.680 --> 56:24.060]  Is this after he killed number five?
[56:25.200 --> 56:28.780]  I think it's after he saw that the world was destroyed.
[56:29.240 --> 56:29.960]  Oh, no.
[56:29.960 --> 56:31.440]  He had to go back in time.
[56:32.780 --> 56:34.160]  Gavin, does it feel like the world's been destroyed?
[56:35.080 --> 56:36.100]  A little bit for you, maybe.
[56:36.900 --> 56:37.480]  The moon.
[56:37.480 --> 56:39.880]  Harness your Italy.
[56:40.760 --> 56:41.860]  Harness your Italian heritage.
[56:42.040 --> 56:42.660]  We're going to keep opening it.
[56:45.440 --> 56:46.540]  Any good cards here, Geoff?
[56:47.460 --> 56:50.200]  There's one where she's a bloody on the floor.
[56:50.620 --> 56:51.140]  That's a rough one.
[56:51.780 --> 56:52.520]  Oh, I heard a rumor.
[56:52.660 --> 56:53.360]  That's because her power.
[56:53.680 --> 56:54.640]  She can say, I heard a rumor.
[56:54.780 --> 56:56.220]  And then she can tell you stuff, and then you believe it.
[56:56.240 --> 56:57.120]  And then you do what she tells you.
[56:57.400 --> 56:58.420]  I guess that's it.
[56:58.560 --> 57:00.400]  So they won 2020, but it's 2021?
[57:01.940 --> 57:03.700]  Yeah, why are they playing last year?
[57:04.040 --> 57:04.720]  Yeah, what the hell?
[57:05.340 --> 57:06.800]  Are they in the Umbrella Academy?
[57:06.800 --> 57:10.200]  Look at all the hot hits we got today, guys.
[57:10.240 --> 57:11.200]  We got Relics.
[57:11.320 --> 57:12.260]  We got Patches.
[57:12.440 --> 57:13.660]  We got Parallels.
[57:14.200 --> 57:15.480]  We got Teal Explosions.
[57:15.580 --> 57:16.320]  We got Art Cards.
[57:16.420 --> 57:16.980]  We got Diego.
[57:17.300 --> 57:19.100]  We got Bobby Valentine Manager.
[57:19.100 --> 57:20.740]  Look at what happened to this button.
[57:21.320 --> 57:22.400]  Gavin broke the button?
[57:22.560 --> 57:26.940]  Now look, if you want this to happen, pound on it when they lose Euro.
[57:27.140 --> 57:30.960]  But if you want to get a new one, you go to store.roosterteeth.com right now.
[57:31.040 --> 57:32.680]  Use the code verse 20.
[57:33.340 --> 57:36.160]  Whoa! The durability!
[57:37.260 --> 57:40.000]  You can use the code verse 20 to get 20% off right now.
[57:40.080 --> 57:42.780]  That and two left socks, which are really kind of one's a right sock.
[57:43.160 --> 57:45.700]  Also, you get Ian shirts, too.
[57:45.800 --> 57:47.520]  Get an Ian shirt. Those are for sale.
[57:47.860 --> 57:49.120]  We got all kinds of shit.
[57:50.180 --> 57:52.840]  Thank you to G Fuel and RTX at home.
[57:53.420 --> 57:55.420]  And I don't know, everyone in the booth.
[57:55.520 --> 57:59.200]  And Wes, who was kind of like laughing at Gavin the whole time, which I really appreciated, honestly.
[57:59.320 --> 58:00.340]  I like that a lot.
[58:00.880 --> 58:06.220]  So, guys, we're going to throw... I thought you were going to break that pencil.
[58:07.180 --> 58:11.340]  Geoff, any final words, parting words that you want to leave our folks with here?
[58:11.620 --> 58:15.240]  As in all things, thank you for tuning in.
[58:15.360 --> 58:19.940]  And remember that we at Fuckface put our faith and our trust in the great Zim.
[58:20.120 --> 58:20.700]  I love me.
[58:21.000 --> 58:21.360]  Love Zim.
[58:22.000 --> 58:22.460]  Zim Zim.
[58:22.520 --> 58:23.060]  Go wide.
[58:24.320 --> 58:24.940]  Zim Zim.
[58:25.120 --> 58:25.480]  Zim Zim.
[58:25.600 --> 58:26.420]  All things to Zim.
[58:26.520 --> 58:27.640]  Andrew, can you Zim Zim for us?
[58:27.740 --> 58:28.080]  Zim Zim.
[58:28.080 --> 58:28.720]  I'm Zimming.
[58:28.940 --> 58:29.420]  I'm Zimming.
[58:29.460 --> 58:30.280]  I bet he is.
[58:31.040 --> 58:32.060]  Zim Zim, comment leavers.
[58:32.260 --> 58:32.460]  Yep.
[58:32.740 --> 58:33.320]  Zim Zim.
[58:33.900 --> 58:34.300]  Okay, goodbye.
