[00:04.900 --> 00:06.400]  Previously on F**kface.
[01:05:50.350 --> 01:05:52.050]  I have every disease.
[01:05:52.430 --> 01:05:53.990]  I have all the heps.
[01:05:54.410 --> 01:05:57.010]  I have hep A through Z. Just stay away from me.
[01:05:57.250 --> 01:05:57.970]  Quarantine me.
[01:05:58.390 --> 01:06:00.950]  And the thing about like...
[01:06:00.950 --> 01:06:03.250]  It's like real trauma. It was like slightly traumatizing
[01:06:03.250 --> 01:06:04.950]  as an event, but it's not like I had
[01:06:04.950 --> 01:06:06.430]  PTSD from this event.
[01:06:06.750 --> 01:06:09.070]  But it is interesting when you have those events
[01:06:09.070 --> 01:06:11.030]  and you think about it from very strange
[01:06:11.030 --> 01:06:12.070]  angles. Like,
[01:06:12.730 --> 01:06:15.030]  a week earlier, that guy was just
[01:06:15.030 --> 01:06:16.850]  walking about, not knowing that
[01:06:16.850 --> 01:06:18.990]  a week from now, someone from America would come to
[01:06:18.990 --> 01:06:21.130]  Australia and end up with his blood
[01:06:21.130 --> 01:06:21.850]  in his mouth.
[01:06:22.370 --> 01:06:24.750]  A week earlier? How about 8 minutes earlier?
[01:06:25.050 --> 01:06:25.370]  Yeah!
[01:06:27.210 --> 01:06:28.830]  That guy's relationship
[01:06:28.830 --> 01:06:30.810]  with the wind has forever changed.
[01:06:31.190 --> 01:06:32.870]  Every single breeze.
[01:06:33.370 --> 01:06:34.770]  It's like, this motherfucker.
[01:06:35.750 --> 01:06:37.070]  Yeah, so he's like a wind chime
[01:06:37.070 --> 01:06:38.070]  as a warning device.
[01:06:39.010 --> 01:06:39.910]  Everybody get down.
[01:06:40.230 --> 01:06:42.810]  I kept my eye closely on the local
[01:06:42.810 --> 01:06:44.630]  Melbourne news for the next week.
[01:06:45.290 --> 01:06:46.750]  Well, it also just goes to show you
[01:06:46.750 --> 01:06:48.430]  Australians are insane.
[01:06:48.850 --> 01:06:50.510]  And like, in the coolest ways,
[01:06:50.610 --> 01:06:52.590]  they just don't give a fuck. That guy's like,
[01:06:52.630 --> 01:06:54.830]  I'll wrap it up. He probably wrapped duct tape on it
[01:06:54.830 --> 01:06:55.430]  and went about his business.
[01:06:55.430 --> 01:06:57.510]  Yeah, and they have, I assume
[01:06:57.510 --> 01:06:59.030]  they have a free healthcare.
[01:06:59.510 --> 01:07:01.510]  Some form of healthcare. There are stitches
[01:07:02.310 --> 01:07:02.670]  and
[01:07:04.050 --> 01:07:05.730]  antibiotics in Australia, for sure.
[01:07:06.450 --> 01:07:07.130]  I don't know.
[01:07:07.250 --> 01:07:09.450]  People here don't like to call an ambulance because it costs
[01:07:09.450 --> 01:07:09.790]  them money.
[01:07:10.690 --> 01:07:13.450]  I'm not sure that's a thing there. I don't think you pay for an ambulance.
[01:07:14.390 --> 01:07:15.370]  I can't. I'm trying to just
[01:07:15.370 --> 01:07:17.490]  process what that would be. Like, everything.
[01:07:17.710 --> 01:07:19.510]  That is an insane event to happen.
[01:07:20.470 --> 01:07:21.550]  How about the fact that
[01:07:21.550 --> 01:07:23.450]  like, 3 hours later, you and I were hanging
[01:07:23.450 --> 01:07:25.290]  out together, and you didn't even cross
[01:07:25.790 --> 01:07:27.090]  like, I had no idea.
[01:07:27.350 --> 01:07:29.490]  I think that was the show, because it was
[01:07:29.490 --> 01:07:31.670]  Melbourne, I think that was maybe the show
[01:07:31.670 --> 01:07:33.570]  where we filmed that Instagram video
[01:07:33.570 --> 01:07:35.390]  of us all singing Wrecking Ball or whatever.
[01:07:35.570 --> 01:07:37.510]  Like, the entire group. And we were all dancing
[01:07:37.510 --> 01:07:39.450]  around together. And like, 2 hours later, you were
[01:07:39.450 --> 01:07:40.950]  bathing in somebody else's blood.
[01:07:42.550 --> 01:07:43.450]  That's the image
[01:07:43.450 --> 01:07:45.510]  of what you're thinking every time you hear Wrecked Me.
[01:07:45.850 --> 01:07:46.950]  Just like, I suck.
[01:07:47.250 --> 01:07:49.150]  I fucking destroyed her.
[01:07:49.610 --> 01:07:51.450]  There's something just so funny about
[01:07:51.450 --> 01:07:53.470]  coming back to a hotel room
[01:07:53.470 --> 01:07:55.490]  covered in sweat and blood before 9am.
[01:07:55.830 --> 01:07:57.590]  It was so early that day.
[01:08:00.250 --> 01:08:01.470]  That's gotta be one of the worst
[01:08:01.470 --> 01:08:02.850]  ways to walk into a hotel lobby.
[01:08:03.090 --> 01:08:04.450]  Because you definitely feel like
[01:08:05.810 --> 01:08:06.250]  you're
[01:08:07.350 --> 01:08:09.010]  Jason Bourne in the Bourne Identity.
[01:08:09.330 --> 01:08:11.670]  They're just gonna be like, yeah, no problem, sir.
[01:08:11.970 --> 01:08:13.830]  They're calling Interpol right now.
[01:08:15.010 --> 01:08:15.650]  You said
[01:08:15.650 --> 01:08:17.050]  9am is one of the worst times.
[01:08:17.150 --> 01:08:19.330]  What is a good time? I don't feel like there's a
[01:08:19.330 --> 01:08:21.150]  great time to walk into a hotel covered
[01:08:21.150 --> 01:08:22.330]  in sweat and blood.
[01:08:23.070 --> 01:08:25.450]  You just can't sit down with a beer after that.
[01:08:25.570 --> 01:08:26.310]  It's too early, you know?
[01:08:27.010 --> 01:08:27.730]  I see what you're saying.
[01:08:28.370 --> 01:08:28.770]  Sure.
[01:08:31.410 --> 01:08:33.290]  And I had a long time between that
[01:08:33.290 --> 01:08:34.310]  and the Tech Hustle.
[01:08:38.030 --> 01:08:38.990]  Um, that's it.
[01:08:39.710 --> 01:08:41.110]  Well, Gav, thanks for telling that story.
[01:08:41.270 --> 01:08:43.130]  That's hands down one of the best
[01:08:43.130 --> 01:08:44.550]  stories in the history of F***base.
[01:08:44.990 --> 01:08:45.530]  For sure.
[01:08:46.630 --> 01:08:47.410]  One for
[01:08:47.410 --> 01:08:48.990]  Regulation Animation one day.
[01:08:49.790 --> 01:08:51.010]  Oh Jesus Christ!
[01:08:51.050 --> 01:08:53.410]  Oh my God.
[01:08:53.570 --> 01:08:54.850]  And by the way, I'm so sorry.
[01:08:55.350 --> 01:08:56.790]  That's one terrible thing to go through.
[01:08:56.910 --> 01:08:57.830]  That's horrible.
[01:08:58.690 --> 01:09:01.090]  Thankfully, you look back on it fondly.
[01:09:01.230 --> 01:09:03.210]  I just hope you didn't die. I'm pretty sure you didn't.
[01:09:03.750 --> 01:09:05.170]  And if you didn't, it's
[01:09:05.170 --> 01:09:07.170]  a crazy story.
[01:09:07.930 --> 01:09:08.990]  You know what it reminds me of?
[01:09:09.070 --> 01:09:11.770]  It reminds me of you and I on the
[01:09:11.770 --> 01:09:13.550]  ferry in Australia
[01:09:13.550 --> 01:09:14.610]  going from Sydney
[01:09:16.090 --> 01:09:16.970]  over to...
[01:09:17.830 --> 01:09:18.770]  What's that beach?
[01:09:19.390 --> 01:09:20.710]  That we always would go over to.
[01:09:22.010 --> 01:09:22.630]  Manly Beach?
[01:09:23.570 --> 01:09:25.350]  Taking the ferry over to Manly Beach
[01:09:25.350 --> 01:09:27.130]  and we're at the front of that thing and
[01:09:27.130 --> 01:09:29.510]  you and I go to drink our water and the wind
[01:09:29.510 --> 01:09:31.190]  picks up and it shoots the water
[01:09:31.190 --> 01:09:33.710]  all over those two girls in front of us
[01:09:33.710 --> 01:09:35.250]  and it was like...
[01:09:35.250 --> 01:09:36.230]  We couldn't take a sip.
[01:09:36.470 --> 01:09:38.710]  They got 80% of our water instantly
[01:09:39.410 --> 01:09:41.250]  through our mouths and into their heads
[01:09:41.250 --> 01:09:43.370]  and their hair. And they were horrified.
[01:09:43.770 --> 01:09:45.690]  It was like that, but with blood.
[01:09:47.570 --> 01:09:49.050]  Oh. Fuck.
[01:09:49.590 --> 01:09:49.970]  Jesus.
[01:09:51.270 --> 01:09:53.350]  Andrew, what was the thing that you were gonna do that might have
[01:09:53.350 --> 01:09:55.190]  pissed off Geoff? I can't say
[01:09:55.190 --> 01:09:56.510]  because I'm gonna do it one day.
[01:09:56.810 --> 01:09:59.270]  But now is not the
[01:09:59.270 --> 01:10:00.930]  greatest time to do it.
[01:10:02.110 --> 01:10:03.230]  And we decided we're
[01:10:03.230 --> 01:10:05.070]  sticking with season 4 through episode 100.
[01:10:05.950 --> 01:10:07.430]  Yeah, I think season 4 barely started.
[01:10:08.150 --> 01:10:09.050]  I think season 4 was strong.
[01:10:09.630 --> 01:10:11.050]  Yeah, it's been a good season.
[01:10:11.410 --> 01:10:12.410]  Season 4's been good so far.
[01:10:12.930 --> 01:10:14.910]  It's definitely been one of my favorite seasons.
[01:10:15.410 --> 01:10:16.750]  Yeah, I agree with Eric. Let's keep it rolling.
[01:10:17.270 --> 01:10:18.750]  Eric, you never figured out what year
[01:10:18.750 --> 01:10:19.930]  episode 1000 comes out.
[01:10:21.170 --> 01:10:22.550]  So we're roughly
[01:10:23.090 --> 01:10:24.530]  at the two year mark.
[01:10:24.930 --> 01:10:27.270]  We started in June of 2020
[01:10:27.270 --> 01:10:29.010]  and this will be coming out
[01:10:29.010 --> 01:10:30.290]  the day that you can listen to this
[01:10:30.850 --> 01:10:33.050]  is April 27th.
[01:10:33.730 --> 01:10:35.370]  So roughly two years
[01:10:35.370 --> 01:10:37.070]  per 100 episodes.
[01:10:37.790 --> 01:10:39.570]  So for every...
[01:10:39.570 --> 01:10:40.990]  Yeah, so you'd say
[01:10:40.990 --> 01:10:42.030]  roughly around that.
[01:10:42.910 --> 01:10:44.930]  So we just have to...
[01:10:44.930 --> 01:10:47.170]  Geoff, you gonna keep it going for that long?
[01:10:47.290 --> 01:10:48.070]  I just mean like
[01:10:48.670 --> 01:10:51.050]  health wise. You got like enough teeth
[01:10:51.050 --> 01:10:53.150]  that you can root canal for like 18 more years
[01:10:53.150 --> 01:10:53.710]  of this or whatever?
[01:10:54.390 --> 01:10:56.050]  Sorry, I'll be honest. I zoned out for a minute.
[01:10:56.310 --> 01:10:59.090]  Cool, man. Right on. Thank you so much. That's awesome.
[01:10:59.430 --> 01:10:59.750]  Thank you.
[01:10:59.830 --> 01:11:02.350]  You appreciate it, dude.
[01:11:02.590 --> 01:11:04.650]  Yeah, 18 years?
[01:11:04.650 --> 01:11:06.450]  Yeah, I can go 18 years.
[01:11:06.590 --> 01:11:08.590]  Here's what we should do. Even if we don't do this
[01:11:08.590 --> 01:11:10.570]  podcast for the next 18 years. Say it stops
[01:11:10.570 --> 01:11:12.810]  at like 200. We come back
[01:11:12.810 --> 01:11:14.610]  18 years from now and just do
[01:11:14.610 --> 01:11:16.510]  episode 1000. Even if there hasn't been
[01:11:16.510 --> 01:11:18.570]  episode 200 to
[01:11:19.190 --> 01:11:20.590]  1000. Dude, I'm gonna be
[01:11:20.590 --> 01:11:22.690]  very disappointed if we stop at 200.
[01:11:22.930 --> 01:11:24.790]  I feel like we're building momentum every day
[01:11:24.790 --> 01:11:26.250]  and all the supplemental
[01:11:27.010 --> 01:11:28.510]  content's starting to come out. We're starting to
[01:11:28.510 --> 01:11:30.690]  film more, do more. We got MVP 2
[01:11:30.690 --> 01:11:32.690]  ahead of us. Imagine what movies
[01:11:32.690 --> 01:11:34.490]  we'll be watching together by episode 1000.
[01:11:35.110 --> 01:11:36.330]  We should schedule MVP 2.
[01:11:36.670 --> 01:11:37.690]  Yeah, we should. Big time.
[01:11:37.810 --> 01:11:38.170]  Fuck.
[01:11:41.530 --> 01:11:42.670]  Would there be more apples
[01:11:42.670 --> 01:11:44.250]  to eat? I think we should do a
[01:11:44.250 --> 01:11:46.530]  like, if we can get it, I think we should do a
[01:11:46.530 --> 01:11:48.610]  Bovril taste test like we did with the apple.
[01:11:48.890 --> 01:11:50.070]  With the Cosmic Crisp taste test.
[01:11:50.150 --> 01:11:52.670]  If Andrew doesn't keep rejecting my shipment, maybe he'll be able to
[01:11:52.670 --> 01:11:53.210]  try it.
[01:11:56.170 --> 01:11:56.750]  I'll check.
[01:11:56.830 --> 01:11:58.630]  I'll get it in the mail room as soon as we're done recording.
[01:11:58.870 --> 01:12:00.630]  I did hear, I did see somebody
[01:12:00.630 --> 01:12:02.890]  mention that it is, it does exist in Canada.
[01:12:03.250 --> 01:12:04.690]  Somebody was like, I'm Canadian and I
[01:12:04.690 --> 01:12:06.650]  have it all the time. Yeah, I guess they banned it.
[01:12:06.970 --> 01:12:08.910]  They banned it with Marmite
[01:12:08.910 --> 01:12:10.570]  and like some other thing because it didn't fit
[01:12:10.570 --> 01:12:12.810]  food standards in like 2015
[01:12:12.810 --> 01:12:14.570]  and then
[01:12:14.570 --> 01:12:16.530]  they had to like change the recipe or
[01:12:16.530 --> 01:12:18.610]  they like, you can buy it now, but there
[01:12:18.610 --> 01:12:20.390]  was a time in which it was banned in Canada.
[01:12:21.830 --> 01:12:22.590]  Canada hates
[01:12:22.590 --> 01:12:24.590]  shit. No doorknobs, no Bovril.
[01:12:24.590 --> 01:12:25.550]  Yeah.
[01:12:28.430 --> 01:12:30.090]  This was fun.
[01:12:30.370 --> 01:12:31.530]  I'm excited for you to try it.
[01:12:31.910 --> 01:12:34.210]  I'm excited to try it. Maybe next episode.
[01:12:34.910 --> 01:12:36.010]  Definitely next episode.
[01:12:36.330 --> 01:12:38.090]  As long as it's not rejected.
[01:12:38.710 --> 01:12:40.350]  Well Gavin, thanks for
[01:12:41.130 --> 01:12:41.810]  sharing
[01:12:42.330 --> 01:12:44.510]  an absolute 100
[01:12:44.510 --> 01:12:46.110]  of a story
[01:12:46.110 --> 01:12:47.230]  on episode 100.
[01:12:48.210 --> 01:12:49.870]  I hope
[01:12:50.670 --> 01:12:52.470]  my tattoo bit
[01:12:52.470 --> 01:12:53.990]  played well with you guys.
[01:12:54.090 --> 01:12:56.210]  So good. I have never
[01:12:56.210 --> 01:12:58.610]  in all the 6,000 tattoos
[01:12:58.610 --> 01:13:00.350]  I have, I've never recorded myself
[01:13:00.350 --> 01:13:02.570]  or tried to perform while getting one.
[01:13:04.110 --> 01:13:04.570]  It's
[01:13:04.570 --> 01:13:05.390]  not... yeah.
[01:13:06.070 --> 01:13:08.150]  It was great. Ribs
[01:13:08.770 --> 01:13:10.470]  are... don't get a tattoo on your
[01:13:10.470 --> 01:13:12.410]  ribs. Just don't. I'll just say that right now.
[01:13:12.930 --> 01:13:13.790]  You keep doing it though.
[01:13:14.230 --> 01:13:15.930]  I really... well I'm running out of ribs.
[01:13:16.290 --> 01:13:18.170]  Andrew, I really appreciate you
[01:13:18.170 --> 01:13:20.310]  not unleashing whatever banana
[01:13:20.310 --> 01:13:22.590]  related fury or port-a-potty
[01:13:22.590 --> 01:13:24.230]  attack or whatever it was on me.
[01:13:24.530 --> 01:13:26.230]  Look forward to that in the near future.
[01:13:27.030 --> 01:13:27.650]  And then
[01:13:28.610 --> 01:13:30.250]  by that token, if you would like to contribute
[01:13:30.250 --> 01:13:31.890]  anything to 100, now's your chance.
[01:13:32.730 --> 01:13:34.190]  I feel like I've
[01:13:36.010 --> 01:13:36.490]  contributed...
[01:13:37.310 --> 01:13:38.090]  so many.
[01:13:38.530 --> 01:13:40.510]  That was mean, Geoff.
[01:13:40.870 --> 01:13:42.050]  That was...
[01:13:42.570 --> 01:13:43.850]  I was caught off guard.
[01:13:45.150 --> 01:13:45.970]  You know what?
[01:13:46.350 --> 01:13:48.490]  I could gladly contribute
[01:13:48.490 --> 01:13:50.170]  to 100 right now. Let's do the thing.
[01:13:50.350 --> 01:13:51.950]  I could just pull the trigger on the thing.
[01:13:52.270 --> 01:13:53.810]  I was trying to be nice, Geoff.
[01:13:54.170 --> 01:13:55.690]  I was trying to be a nice guy.
[01:13:56.710 --> 01:13:58.330]  Let's go. Let's pull the trigger
[01:13:58.330 --> 01:14:00.390]  on this thing. Thanks so much
[01:14:00.390 --> 01:14:02.510]  for tuning in and listening
[01:14:02.510 --> 01:14:04.530]  to episode 100 of all
[01:14:04.530 --> 01:14:06.490]  100 episodes of Face, I'm
[01:14:06.490 --> 01:14:07.750]  assuming. And
[01:14:08.330 --> 01:14:10.330]  we'll see you next week. Y'all take
[01:14:10.330 --> 01:14:12.230]  care. Like and
[01:14:12.230 --> 01:14:14.230]  review. What'd you say? Wait.
[01:14:14.850 --> 01:14:15.430]  Eric wrote something.
[01:14:15.930 --> 01:14:16.510]  Oh, whatever.
[01:14:16.710 --> 01:14:19.370]  By the time this is out, Gavin will have done the RT
[01:14:19.370 --> 01:14:21.350]  podcast in 64 pieces of clothes.
[01:14:21.370 --> 01:14:23.490]  Oh, great. That's exciting. Oh, yeah. How's that going,
[01:14:23.570 --> 01:14:25.250]  Gav? Yeah, I'm excited about it.
[01:14:26.030 --> 01:14:27.290]  Am I doing the Donkey Kong tie?
[01:14:27.530 --> 01:14:29.550]  Are we putting that on as well? You don't need to.
[01:14:29.610 --> 01:14:31.270]  If you want, you can. You can use it if you want.
[01:14:31.990 --> 01:14:33.470]  I like that I've worked for this company
[01:14:33.470 --> 01:14:35.370]  for 10 years and then like twice
[01:14:35.370 --> 01:14:37.450]  in the same week, I'm being forced to wear two different
[01:14:37.450 --> 01:14:39.490]  red ties. Because I just did
[01:14:39.490 --> 01:14:40.710]  a Hitman video where I wore one.
[01:14:43.070 --> 01:14:43.390]  That
[01:14:43.390 --> 01:14:45.150]  preview of you 15 years from now
[01:14:45.150 --> 01:14:46.530]  in the bald cap was really funny.
[01:14:47.090 --> 01:14:48.850]  15? 5 maybe.
[01:14:51.430 --> 01:14:52.750]  In all seriousness,
[01:14:53.410 --> 01:14:55.470]  is there anything else we need to cover before we...
[01:14:55.470 --> 01:14:56.510]  No, I think we should do the outro.
[01:14:57.170 --> 01:14:57.950]  Okay. That was it.
[01:14:59.350 --> 01:15:01.230]  Well, shit. That was 100
[01:15:01.230 --> 01:15:02.390]  episodes. Time flew.
[01:15:03.270 --> 01:15:04.370]  That's crazy. Can I...
[01:15:04.370 --> 01:15:07.410]  I do have a question. What the fuck?
[01:15:07.690 --> 01:15:08.130]  Why?
[01:15:08.830 --> 01:15:09.610]  It sucks.
[01:15:10.790 --> 01:15:11.510]  It'll be quick.
[01:15:11.770 --> 01:15:13.690]  Is a football a ball?
[01:15:14.470 --> 01:15:15.670]  This is the thing I was trying to
[01:15:15.670 --> 01:15:16.690]  figure out.
[01:15:17.670 --> 01:15:19.370]  In what way could it not...
[01:15:19.370 --> 01:15:21.590]  In what way could it possibly not be
[01:15:21.590 --> 01:15:23.150]  a ball? Well, okay.
[01:15:23.150 --> 01:15:25.150]  Let me give you a more specific...
[01:15:25.150 --> 01:15:27.530]  I didn't know if it was a thing
[01:15:27.530 --> 01:15:29.270]  like a strawberry. It says
[01:15:29.270 --> 01:15:31.310]  berry in the name, but it's not a berry.
[01:15:32.470 --> 01:15:33.370]  I was wondering...
[01:15:33.370 --> 01:15:35.190]  Do you ever throw a
[01:15:35.190 --> 01:15:36.650]  Nerf Vortex, Gavin?
[01:15:37.050 --> 01:15:38.910]  Yeah. The little whistly thing?
[01:15:39.330 --> 01:15:40.790]  Yeah. It's one of my
[01:15:40.790 --> 01:15:42.350]  favorite. I was thinking about
[01:15:42.350 --> 01:15:44.270]  what are the greatest balls of all time.
[01:15:44.730 --> 01:15:46.610]  And I think the Nerf Vortex might be
[01:15:46.610 --> 01:15:48.650]  number one. But I didn't know
[01:15:48.650 --> 01:15:50.010]  if it would be considered a ball or not.
[01:15:50.530 --> 01:15:52.530]  Is that a ball? It's a football. More of a foam
[01:15:52.530 --> 01:15:54.790]  dart. You think it's a foam dart?
[01:15:55.450 --> 01:15:56.930]  And not a football? It's pretty darty
[01:15:56.930 --> 01:15:58.310]  considering the flights on the back.
[01:15:58.750 --> 01:16:00.490]  But the movement, like the throw,
[01:16:00.610 --> 01:16:01.970]  it's a football product.
[01:16:03.210 --> 01:16:04.690]  Which then made me wonder, is a
[01:16:04.690 --> 01:16:06.450]  football in itself an actual
[01:16:06.450 --> 01:16:08.590]  ball, or does it not fall
[01:16:08.590 --> 01:16:10.650]  in the ball category despite the
[01:16:10.650 --> 01:16:12.590]  name football? I mean, it's
[01:16:12.590 --> 01:16:14.270]  got the name ball in the name.
[01:16:14.510 --> 01:16:16.410]  But so does strawberry. But according
[01:16:16.410 --> 01:16:18.590]  to Wikipedia,
[01:16:19.050 --> 01:16:19.990]  which is never wrong,
[01:16:20.490 --> 01:16:22.770]  a football is a ball inflated with air
[01:16:22.770 --> 01:16:24.710]  used to play one of the various sports
[01:16:24.710 --> 01:16:26.390]  known as football. So apparently
[01:16:27.170 --> 01:16:28.730]  it is, yes,
[01:16:28.970 --> 01:16:29.810]  a ball. Okay.
[01:16:30.910 --> 01:16:32.470]  Well then I would go with the Nerf Vortex
[01:16:32.470 --> 01:16:34.070]  as the greatest ball overall.
[01:16:34.810 --> 01:16:35.950]  What was the best thing on Quibi?
[01:16:36.590 --> 01:16:38.450]  Uh, I only watched a show.
[01:16:38.630 --> 01:16:40.230]  It was this horror one
[01:16:40.230 --> 01:16:42.170]  with, um, what was the
[01:16:42.170 --> 01:16:44.610]  the fucking, he was, I never saw
[01:16:44.610 --> 01:16:46.390]  the Amazing Spider-Man. He played the Green
[01:16:46.390 --> 01:16:47.970]  Goblin in the Amazing Spider-Man.
[01:16:48.330 --> 01:16:50.390]  What was his name? You know who I'm
[01:16:50.390 --> 01:16:52.270]  talking about? I think his name,
[01:16:52.530 --> 01:16:54.590]  he played Andrew in the movie Chronicle
[01:16:54.590 --> 01:16:56.510]  as well. I don't
[01:16:56.510 --> 01:16:58.330]  know his name. He was in it,
[01:16:58.370 --> 01:17:00.330]  and I believe the female lead
[01:17:00.330 --> 01:17:02.410]  was the woman that was in The Guest
[01:17:02.850 --> 01:17:04.450]  and, uh, It Follows?
[01:17:04.550 --> 01:17:06.090]  I don't know her name either.
[01:17:06.790 --> 01:17:07.850]  It's the only thing I watched.
[01:17:08.370 --> 01:17:10.010]  Oh, what is her name?
[01:17:10.550 --> 01:17:12.270]  She was, like, in a bunch of really good
[01:17:12.270 --> 01:17:14.290]  indie movies at the time, and
[01:17:14.290 --> 01:17:16.410]  I don't feel like I've seen anything in years.
[01:17:17.090 --> 01:17:18.410]  Uh, which is surprising. She's
[01:17:18.410 --> 01:17:20.570]  great. She's great in It Follows, she's great in The Guest.
[01:17:21.010 --> 01:17:22.190]  According to the dictionary,
[01:17:23.270 --> 01:17:24.370]  the definition of
[01:17:24.370 --> 01:17:26.390]  a ball is a solid or
[01:17:26.390 --> 01:17:28.410]  hollow spherical or egg
[01:17:28.410 --> 01:17:30.250]  shaped object that is kicked, thrown,
[01:17:30.370 --> 01:17:32.470]  or hit in a game. So, egg-shaped
[01:17:32.470 --> 01:17:34.190]  I think fits. Yeah, egg-shaped
[01:17:34.190 --> 01:17:36.050]  I think is fair. With a football. Yeah.
[01:17:36.490 --> 01:17:37.790]  That works. Huh.
[01:17:38.450 --> 01:17:40.390]  Okay. There you go. But what's the name of
[01:17:40.390 --> 01:17:42.350]  the guy from The Amazing Spider-Man that was the Green
[01:17:42.890 --> 01:17:44.150]  Goblin? What's his name?
[01:17:44.290 --> 01:17:46.190]  Isn't Willem Dafoe? That's not the
[01:17:46.190 --> 01:17:47.790]  one that was with Andrew Garfield.
[01:17:48.150 --> 01:17:50.330]  The Amazing Spider-Man. I didn't see
[01:17:50.330 --> 01:17:52.590]  that. I didn't know the Green Goblin was in that. I think he is.
[01:17:53.150 --> 01:17:54.930]  I don't think it's wrong. I thought it was Lizard Man and, uh...
[01:17:54.930 --> 01:17:56.550]  Hold on, I'm looking. Electric Man.
[01:17:57.170 --> 01:17:58.870]  I think the Green Goblin's in that.
[01:17:59.030 --> 01:18:01.430]  Oh, oh, oh. It's, uh...
[01:18:01.430 --> 01:18:02.650]  What does this get? What is this dude's
[01:18:02.650 --> 01:18:04.550]  name? Uh...
[01:18:04.550 --> 01:18:06.090]  That guy. Yeah.
[01:18:06.410 --> 01:18:08.690]  Eric just posted a photo. That guy. What's his
[01:18:08.690 --> 01:18:10.630]  name? Dane DeHaan?
[01:18:10.630 --> 01:18:12.210]  Dane DeHaan. Dane DeHaan.
[01:18:12.430 --> 01:18:13.970]  There we go. Dane DeHaan. Thank you.
[01:18:14.550 --> 01:18:16.530]  Can I make a complaint with you, Gavin?
[01:18:16.950 --> 01:18:18.450]  This sucks. What's happening?
[01:18:18.450 --> 01:18:20.590]  Thank you. That's what I was about to complain about.
[01:18:20.810 --> 01:18:22.630]  Why haven't you ended this, Eric? Why haven't you
[01:18:22.630 --> 01:18:24.230]  yelled at us? Because this is just going on.
[01:18:24.230 --> 01:18:26.290]  Guys, thank you. 100 episodes of
[01:18:26.290 --> 01:18:28.270]  this podcast, and it seems like it's never gonna
[01:18:28.270 --> 01:18:30.190]  end, is it? What's the next sports-related
[01:18:30.190 --> 01:18:32.210]  thing that's gonna be going on? Will we see what's going
[01:18:32.210 --> 01:18:34.230]  on with my hubby's bagels? I can't wait to eat
[01:18:34.630 --> 01:18:36.270]  Bovril. All this
[01:18:36.270 --> 01:18:38.350]  and more, continuing in Season 4
[01:18:38.350 --> 01:18:40.030]  of the F*** Face Podcast.
[01:18:40.270 --> 01:18:42.450]  Thank you so much for listening. Uh, leave
[01:18:42.450 --> 01:18:44.470]  a rating, subscribe,
[01:18:45.030 --> 01:18:46.210]  go grab your friend's phone
[01:18:46.210 --> 01:18:48.410]  and subscribe for them, and make sure you listen
[01:18:48.410 --> 01:18:50.270]  on their phone as well. It'll
[01:18:50.270 --> 01:18:52.110]  help everyone out. Thank you so much, and goodbye.
[01:18:52.110 --> 01:18:54.330]  I think you're supposed to drink
[01:18:54.330 --> 01:18:56.190]  Bovril, not eat it. This sucks.
[01:18:56.310 --> 01:18:58.070]  Goodbye. Goodbye, end it. Goodbye.
[01:18:58.570 --> 01:19:00.210]  Hey guys, Minor League Fan Jack
[01:19:00.210 --> 01:19:02.030]  here with a look at next week's episode of
[01:19:02.030 --> 01:19:04.090]  F*** Face. Once again, the guys haven't
[01:19:04.090 --> 01:19:06.230]  recorded yet, so here's some predictions for the next
[01:19:06.230 --> 01:19:08.290]  week's episode. Let's talk about
[01:19:08.290 --> 01:19:10.270]  balls. Who's the previously on
[01:19:10.270 --> 01:19:12.430]  guy? Geoff experienced Bovril.
[01:19:12.870 --> 01:19:14.010]  Panton talks bagels.
[01:19:14.430 --> 01:19:16.110]  Gavin has a wasp problem again.
[01:19:16.510 --> 01:19:18.250]  And once again, Andrew does
[01:19:18.250 --> 01:19:20.270]  not eat the pencil. All that and more
[01:19:20.270 --> 01:19:22.230]  on next week's episode of F*** Face.
