[00:10.570 --> 00:12.050]  B-U-S-T-I-N?
[49:13.320 --> 49:14.020]  I just can't think of who it is.
[49:14.260 --> 49:15.920]  It's slipping my mind right now.
[49:16.540 --> 49:17.140]  Derek Favors.
[49:18.180 --> 49:18.780]  Darius Baisley.
[49:19.580 --> 49:20.640]  Ooh, purple wave.
[49:20.800 --> 49:21.580]  Fred Van Vliet.
[49:21.780 --> 49:22.220]  Ooh, nice.
[49:22.300 --> 49:25.820]  One of the only people to make the All-Star Game and wasn't drafted.
[49:26.860 --> 49:27.500]  Really good player.
[49:27.620 --> 49:28.000]  I like him.
[49:28.020 --> 49:28.540]  He's a little guy.
[49:28.620 --> 49:29.060]  I like him, too.
[49:29.780 --> 49:31.320]  I'm not a fan of the Raptors, but I like him.
[49:31.500 --> 49:32.640]  And then Instant Impact.
[49:32.920 --> 49:33.370]  Quentin Grimes.
[49:33.750 --> 49:34.110]  Quentin Grimes.
[49:34.230 --> 49:34.870]  Parallel rookie.
[49:36.730 --> 49:37.270]  Kind of.
[49:37.530 --> 49:38.390]  Instant Impact.
[49:40.770 --> 49:42.230]  Those Instant Impact cards are ugly.
[49:42.350 --> 49:43.370]  Look how ugly this card is.
[49:43.650 --> 49:43.930]  Yuck.
[49:44.310 --> 49:44.910]  They're really ugly.
[49:45.050 --> 49:46.510]  It looks like there's a big spider behind it.
[49:46.670 --> 49:47.650]  Yeah, it looks like he's...
[49:47.650 --> 49:49.170]  It looks like he's in the underneath.
[49:49.350 --> 49:51.350]  He has six devil tails coming out of him.
[49:51.750 --> 49:53.630]  It's like he's got an octopus coming out of his butthole.
[49:53.650 --> 49:53.830]  Yeah.
[49:54.010 --> 49:54.530]  Save that.
[49:54.550 --> 49:55.270]  That's the Instant Impact.
[49:55.650 --> 49:56.910]  Octo-ass, they call him.
[49:59.370 --> 49:59.970]  Octo-mom.
[49:59.970 --> 50:04.930]  Do you think Quentin Grimes, when he has a good game, they kind of say he's getting grimy?
[50:05.650 --> 50:05.910]  Yeah.
[50:06.030 --> 50:06.710]  I hope they start that.
[50:06.990 --> 50:07.430]  Jordan Loira.
[50:07.610 --> 50:08.830]  If they do start that, it happened here first.
[50:09.090 --> 50:09.790]  Reggie Bullock.
[50:10.030 --> 50:11.190]  Another Franz Wagner rookie.
[50:11.330 --> 50:12.870]  Oh, this one's fucking...
[50:12.870 --> 50:14.070]  Look at that bullshit.
[50:14.370 --> 50:15.070]  Is it all fucked up?
[50:15.230 --> 50:16.550]  Yeah, you see that right there at the top?
[50:16.770 --> 50:17.050]  Bummer.
[50:17.510 --> 50:17.990]  That's a bummer.
[50:18.330 --> 50:19.230]  Oh, thank God we got the other one.
[50:19.670 --> 50:20.850]  And then, what do we got there?
[50:20.910 --> 50:21.430]  Daron Sharp.
[50:21.890 --> 50:21.990]  Emergent.
[50:23.150 --> 50:23.730]  I don't know.
[50:23.850 --> 50:24.850]  Real shame about that.
[50:25.670 --> 50:26.190]  That's a bummer.
[50:26.350 --> 50:26.850]  Worthless card.
[50:26.890 --> 50:27.510]  Is this the last one?
[50:27.790 --> 50:29.270]  This is the last Prism pack.
[50:29.270 --> 50:30.150]  Heartbreaker.
[50:30.910 --> 50:33.070]  And then, maybe we'll save Jackass, but we'll open a Mischief.
[50:33.370 --> 50:33.830]  How about that?
[50:34.890 --> 50:35.770]  I don't know what that is, but...
[50:35.770 --> 50:36.050]  Ah, fuck.
[50:36.250 --> 50:36.530]  Yeah.
[50:37.130 --> 50:38.070]  Okay, here we go.
[50:39.390 --> 50:40.350]  Anthony Edwards.
[50:40.870 --> 50:41.550]  Lugans Dort.
[50:41.910 --> 50:42.350]  Dort!
[50:42.450 --> 50:42.750]  Dort!
[50:42.910 --> 50:43.950]  He's a great player, though.
[50:43.970 --> 50:44.590]  Great player.
[50:44.970 --> 50:47.410]  Here's a poorly, poorly cut Joe Weiskamp rookie.
[50:47.590 --> 50:47.830]  Bummer.
[50:49.570 --> 50:50.050]  Bummer.
[50:50.530 --> 50:52.730]  And then, this is a...
[50:52.730 --> 50:54.010]  Okay, I'll take this.
[50:54.290 --> 50:56.690]  This is a green parallel instant impact.
[50:56.750 --> 50:57.610]  Octo-ass.
[50:58.270 --> 50:59.230]  Evan Mobley.
[51:00.030 --> 51:00.430]  Wow!
[51:00.730 --> 51:01.510]  It does.
[51:01.610 --> 51:03.210]  You can see the difference between this one and the other one.
[51:03.290 --> 51:05.810]  Why is that the card backing for instant impact?
[51:05.810 --> 51:06.790]  Dude, I don't know.
[51:06.890 --> 51:07.190]  That's crazy.
[51:07.190 --> 51:08.050]  I don't know where they came up with that from.
[51:08.150 --> 51:08.630]  These are terrible.
[51:08.770 --> 51:09.690]  But, yeah.
[51:09.910 --> 51:11.630]  So, this is not good.
[51:11.710 --> 51:14.210]  This is probably worth 30, 40 bucks.
[51:14.610 --> 51:15.250]  Damn, nice.
[51:15.490 --> 51:17.190]  Yeah, well, it's Evan Mobley, and it's a parallel.
[51:18.050 --> 51:22.230]  The rookie inserts aren't worth as much as regular rookie base cards, but because it's
[51:22.230 --> 51:24.130]  a parallel, it's worth more.
[51:24.390 --> 51:24.670]  Nice.
[51:24.910 --> 51:25.530]  Yeah, there you go.
[51:26.030 --> 51:28.170]  We have seven minutes left.
[51:28.170 --> 51:29.070]  What is mischief?
[51:29.850 --> 51:30.890]  We're going to get there in just a second.
[51:31.050 --> 51:31.390]  Oh, okay.
[51:31.590 --> 51:34.010]  But first, we're going to open up a pack of 1990 tops.
[51:34.050 --> 51:34.450]  Oh, cool.
[51:34.510 --> 51:35.470]  See if we can grab a Zim.
[51:35.670 --> 51:36.030]  Why not?
[51:36.170 --> 51:37.410]  Yeah, no shit!
[51:39.450 --> 51:41.650]  Because we haven't had a Zim in a long, long, long time.
[51:42.170 --> 51:45.870]  We got intentional Zims earlier in the show, but those are, again, intentional.
[51:46.750 --> 51:50.590]  Chuck Finley, Bud Black, Joey Bell, Benito Santiago.
[51:51.050 --> 51:52.130]  It says Benny, but his name's Benito.
[51:52.850 --> 51:57.250]  Clay Parker, Kirby Puckett again, Stan Javier, Vaughn Hayes.
[51:57.250 --> 51:57.990]  We got him earlier, too.
[51:58.070 --> 51:58.770]  Dennis Eckersley.
[51:58.890 --> 52:00.650]  Now, that's a fucking relief pitcher right there.
[52:01.190 --> 52:01.830]  Ken Phelps.
[52:01.890 --> 52:02.910]  They had a great mustache, too.
[52:03.670 --> 52:04.390]  Kurt Ford.
[52:04.450 --> 52:05.290]  Whoa, hey, Ken Phelps.
[52:05.310 --> 52:06.330]  Hold on, going back, going back.
[52:06.450 --> 52:07.190]  That's a soup strainer.
[52:07.230 --> 52:08.270]  Oh, my Lord.
[52:09.090 --> 52:10.370]  I totally would have missed that.
[52:10.390 --> 52:12.470]  Wow, Ken Phelps, that's a great look.
[52:12.490 --> 52:13.970]  That's a lot going on there.
[52:14.030 --> 52:16.830]  That looks like a guy dressed up like a baseball player, but does not play baseball.
[52:16.990 --> 52:17.550]  We're saving that.
[52:18.350 --> 52:20.570]  Randy Myers, the Ozzie Smith.
[52:20.690 --> 52:21.050]  Nice.
[52:21.250 --> 52:21.790]  Save that.
[52:22.950 --> 52:27.390]  Mike Marshall, Floyd Bannister, and John Smoltz.
[52:27.570 --> 52:27.750]  Nice.
[52:27.830 --> 52:28.170]  Another great pitcher.
[52:28.470 --> 52:28.730]  Okay.
[52:28.910 --> 52:30.010]  No Zim, but...
[52:30.010 --> 52:30.470]  No Zim.
[52:30.730 --> 52:31.490]  Close enough, though.
[52:32.250 --> 52:34.750]  Okay, so, we're gonna end on Mischief Cards.
[52:34.830 --> 52:35.090]  Okay.
[52:35.810 --> 52:36.170]  So...
[52:36.170 --> 52:37.030]  What is Mischief Cards?
[52:37.450 --> 52:40.010]  Mischief is this fucking cool company that just do weird stuff.
[52:40.110 --> 52:40.870]  Like, they have a...
[52:41.530 --> 52:43.970]  Have you heard me talk about the million dollar puzzle I'm putting together right now?
[52:44.350 --> 52:44.930]  No, what?
[52:44.930 --> 52:45.730]  I bought a five...
[52:45.730 --> 52:46.430]  They sold a puzzle.
[52:46.550 --> 52:47.270]  They sold a bunch of them.
[52:47.370 --> 52:47.570]  Uh-huh.
[52:47.890 --> 52:49.030]  And then you put it together.
[52:49.130 --> 52:49.810]  You don't get a picture of it.
[52:49.810 --> 52:50.330]  You put it together.
[52:50.430 --> 52:51.010]  It's a QR code.
[52:51.090 --> 52:54.570]  You scan that QR code, and then you enter it in a website, and you can win either a dollar,
[52:54.990 --> 52:57.430]  ten dollars, a hundred dollars, a thousand dollars, a hundred thousand dollars, or a
[52:57.430 --> 52:57.830]  million dollars.
[52:58.030 --> 52:58.130]  What?
[52:58.350 --> 52:58.530]  Yeah.
[52:58.790 --> 53:00.670]  It's a hard puzzle to put together, though, without a picture.
[53:01.270 --> 53:03.390]  Because if they showed you the picture, then you could just scan the picture.
[53:03.550 --> 53:03.650]  Great.
[53:04.010 --> 53:05.290]  So, anyway, they do stuff like that.
[53:05.650 --> 53:08.470]  So, these are their Spring Break Booster Pack cards.
[53:08.490 --> 53:08.550]  Oh, cool.
[53:08.570 --> 53:09.370]  And I've been wanting to open these.
[53:09.410 --> 53:10.630]  I had to buy these on StockX.
[53:11.030 --> 53:11.210]  Really?
[53:11.210 --> 53:12.630]  This one box was like a hundred...
[53:12.630 --> 53:13.570]  That's where I get all my...
[53:13.570 --> 53:14.090]  Eighty bucks.
[53:14.170 --> 53:14.730]  That's where I get all my shoes.
[53:14.730 --> 53:15.890]  I'm a big sneakerhead, guys.
[53:16.030 --> 53:16.450]  Yeah, you are.
[53:16.590 --> 53:16.750]  Yeah.
[53:16.850 --> 53:19.650]  So, we're going to open half of this, and then we're going to save the rest.
[53:19.650 --> 53:20.270]  Somebody's doing a pack sack.
[53:22.470 --> 53:23.890]  Listen, I'm feeding the pack sack, bro.
[53:23.990 --> 53:24.490]  Yeah, you are.
[53:24.530 --> 53:24.730]  You are.
[53:24.790 --> 53:25.030]  You're right.
[53:26.090 --> 53:26.490]  You're right.
[53:26.570 --> 53:26.810]  You're right.
[53:26.950 --> 53:26.990]  You're right.
[53:26.990 --> 53:27.090]  You're right.
[53:28.190 --> 53:28.970]  Goes in the pack sack.
[53:29.930 --> 53:31.510]  Okay, and after these cards, we're done.
[53:31.570 --> 53:31.830]  Okay.
[53:31.930 --> 53:32.430]  Turn it off.
[53:33.730 --> 53:34.490]  So, here we go.
[53:34.550 --> 53:34.950]  Turn it off.
[53:35.410 --> 53:36.470]  Turn it off and go to hell.
[53:37.390 --> 53:38.610]  Booster Pack Spring Break.
[53:38.690 --> 53:40.850]  Let's see what kind of weird shit we get.
[53:40.890 --> 53:41.170]  Okay.
[53:41.410 --> 53:42.630]  Five cards in here.
[53:42.890 --> 53:43.730]  I hope...
[53:43.730 --> 53:44.370]  I hope we find Emily.
[53:44.450 --> 53:45.170]  I hope there's a dog.
[53:46.130 --> 53:49.270]  I hope that there is a...
[53:49.270 --> 53:50.810]  This fraud marks the spot.
[53:51.690 --> 53:52.910]  I hope there's a gum wrapper.
[53:53.330 --> 53:53.810]  There might be.
[53:53.990 --> 53:54.650]  But no gum.
[53:54.830 --> 53:55.230]  But just the wrapper.
[53:55.230 --> 53:55.850]  Yeah, just the wrapper.
[53:55.950 --> 53:56.350]  I like that.
[53:56.830 --> 53:56.870]  Okay.
[53:57.190 --> 53:58.210]  Geoff, any hopes for anything?
[53:58.390 --> 53:59.970]  I just hope I don't get the fucking package open.
[54:00.210 --> 54:00.990]  You're almost there.
[54:01.350 --> 54:02.470]  Okay, let's see what we got.
[54:02.690 --> 54:02.890]  Okay.
[54:02.990 --> 54:03.710]  These are going to be fun.
[54:04.030 --> 54:04.390]  Here we go.
[54:04.470 --> 54:07.850]  We got a student ID FSU card.
[54:07.890 --> 54:08.030]  What?
[54:09.670 --> 54:10.830]  What is this?
[54:10.910 --> 54:11.710]  I'm telling you, it's weird.
[54:12.170 --> 54:15.070]  We got a Miami Beach tie-on hotel room key.
[54:15.270 --> 54:15.550]  Okay.
[54:16.410 --> 54:17.830]  We got a...
[54:17.830 --> 54:17.930]  Oh!
[54:18.210 --> 54:19.510]  Here's a Venmo debit card.
[54:20.270 --> 54:22.270]  So that'll work, and that'll have real money on it.
[54:22.510 --> 54:22.710]  What?
[54:22.830 --> 54:23.090]  For real?
[54:23.190 --> 54:23.670]  Yeah, it should.
[54:23.830 --> 54:24.350]  Yeah, I think so.
[54:24.450 --> 54:25.030]  I think it's a real card.
[54:25.690 --> 54:26.450]  It's one of the chase cards.
[54:26.590 --> 54:27.290]  How do you make it work?
[54:27.570 --> 54:28.190]  Can I scan it?
[54:28.990 --> 54:29.730]  Scan it, yeah.
[54:30.030 --> 54:30.710]  It's got a...
[54:30.710 --> 54:31.870]  I mean, I wouldn't show the camera.
[54:32.330 --> 54:32.890]  But yeah, you know.
[54:33.590 --> 54:34.850]  We have a...
[54:34.850 --> 54:35.750]  Oh, here we go.
[54:35.950 --> 54:37.350]  Here's a picture of Florida Man.
[54:37.670 --> 54:38.610]  We got a Florida Man card.
[54:38.610 --> 54:38.990]  There he is.
[54:39.810 --> 54:40.130]  There you go.
[54:40.130 --> 54:41.210]  He looks like Topher...
[54:41.210 --> 54:42.110]  He does look like Topher Grace.
[54:42.110 --> 54:42.510]  Topher Grace.
[54:42.770 --> 54:42.870]  Yeah.
[54:44.550 --> 54:45.030]  Florida Man.
[54:45.130 --> 54:48.570]  Florida's government records transparency laws make all states' mugshots publicly available.
[54:49.150 --> 54:53.690]  The Florida Man phenomenon results from the inherent zany lawlessness of Florida's citizens,
[54:53.850 --> 54:57.890]  at least not entirely, but because their home state offers them up as public fodder for scrutiny.
[54:58.150 --> 54:58.390]  Wow.
[54:58.530 --> 54:59.050]  Oh, there you go.
[54:59.070 --> 54:59.570]  You learned something new.
[54:59.630 --> 55:00.450]  Just a guy, huh?
[55:00.890 --> 55:01.450]  Just a guy.
[55:01.490 --> 55:02.130]  Just Florida Man.
[55:02.270 --> 55:03.390]  And then we have a...
[55:03.390 --> 55:03.930]  Oh, here we go.
[55:04.390 --> 55:09.050]  This is a Florida citation for Hillsborough County for public urination.
[55:09.050 --> 55:09.670]  Oh.
[55:10.030 --> 55:10.810]  So we got a public urination.
[55:10.810 --> 55:11.990]  These cards are insane.
[55:12.650 --> 55:12.970]  Yeah.
[55:13.290 --> 55:14.190]  These are weird.
[55:14.310 --> 55:15.070]  They are very weird.
[55:15.270 --> 55:16.250]  These are spring break cards.
[55:16.610 --> 55:17.450]  So they're...
[55:17.450 --> 55:18.250]  What the fuck?
[55:18.370 --> 55:18.850]  I know, dude.
[55:18.910 --> 55:20.010]  I've been so excited to open them.
[55:20.050 --> 55:20.650]  These are weird.
[55:20.990 --> 55:21.510]  Months I've been waiting.
[55:21.510 --> 55:22.810]  I do think we might find a dog.
[55:24.650 --> 55:25.450]  Maybe it's like a relic.
[55:25.510 --> 55:26.110]  Like dog hair.
[55:26.570 --> 55:26.710]  Yeah.
[55:26.890 --> 55:28.550]  Well, now that I'm aware of what it is...
[55:28.550 --> 55:28.710]  Yeah.
[55:29.970 --> 55:30.290]  I'm...
[55:30.790 --> 55:32.570]  I guess a gum wrapper would still...
[55:32.570 --> 55:32.910]  Yeah, right.
[55:33.070 --> 55:33.710]  Possibly be in there.
[55:33.730 --> 55:34.330]  I feel like it's still a thing, yeah.
[55:35.570 --> 55:36.810]  Geoff's gonna figure out how to open these packs.
[55:36.850 --> 55:37.470]  It's gonna be so sick.
[55:38.070 --> 55:39.870]  I don't think cutting that little piece...
[55:39.870 --> 55:40.650]  ...is still seen.
[55:41.050 --> 55:42.270]  No, that was a bad idea.
[55:42.430 --> 55:42.530]  Yeah.
[55:42.610 --> 55:42.910]  Here we go.
[55:43.290 --> 55:44.370]  Looks like there's a ripped tab at the top.
[55:44.370 --> 55:46.090]  Yeah, there's a ripped tab at the top, I discovered.
[55:46.250 --> 55:47.190]  After I cut it off.
[55:47.710 --> 55:48.470]  On the other one.
[55:50.210 --> 55:50.710]  You got it.
[55:50.750 --> 55:51.830]  Learn something new every day.
[55:52.010 --> 55:52.450]  You're getting it.
[55:53.290 --> 55:53.810]  Almost there.
[55:54.150 --> 55:55.010]  Please don't cut your finger.
[55:55.230 --> 55:55.930]  Cut away from yourself.
[55:56.430 --> 55:56.970]  Towards me.
[55:58.270 --> 55:59.050]  I'll catch it.
[55:59.190 --> 55:59.650]  It's fine.
[56:02.450 --> 56:03.470]  We're almost there, guys.
[56:03.510 --> 56:04.770]  We almost have the second pack.
[56:05.270 --> 56:06.090]  Here we go.
[56:06.090 --> 56:07.270]  All right, here it comes.
[56:07.310 --> 56:07.790]  All right, here we go.
[56:07.810 --> 56:08.630]  Second pack incoming.
[56:12.110 --> 56:16.550]  Here's a water diving membership card for Janice 2.
[56:16.730 --> 56:16.930]  What?
[56:17.250 --> 56:18.970]  Here's another Venmo debit card.
[56:19.230 --> 56:19.490]  Nice.
[56:20.570 --> 56:21.550]  Oh, here we go.
[56:21.750 --> 56:23.330]  Here's two tickets for Dave and Busters.
[56:24.470 --> 56:24.990]  Nice.
[56:26.710 --> 56:28.790]  Here's another FSU student ID.
[56:28.830 --> 56:29.110]  Cool.
[56:29.270 --> 56:29.570]  All set.
[56:30.070 --> 56:30.830]  Oh, and here we go.
[56:31.090 --> 56:32.090]  Here's somebody's...
[56:35.490 --> 56:38.930]  Open Access Plus Cigna group...
[56:38.930 --> 56:41.370]  Oh, that's just a medical card.
[56:41.510 --> 56:42.330]  Yeah, a medical ID card.
[56:42.430 --> 56:42.770]  That's cool.
[56:42.930 --> 56:44.890]  Is it like a PPO, a HMO?
[56:45.010 --> 56:46.530]  It is a...
[56:46.530 --> 56:47.670]  There's no way they have an FSA.
[56:47.690 --> 56:47.930]  They got a good plan?
[56:48.210 --> 56:48.990]  They got no FSA.
[56:49.370 --> 56:50.030]  You can feel it.
[56:51.510 --> 56:52.730]  I mean, it just says the group ID.
[56:53.110 --> 56:54.310]  It doesn't say...
[56:54.950 --> 56:56.570]  Primary care is $20 copay.
[56:57.010 --> 56:57.850]  Specialist care is $50.
[56:57.970 --> 56:58.730]  Urgent care is $25.
[56:58.870 --> 56:59.770]  ER is $200.
[57:01.450 --> 57:03.410]  It doesn't say if it's an HMO or a PPO.
[57:03.810 --> 57:03.890]  Interesting.
[57:05.930 --> 57:07.030]  Okay, we'll put that there.
[57:07.190 --> 57:08.650]  Don't forget, there's a RIP tab.
[57:10.870 --> 57:12.170]  RIP tab sucks.
[57:13.310 --> 57:14.550]  It's closer than you were, I guess.
[57:16.950 --> 57:19.390]  Well, they don't skimp on the packaging.
[57:24.350 --> 57:25.550]  How was this stream?
[57:25.750 --> 57:26.530]  It's not over.
[57:26.710 --> 57:27.530]  How do you like it so far?
[57:27.890 --> 57:28.570]  Lots of dead air.
[57:28.710 --> 57:28.850]  Yeah.
[57:30.150 --> 57:30.670]  Boom.
[57:31.210 --> 57:32.190]  What the fuck?
[57:32.310 --> 57:33.830]  You have to scan these and see what we're playing.
[57:33.970 --> 57:34.770]  Another Florida man.
[57:34.790 --> 57:35.710]  What's that guy again?
[57:36.310 --> 57:37.950]  Ritz Carlton Club Lounge.
[57:38.070 --> 57:38.570]  Nice.
[57:38.830 --> 57:39.750]  Hi there.
[57:41.070 --> 57:42.110]  Here's a...
[57:43.010 --> 57:44.970]  Ultra Music Festival wristband.
[57:45.130 --> 57:45.350]  What?
[57:45.850 --> 57:47.810]  We really might get a gum wrapper.
[57:47.910 --> 57:48.550]  I think so.
[57:49.210 --> 57:49.770]  And then...
[57:50.450 --> 57:51.070]  Oh, here we go.
[57:51.330 --> 57:52.130]  Here's a United...
[57:52.130 --> 57:56.770]  First class ticket for Christopher from Phoenix to...
[57:57.370 --> 57:57.690]  Nice.
[57:57.810 --> 57:58.890]  D.A.B., whoever that is.
[57:59.730 --> 58:00.310]  Daytona Beach.
[58:00.370 --> 58:00.830]  Daytona Beach.
[58:00.910 --> 58:01.230]  There you go.
[58:01.310 --> 58:01.770]  Makes sense.
[58:02.290 --> 58:03.270]  So we got a...
[58:03.270 --> 58:03.750]  Wow.
[58:03.930 --> 58:05.990]  We got one more pack and that's the end of the stream, huh?
[58:06.370 --> 58:07.090]  Yeah, then turn it off.
[58:07.950 --> 58:08.410]  There you go.
[58:08.550 --> 58:09.270]  This fucking sucks.
[58:15.150 --> 58:16.150]  I like these cards.
[58:16.210 --> 58:17.230]  I don't like opening these cards.
[58:17.350 --> 58:18.050]  I'm a fan.
[58:26.250 --> 58:27.090]  Hey, you got it.
[58:27.790 --> 58:28.510]  Okay, here we go.
[58:28.590 --> 58:29.950]  Last pack and then we have to go.
[58:29.950 --> 58:30.090]  Last pack.
[58:30.310 --> 58:31.570]  Let's see what we got.
[58:31.570 --> 58:32.030]  Here we go.
[58:32.030 --> 58:36.390]  We got another first class ticket for Cleopatra Dinkins.
[58:37.070 --> 58:40.250]  Cleopatra's going from BDU to Daytona Beach.
[58:40.570 --> 58:40.970]  BDU.
[58:41.750 --> 58:42.190]  I don't know.
[58:43.950 --> 58:44.750]  We got...
[58:45.190 --> 58:46.310]  Here is a...
[58:46.310 --> 58:46.990]  Boulder, Colorado.
[58:47.910 --> 58:48.590]  Doesn't make any sense.
[58:48.690 --> 58:49.150]  Time to feed the dog.
[58:49.170 --> 58:49.530]  Time to feed the dog.
[58:49.970 --> 58:50.590]  He needs his pill.
[58:50.910 --> 58:51.430]  Oh, no!
[58:51.530 --> 58:51.870]  Here we go.
[58:51.930 --> 58:54.990]  Your sex partner told you that he or she has been diagnosed with chlamydia.
[58:55.930 --> 58:57.790]  Here's how you get tested and treated.
[58:58.030 --> 58:59.010]  Helpful information.
[59:00.210 --> 59:01.390]  Give to the doctor or nurse.
[59:01.650 --> 59:02.230]  There you go.
[59:02.230 --> 59:03.950]  Then Florida man again.
[59:04.170 --> 59:05.030]  Tons of Florida mans.
[59:05.790 --> 59:07.310]  Oh, that's a good one.
[59:07.530 --> 59:07.990]  Here's a...
[59:07.990 --> 59:08.830]  This is, I think, legit.
[59:09.410 --> 59:10.170]  I'll cover the...
[59:10.790 --> 59:10.810]  Okay.
[59:11.130 --> 59:11.910]  Here's an IHOP.
[59:12.010 --> 59:13.530]  $10 gift card for IHOP.
[59:13.690 --> 59:14.050]  Awesome!
[59:14.090 --> 59:14.910]  And it's lenticular.
[59:16.170 --> 59:17.130]  And that works.
[59:17.150 --> 59:17.570]  That's real.
[59:17.590 --> 59:18.050]  That's cool.
[59:18.150 --> 59:18.790]  So we can go to IHOP.
[59:18.910 --> 59:20.110]  And then the last card we have.
[59:20.110 --> 59:20.910]  We're going to end on.
[59:21.070 --> 59:21.530]  Alright, here we go.
[59:21.550 --> 59:22.610]  It's not a Zimmer.
[59:22.910 --> 59:24.290]  It's not a Billy Ripken fuckface card.
[59:24.290 --> 59:31.930]  But it is a State of Florida Marine Services Bureau officially issued Preston Pennington
[59:31.930 --> 59:34.230]  boating safety certificate.
[59:34.290 --> 59:34.790]  What?
[59:35.390 --> 59:35.890]  Oh!
[59:36.070 --> 59:36.690]  There you go.
[59:37.050 --> 59:37.090]  Oh!
[59:37.450 --> 59:38.470]  Boating certificate?
[59:38.590 --> 59:39.250]  Yeah, boating permit.
[59:40.250 --> 59:42.010]  Gotta have a boating permit in Florida, I guess.
[59:42.430 --> 59:42.570]  Huh.
[59:42.950 --> 59:43.530]  There you go.
[59:43.550 --> 59:44.050]  We did it!
[59:44.690 --> 59:48.990]  Thank you for tuning in to another episode of Face Break Shit.
[59:49.130 --> 59:49.290]  Yup.
[59:50.170 --> 59:50.670]  And...
[59:50.670 --> 59:51.590]  Oh, God.
[59:52.470 --> 59:53.610]  We hope you enjoyed yourself.
[59:53.610 --> 59:53.890]  Yeah.
[59:55.090 --> 59:55.910]  Tune in next time.
[59:56.010 --> 59:57.590]  Don't forget to listen to the podcast.
[59:58.210 --> 59:59.490]  Tell a friend about the podcast.
[01:00:00.170 --> 01:00:00.610]  Tell an enemy.
[01:00:00.710 --> 01:00:01.990]  It's called F*** Face.
[01:00:02.130 --> 01:00:03.350]  It's very hard to search for.
[01:00:03.810 --> 01:00:06.090]  You have to be, like, spell it the right way.
[01:00:06.530 --> 01:00:07.690]  Thank you guys for watching.
[01:00:07.990 --> 01:00:09.910]  We'll do more of these soon, hopefully.
[01:00:11.110 --> 01:00:12.570]  And, Geoff, any final words?
[01:00:12.810 --> 01:00:13.330]  I already stopped.
[01:00:13.370 --> 01:00:13.670]  I'm done.
[01:00:14.010 --> 01:00:14.210]  Oh.
[01:00:14.290 --> 01:00:14.890]  I already turned it off.
[01:00:14.970 --> 01:00:15.210]  I'm done.
[01:00:15.310 --> 01:00:15.330]  Okay.
[01:00:15.410 --> 01:00:15.970]  We can go.
[01:00:16.050 --> 01:00:16.650]  We can go now.
[01:00:17.510 --> 01:00:17.850]  Bye.
[01:00:17.930 --> 01:00:18.170]  Bye.
