[00:00.000 --> 00:00.780]  It's an Xbox.
[01:11:11.460 --> 01:11:12.400]  I'm ferryman.
[01:11:13.920 --> 01:11:15.080]  Just a ferryman.
[01:11:16.060 --> 01:11:17.560]  I'm swimming towards the boat.
[01:11:18.340 --> 01:11:20.000]  I got bit by a shark.
[01:11:21.800 --> 01:11:22.840]  Yeah, they'll do that.
[01:11:22.980 --> 01:11:23.880]  Hey, King Crane is here.
[01:11:25.580 --> 01:11:27.380]  We're really bad.
[01:11:27.820 --> 01:11:29.740]  I'm doing my best, but it's just me.
[01:11:30.540 --> 01:11:31.280]  I'm almost back.
[01:11:31.680 --> 01:11:32.360]  Almost back.
[01:11:35.280 --> 01:11:36.000]  We're sunk.
[01:11:36.500 --> 01:11:38.900]  We're in class 13 and Bucket's bailed by crew.
[01:11:39.580 --> 01:11:40.680]  I can't...
[01:11:40.680 --> 01:11:41.660]  We're gonna have to go back.
[01:11:45.620 --> 01:11:48.340]  I don't think we're taking this guy out, boys.
[01:11:48.500 --> 01:11:48.960]  We are.
[01:11:48.960 --> 01:11:49.080]  We are.
[01:11:51.000 --> 01:11:51.360]  M9.
[01:11:52.460 --> 01:11:53.460]  We're definitely taking him out.
[01:11:53.920 --> 01:11:55.240]  He's gotta be close to dead now.
[01:11:56.220 --> 01:11:58.280]  You know, I feel like I've heard that once before.
[01:11:59.220 --> 01:12:00.980]  We just have to kill him more than he kills us.
[01:12:02.640 --> 01:12:05.100]  That was really good. We got fucked because that guy came on the boat
[01:12:05.100 --> 01:12:06.480]  that was asking for help with the thing
[01:12:06.480 --> 01:12:07.460]  and he killed two of you.
[01:12:08.000 --> 01:12:08.940]  Oh, is that what happened?
[01:12:09.380 --> 01:12:11.620]  And then you got launched off, Eric.
[01:12:12.420 --> 01:12:14.360]  I didn't know that there was a guy on the boat.
[01:12:16.380 --> 01:12:16.740]  Okay.
[01:12:16.780 --> 01:12:18.040]  That little dickhead.
[01:12:18.540 --> 01:12:19.240]  Raise the anchor.
[01:12:19.240 --> 01:12:20.800]  I can't wait to get all of our stuff back, guys.
[01:12:23.640 --> 01:12:24.260]  All of our...
[01:12:24.260 --> 01:12:26.820]  All of that stuff from the beginning of the video
[01:12:26.820 --> 01:12:27.840]  belongs to DayZ now.
[01:12:28.380 --> 01:12:29.460]  Oh, from 40 minutes ago?
[01:12:29.580 --> 01:12:29.700]  Yeah.
[01:12:32.920 --> 01:12:33.280]  Load...
[01:12:33.280 --> 01:12:35.440]  Geoff isn't gonna help with the anchor, but he's got it.
[01:12:35.760 --> 01:12:36.700]  I'm loading cannonballs.
[01:12:37.060 --> 01:12:39.880]  Yeah, we could do that while we're moving to the...
[01:12:39.880 --> 01:12:42.080]  Yeah, yeah, yeah, but what if we do it now instead?
[01:12:42.080 --> 01:12:44.260]  What? There's fucking three of you doing it.
[01:12:44.400 --> 01:12:44.960]  Yeah, but...
[01:12:44.960 --> 01:12:46.120]  Imagine if there's four!
[01:12:57.840 --> 01:12:58.820]  It's just great.
[01:12:58.960 --> 01:12:59.720]  It's so good.
[01:13:03.300 --> 01:13:05.500]  I'm gonna unload all the cannonballs then.
[01:13:05.760 --> 01:13:06.120]  Thanks, man.
[01:13:06.600 --> 01:13:08.560]  Nobody's asking you to unload the cannonballs.
[01:13:08.560 --> 01:13:10.940]  No one wanted you to do anything with the cannonballs, period.
[01:13:11.180 --> 01:13:13.020]  I'm undoing the work I did to help.
[01:13:13.020 --> 01:13:13.580]  Why?
[01:13:14.480 --> 01:13:19.820]  Hey, Geoff, I'm with you.
[01:13:19.900 --> 01:13:20.440]  You should do that.
[01:13:20.780 --> 01:13:21.400]  Why, Geoff?
[01:13:22.780 --> 01:13:24.220]  What's wrong with the both of you?
[01:13:24.880 --> 01:13:26.180]  I don't want to be made fun of.
[01:13:27.140 --> 01:13:29.360]  You should work for a different company.
[01:13:30.080 --> 01:13:31.320]  I own this company.
[01:13:31.420 --> 01:13:32.160]  What are you talking about?
[01:13:32.900 --> 01:13:34.820]  So do the rest of us.
[01:13:34.880 --> 01:13:36.340]  That's why we're making fun of your ass.
[01:13:38.640 --> 01:13:40.320]  Alright, I'll see you guys later.
[01:13:40.320 --> 01:13:41.140]  Okay, bye.
[01:13:41.360 --> 01:13:42.060]  See you later.
[01:13:43.840 --> 01:13:47.240]  I feel like this situation is untenable.
[01:13:47.420 --> 01:13:51.400]  I'm gonna have to go back to land and start a new life for myself on there.
[01:13:51.400 --> 01:13:54.740]  I don't understand why any of this is happening.
[01:13:56.740 --> 01:13:58.540]  Why are mommy and daddy fighting?
[01:13:59.040 --> 01:13:59.700]  We're not fighting.
[01:13:59.880 --> 01:14:01.280]  I'm separating so that we don't fight.
[01:14:02.020 --> 01:14:03.680]  Oh, no. Was it me?
[01:14:04.020 --> 01:14:05.740]  Yeah, it was all of you.
[01:14:06.400 --> 01:14:07.800]  You're not supposed to actually say yeah.
[01:14:14.170 --> 01:14:15.210]  Alright, well that got real.
[01:14:17.990 --> 01:14:19.550]  He swam by the mermaid.
[01:14:19.850 --> 01:14:21.510]  He doesn't want anything to do with the mermaid.
[01:14:22.310 --> 01:14:23.670]  The mermaid's not doing me any good.
[01:14:23.730 --> 01:14:24.830]  She's not going to get me to land faster.
[01:14:26.850 --> 01:14:27.850]  Geoff, please.
[01:14:28.050 --> 01:14:29.890]  I can't. It's too late now.
[01:14:30.230 --> 01:14:31.730]  The damage has been done.
[01:14:32.070 --> 01:14:33.270]  The damage has been done.
[01:14:33.950 --> 01:14:35.230]  All of our cannons are loaded.
[01:14:37.050 --> 01:14:37.770]  They're not.
[01:14:39.170 --> 01:14:40.310]  But that's Geoff's job.
[01:14:41.550 --> 01:14:42.450]  Well, he's not here.
[01:14:43.970 --> 01:14:45.570]  I'll load them in absentia.
[01:14:47.170 --> 01:14:47.610]  Hmm.
[01:14:47.970 --> 01:14:49.310]  I'm going to give myself a new hairstyle.
[01:14:50.930 --> 01:14:51.670]  Geoff, please.
[01:14:52.130 --> 01:14:53.150]  You don't think I should have a new hairstyle?
[01:14:53.870 --> 01:14:55.350]  Everybody else got new hairstyles.
[01:14:56.070 --> 01:14:56.470]  I didn't.
[01:14:56.970 --> 01:14:59.070]  Well, there you go. Some people did.
[01:15:00.310 --> 01:15:01.170]  Some people did.
[01:15:03.130 --> 01:15:04.010]  There's a...
[01:15:04.010 --> 01:15:04.770]  I can get a tattoo.
[01:15:05.130 --> 01:15:06.990]  Another ship that's...
[01:15:06.990 --> 01:15:07.330]  Where's that?
[01:15:07.970 --> 01:15:08.530]  Where's that?
[01:15:09.610 --> 01:15:10.570]  It's coming up...
[01:15:11.150 --> 01:15:12.650]  to the Megalodon spot.
[01:15:14.590 --> 01:15:15.530]  I don't see them.
[01:15:15.590 --> 01:15:16.490]  I just see them on the map.
[01:15:16.830 --> 01:15:19.350]  If you look at the map board, you can see...
[01:15:19.350 --> 01:15:21.650]  I'm going to play this game for as long as I can without looking at the map board.
[01:15:21.730 --> 01:15:22.530]  Yeah, that's fair.
[01:15:25.190 --> 01:15:26.030]  Hello, sir.
[01:15:26.070 --> 01:15:26.670]  How are you doing?
[01:15:27.570 --> 01:15:27.970]  Lorena.
[01:15:28.790 --> 01:15:29.750]  I got an email from Chili's.
[01:15:31.010 --> 01:15:33.170]  I got an email from Chili's.
[01:15:34.270 --> 01:15:35.770]  Mr. Chili emailed me.
[01:15:35.770 --> 01:15:37.610]  Direct communication with Chili's.
[01:15:38.250 --> 01:15:40.130]  Every time we drive by that...
[01:15:40.130 --> 01:15:42.330]  We drive by one, Archie screams and points at something.
[01:15:42.470 --> 01:15:43.190]  Ah! Pepper!
[01:15:45.350 --> 01:15:47.210]  We're getting a little close to these rocks on the left.
[01:15:47.450 --> 01:15:48.710]  There's also rocks on the right.
[01:15:49.810 --> 01:15:51.390]  Maybe just a hair to the right?
[01:15:51.790 --> 01:15:54.050]  Yeah, we're going to go...
[01:15:54.050 --> 01:15:54.590]  I'm tilting.
[01:15:55.430 --> 01:15:56.550]  A little right.
[01:15:57.210 --> 01:15:57.730]  A little right?
[01:15:59.750 --> 01:16:01.050]  I'm trying, I'm trying, I'm trying.
[01:16:01.570 --> 01:16:02.350]  No, you're doing great.
[01:16:02.350 --> 01:16:03.030]  You're doing great.
[01:16:03.250 --> 01:16:04.470]  Just a little right.
[01:16:07.750 --> 01:16:10.390]  If Andrew was in charge of the Titanic, they never would have sunk.
[01:16:10.490 --> 01:16:11.770]  Look at this ship. Look at that.
[01:16:12.310 --> 01:16:13.490]  There's a ship straight ahead.
[01:16:13.910 --> 01:16:14.610]  Andrew, incredible.
[01:16:15.010 --> 01:16:17.330]  We have a ship dead ahead.
[01:16:20.110 --> 01:16:21.410]  Is that a person?
[01:16:21.690 --> 01:16:22.950]  That is a person ship.
[01:16:24.370 --> 01:16:25.550]  I'm going to call it a person people ship.
[01:16:25.910 --> 01:16:26.850]  A person people ship.
[01:16:30.750 --> 01:16:31.190]  Uh...
[01:16:31.190 --> 01:16:32.490]  You're heading straight for it.
[01:16:33.010 --> 01:16:33.150]  Yep.
[01:16:34.930 --> 01:16:35.870]  The megalodon has to be here.
[01:16:35.870 --> 01:16:38.710]  Whenever you're done with your beach stuff, Geoff, it would be wonderful to have you.
[01:16:40.310 --> 01:16:41.830]  Oh, now you want me.
[01:16:42.350 --> 01:16:43.950]  Geoff, we always see how it is.
[01:16:44.110 --> 01:16:47.170]  Just to be clear, we wanted you the whole time.
[01:16:47.250 --> 01:16:48.590]  I see how it is.
[01:16:48.670 --> 01:16:49.910]  Well, what if I'm fishing?
[01:16:50.550 --> 01:16:52.830]  Yeah, you can be fishing too.
[01:16:52.930 --> 01:16:54.610]  That's a different game, but whatever you want.
[01:16:55.250 --> 01:16:56.570]  Is this guy going to fight us?
[01:16:56.610 --> 01:16:57.390]  I would love to have you here.
[01:16:57.630 --> 01:16:58.970]  I think this guy is probably going to fight us.
[01:16:59.330 --> 01:17:05.810]  I guess I'll come save you guys.
[01:17:07.050 --> 01:17:07.770]  Please do.
[01:17:09.610 --> 01:17:12.410]  I guess I'll come rescue you from yourselves.
[01:17:14.390 --> 01:17:16.530]  Excuse me, I need to go save my idiot friends.
[01:17:16.650 --> 01:17:17.270]  Can you thank you?
[01:17:17.790 --> 01:17:18.870]  What is that in the water?
[01:17:19.830 --> 01:17:20.110]  Where?
[01:17:20.110 --> 01:17:21.830]  Oh, it's a...
[01:17:21.830 --> 01:17:22.290]  Another ship!
[01:17:25.920 --> 01:17:28.920]  What? Who's on your boat?
[01:17:29.580 --> 01:17:29.780]  Hey!
[01:17:31.420 --> 01:17:32.360]  It's a skeleton!
[01:17:33.660 --> 01:17:34.520]  No, it's a guy.
[01:17:35.800 --> 01:17:36.180]  Die!
[01:17:36.980 --> 01:17:44.860]  If somebody could raise a sail, that would be great as well.
[01:17:50.180 --> 01:17:50.900]  Raising a sail.
[01:17:53.660 --> 01:17:54.640]  Alright, anchor's up.
[01:17:56.260 --> 01:17:56.860]  Thank you.
[01:17:57.120 --> 01:17:58.140]  How did he get on our boat?
[01:17:58.960 --> 01:18:01.160]  He hopped off his and then swam to the ladder.
[01:18:01.760 --> 01:18:02.160]  Oh, really?
[01:18:02.940 --> 01:18:04.900]  Seems like a really long way to do that.
[01:18:05.020 --> 01:18:06.500]  Or he could have shot himself over too.
[01:18:09.240 --> 01:18:09.600]  Coward!
[01:18:10.300 --> 01:18:11.760]  Hey, there's the Meg right in front of us.
[01:18:12.240 --> 01:18:15.340]  Oh, I do see him.
[01:18:15.600 --> 01:18:15.860]  Wow.
[01:18:16.440 --> 01:18:17.240]  There he is!
[01:18:18.980 --> 01:18:20.480]  We're going to get him, this is the time.
[01:18:20.480 --> 01:18:23.040]  Oh, another dude's on the boat!
[01:18:23.500 --> 01:18:24.240]  Kill him!
[01:18:25.480 --> 01:18:26.060]  Who's that?
[01:18:26.960 --> 01:18:27.780]  Some dickhead.
[01:18:30.860 --> 01:18:32.140]  He's going under.
[01:18:37.500 --> 01:18:38.340]  I'm down.
[01:18:39.520 --> 01:18:40.200]  What?
[01:18:40.440 --> 01:18:41.120]  I'm down.
[01:18:41.340 --> 01:18:41.840]  I got Eric.
[01:18:42.960 --> 01:18:43.460]  He's down.
[01:18:45.600 --> 01:18:46.960]  Thank you.
[01:18:47.620 --> 01:18:49.720]  I will eat. I don't have food.
[01:18:52.520 --> 01:18:53.720]  Now I have bunion.
[01:18:53.840 --> 01:18:54.760]  Can I raise anchor again?
[01:18:55.700 --> 01:18:57.320]  Oh, for God's sake.
[01:18:57.760 --> 01:18:58.680]  This game sucks.
[01:19:00.280 --> 01:19:03.080]  I don't know, I feel like there's only three of us raising the anchor.
[01:19:04.440 --> 01:19:06.280]  Oh, I got the bird!
[01:19:06.580 --> 01:19:08.760]  The other one of us what, could have eaten while we were moving?
[01:19:09.620 --> 01:19:10.220]  Uh, no.
[01:19:10.620 --> 01:19:11.340]  No, I don't think so.
[01:19:12.180 --> 01:19:13.100]  That's what I've heard.
[01:19:13.660 --> 01:19:15.020]  Alright, I'm going fishing!
[01:19:16.380 --> 01:19:17.640]  Oh, for God's sake.
[01:19:17.640 --> 01:19:17.860]  Where?
[01:19:20.060 --> 01:19:21.640]  Where did the little...
[01:19:22.640 --> 01:19:24.360]  Where'd the Megalodon go?
[01:19:24.640 --> 01:19:26.000]  Little Megalodon.
[01:19:26.040 --> 01:19:26.980]  Little Megalodon.
[01:19:28.780 --> 01:19:30.140]  Here we go, get ready.
[01:19:30.220 --> 01:19:31.100]  We're about to enter the fight.
[01:19:31.820 --> 01:19:32.340]  There he is.
[01:19:34.520 --> 01:19:35.460]  Eric's off the boat.
[01:19:35.720 --> 01:19:37.140]  I told you I'm going fishing!
[01:19:37.980 --> 01:19:38.940]  I thought you were doing a bit.
[01:19:40.240 --> 01:19:41.420]  Well, it's a bit.
[01:19:41.920 --> 01:19:42.440]  Real funny.
[01:19:43.060 --> 01:19:43.680]  It's coming.
[01:19:43.680 --> 01:19:44.100]  Here we go.
[01:19:44.360 --> 01:19:46.340]  About to pop him.
[01:19:47.860 --> 01:19:49.220]  Damn it, we don't have the range.
[01:19:49.220 --> 01:19:50.200]  Oh, he's going to ram us.
[01:19:51.260 --> 01:19:52.420]  He's pushing us.
[01:19:54.920 --> 01:19:55.320]  Fine.
[01:19:55.920 --> 01:19:56.500]  I'll save you guys.
[01:19:56.500 --> 01:20:00.200]  Alright, that's three hits, four hits direct.
[01:20:00.280 --> 01:20:00.920]  Five hits.
[01:20:01.340 --> 01:20:01.780]  Six.
[01:20:02.600 --> 01:20:03.380]  Nice, good work.
[01:20:04.340 --> 01:20:06.200]  Alright, I'm going to go bucket.
[01:20:08.040 --> 01:20:09.120]  Whoa, he turned around!
[01:20:09.700 --> 01:20:11.620]  He just head whipped us!
[01:20:11.620 --> 01:20:13.140]  I didn't know he could do that!
[01:20:13.300 --> 01:20:14.700]  I didn't know he could do that either!
[01:20:14.960 --> 01:20:16.160]  That's not how water works.
[01:20:17.360 --> 01:20:19.280]  We were like, oh yeah, dude, we got him.
[01:20:19.300 --> 01:20:20.340]  Because he's going by us.
[01:20:20.900 --> 01:20:21.540]  Never mind.
[01:20:26.660 --> 01:20:27.900]  He's in front of us.
[01:20:29.420 --> 01:20:29.620]  Alright.
[01:20:32.100 --> 01:20:32.820]  Great job.
[01:20:33.760 --> 01:20:34.480]  Good buckets.
[01:20:36.400 --> 01:20:37.780]  A lot of hole problems.
[01:20:37.800 --> 01:20:39.080]  Yeah, the little guys are on here now.
[01:20:40.580 --> 01:20:40.940]  Arrgh!
[01:20:40.940 --> 01:20:41.720]  Arrgh!
[01:20:43.760 --> 01:20:44.320]  Water's out.
[01:20:45.100 --> 01:20:45.640]  Water's out.
[01:20:46.340 --> 01:20:47.560]  What is attacking me?
[01:20:48.540 --> 01:20:49.320]  Alright, they're dead.
[01:20:49.520 --> 01:20:51.280]  No, they're above me.
[01:20:52.380 --> 01:20:53.380]  Nobody on my floor.
[01:20:55.200 --> 01:20:55.700]  Loading up.
[01:20:59.860 --> 01:21:00.940]  Fuck him up!
[01:21:01.800 --> 01:21:02.700]  Alright, we're good.
[01:21:03.940 --> 01:21:04.980]  We need to load up the cannons.
[01:21:05.000 --> 01:21:05.760]  He's coming in for a bite.
[01:21:07.340 --> 01:21:07.780]  Nice.
[01:21:07.940 --> 01:21:08.560]  Right or left?
[01:21:08.560 --> 01:21:10.320]  Oh my god, he's down!
[01:21:10.580 --> 01:21:11.420]  Oh my god, he's down!
[01:21:12.220 --> 01:21:13.380]  Oh my god, he's down!
[01:21:14.560 --> 01:21:16.140]  Okay, let's tilt so we can
[01:21:16.140 --> 01:21:17.960]  grapple his stuff and then we'll
[01:21:17.960 --> 01:21:18.800]  cash out.
[01:21:19.460 --> 01:21:22.720]  Okay, his body's gonna sink down.
[01:21:24.860 --> 01:21:26.240]  Should I go down there and grab it manually?
[01:21:26.240 --> 01:21:28.700]  Good fucking work. If you want, you can.
[01:21:29.340 --> 01:21:30.540]  We did it. It only took
[01:21:30.540 --> 01:21:31.000]  three rounds.
[01:21:31.720 --> 01:21:33.860]  Oh, I see it.
[01:21:34.500 --> 01:21:35.620]  Yeah, he's gonna sink.
[01:21:37.560 --> 01:21:38.440]  And then...
[01:21:38.440 --> 01:21:39.280]  Shooting with a harpoon.
[01:21:39.860 --> 01:21:41.560]  Yeah, his body will sink
[01:21:41.560 --> 01:21:42.560]  and then loot will come up.
[01:21:42.580 --> 01:21:43.820]  Or it'll just vanish.
[01:21:46.500 --> 01:21:47.720]  Should we anchor here so we can get
[01:21:47.720 --> 01:21:48.400]  everything or what?
[01:21:49.080 --> 01:21:50.000]  We don't need to anchor.
[01:21:52.020 --> 01:21:53.380]  His body flipped up.
[01:21:53.460 --> 01:21:54.180]  Jesus Christ.
[01:21:55.980 --> 01:21:56.640]  He's gone.
[01:21:57.040 --> 01:21:58.560]  There's nothing to grab so far.
[01:21:59.960 --> 01:22:00.680]  I don't see anything.
[01:22:01.100 --> 01:22:01.920]  I see it!
[01:22:01.920 --> 01:22:03.500]  I see it. Grabbing.
[01:22:04.220 --> 01:22:04.640]  Grabbing.
[01:22:07.160 --> 01:22:07.980]  If I grab
[01:22:07.980 --> 01:22:09.000]  you here, I'm sorry, Geoff.
[01:22:09.620 --> 01:22:11.760]  I'm just shooting crazy
[01:22:11.760 --> 01:22:12.180]  style.
[01:22:13.360 --> 01:22:14.900]  Oh, there's so much coming up.
[01:22:23.900 --> 01:22:25.480]  Geoff, there's a shark. Careful.
[01:22:26.520 --> 01:22:27.740]  I'm not scared of sharks.
[01:22:29.020 --> 01:22:30.420]  I've fought a megalodon
[01:22:30.420 --> 01:22:31.240]  seven times.
[01:22:33.240 --> 01:22:34.360]  I've fought a megalodon
[01:22:34.360 --> 01:22:35.280]  seven times. Oh no,
[01:22:35.320 --> 01:22:35.860]  Geoff, look out!
[01:22:37.920 --> 01:22:39.100]  There's a shark right there.
[01:22:39.620 --> 01:22:40.960]  It's a flesh wound, dude.
[01:22:42.260 --> 01:22:42.740]  Can we get everything?
[01:22:43.540 --> 01:22:43.920]  Thank you.
[01:22:45.000 --> 01:22:46.960]  Let's get out of here. We did it, boys.
[01:22:47.440 --> 01:22:48.440]  Cash us out. Let's go.
[01:22:49.400 --> 01:22:50.120]  Let's aim
[01:22:51.120 --> 01:22:52.600]  north. What do you want us to do?
[01:22:53.440 --> 01:22:55.740]  You want us to set
[01:22:55.740 --> 01:22:56.640]  sails or what?
[01:22:57.080 --> 01:22:58.380]  You can drop sails, sure.
[01:23:01.260 --> 01:23:01.620]  Spinning.
[01:23:03.000 --> 01:23:03.720]  Got it.
[01:23:05.640 --> 01:23:06.440]  Oh, let's get
[01:23:06.440 --> 01:23:07.860]  out of here. Let's cash.
[01:23:08.840 --> 01:23:10.240]  Drop the sails down
[01:23:10.240 --> 01:23:11.580]  and then set the angle to catch the wind.
[01:23:12.440 --> 01:23:12.540]  Yeah.
[01:23:16.460 --> 01:23:16.960]  Got it.
[01:23:17.560 --> 01:23:19.480]  I'm not going to drop it all the way because it's too hard
[01:23:19.480 --> 01:23:21.200]  to see for the pilot.
[01:23:21.540 --> 01:23:22.880]  Yeah. Thank you.
[01:23:24.200 --> 01:23:25.880]  Let me check the body, see if we're taking on any water.
[01:23:26.360 --> 01:23:27.400]  Oh no. No, we're good.
[01:23:27.780 --> 01:23:28.580]  What's oh no? Cracking!
[01:23:29.180 --> 01:23:30.760]  What? No, we have to get out of here.
[01:23:30.800 --> 01:23:32.180]  No, no, no. We have to get out of here.
[01:23:32.300 --> 01:23:34.360]  Okay. Tilt the sails.
[01:23:35.320 --> 01:23:36.540]  Full sails down.
[01:23:36.700 --> 01:23:38.660]  We could possibly sail out
[01:23:38.660 --> 01:23:40.300]  of this, but... Got it.
[01:23:40.600 --> 01:23:42.320]  Got it. Setting sail.
[01:23:43.480 --> 01:23:44.920]  Oh my god.
[01:23:45.520 --> 01:23:46.500]  All sails down.
[01:23:47.540 --> 01:23:48.280]  All sails down.
[01:23:48.900 --> 01:23:49.340]  Motherfucker.
[01:23:51.100 --> 01:23:51.980]  Oh shit.
[01:23:53.700 --> 01:23:54.300]  Don't worry.
[01:23:54.380 --> 01:23:56.060]  I can't even tell which way the wind's going now.
[01:23:56.060 --> 01:23:57.260]  Oh, now I can.
[01:23:58.780 --> 01:23:59.860]  Okay, we got holes in the boat.
[01:24:00.160 --> 01:24:00.980]  Oh no! Fuck!
[01:24:01.840 --> 01:24:03.740]  We just did the other thing.
[01:24:07.680 --> 01:24:09.560]  I guess the shark had a friend.
[01:24:10.200 --> 01:24:11.580]  What the fuck? Repairs?
[01:24:11.580 --> 01:24:13.980]  I'm repairing. Repairs are underway.
[01:24:14.540 --> 01:24:15.900]  Cracking's like, you killed my boyfriend.
[01:24:16.160 --> 01:24:16.780]  Water. Alright.
[01:24:18.480 --> 01:24:20.160]  Do we need to be steering the ship or anything?
[01:24:20.240 --> 01:24:22.060]  Are we okay? I already actively
[01:24:22.060 --> 01:24:24.320]  aimed it. Now I'm just trying to tilt the sails
[01:24:24.320 --> 01:24:26.520]  to get us wind. Looks like we're okay.
[01:24:26.520 --> 01:24:28.660]  We just need to get out of this black surface. Yeah, looks like we're good down here.
[01:24:29.000 --> 01:24:29.880]  No more water, we're good.
[01:24:30.320 --> 01:24:31.480]  Repairing the second floor.
[01:24:31.880 --> 01:24:33.320]  Good idea.
[01:24:36.480 --> 01:24:38.100]  Come on, come on. Repairing hull.
[01:24:38.420 --> 01:24:40.100]  Let us out, let us out, let us out. I hit him.
[01:24:44.160 --> 01:24:44.800]  God damn.
[01:24:46.960 --> 01:24:47.680]  Let us go,
[01:24:47.820 --> 01:24:48.300]  damn you.
[01:24:50.200 --> 01:24:51.980]  Oh shit. Oh, there's one right next
[01:24:51.980 --> 01:24:52.520]  to us.
[01:24:53.900 --> 01:24:54.260]  Oh,
[01:24:54.460 --> 01:24:56.460]  grabbed onto us. No! What?
[01:24:56.720 --> 01:24:57.880]  Which one? No, where? Where is it?
[01:24:58.240 --> 01:24:59.540]  Up at the captain's wheel.
[01:25:01.260 --> 01:25:02.580]  Oh my god!
[01:25:05.400 --> 01:25:06.120]  Okay, repairs.
[01:25:07.440 --> 01:25:08.680]  I'm trying to get him off.
[01:25:09.240 --> 01:25:09.720]  I'm going down.
[01:25:11.280 --> 01:25:12.540]  Yeah, just as somebody calls out
[01:25:12.540 --> 01:25:14.360]  repairs, I just want to make sure somebody's doing it.
[01:25:14.840 --> 01:25:16.600]  I'm hurt, I'm down on the second deck.
[01:25:16.660 --> 01:25:18.600]  I'm not up. Okay, Nick's dead.
[01:25:19.020 --> 01:25:20.380]  Alright, I'm getting him. Someone getting the revive?
[01:25:21.580 --> 01:25:22.600]  I'm getting the revive.
[01:25:22.720 --> 01:25:23.580]  I got it.
[01:25:24.560 --> 01:25:26.380]  Okay, Geoff, bucket please.
[01:25:26.640 --> 01:25:28.380]  Okay. Alright, I'm back. I'm gonna repair.
[01:25:29.240 --> 01:25:30.180]  Okay, Nick, you repair.
[01:25:30.400 --> 01:25:31.320]  I got bucket. Here I come.
[01:25:35.100 --> 01:25:35.900]  How do we get...
[01:25:35.900 --> 01:25:37.740]  When he grabs us, how do we get him off?
[01:25:38.520 --> 01:25:39.900]  You gotta damage him.
[01:25:42.740 --> 01:25:43.460]  I'm hitting him.
[01:25:44.460 --> 01:25:45.680]  Alright, I think...
[01:25:45.680 --> 01:25:48.040]  Okay, Nick and Geoff, could you two focus on repairs
[01:25:48.040 --> 01:25:49.860]  and bucketing? And Eric, could you help me
[01:25:49.860 --> 01:25:50.980]  with trying to knock off this?
[01:25:51.180 --> 01:25:52.600]  I'm hitting him in the head.
[01:25:54.500 --> 01:25:55.800]  No damages right now.
[01:25:56.700 --> 01:25:58.200]  Oh, there we go.
[01:25:59.460 --> 01:25:59.820]  Damages.
[01:26:00.140 --> 01:26:00.900]  He might be letting go.
[01:26:03.180 --> 01:26:03.640]  Got him.
[01:26:03.760 --> 01:26:05.200]  That's it, he's letting go. Let's get out of here.
[01:26:07.740 --> 01:26:09.500]  Where's the closest exit to our left?
[01:26:09.720 --> 01:26:10.800]  Let's aim the sails.
[01:26:12.540 --> 01:26:14.200]  Yeah, tilt the sails to the right, please.
[01:26:15.000 --> 01:26:15.680]  I'm working on it.
[01:26:15.940 --> 01:26:16.320]  I'm coming.
[01:26:16.320 --> 01:26:17.380]  You can't look away.
[01:26:19.060 --> 01:26:20.380]  I got the mid one.
[01:26:22.340 --> 01:26:24.320]  Oh, it takes so long to turn.
[01:26:27.160 --> 01:26:28.120]  Come on.
[01:26:29.020 --> 01:26:30.700]  Catch the wind, damn you.
[01:26:33.560 --> 01:26:34.600]  Alright, got that one.
[01:26:34.960 --> 01:26:35.600]  All the way to the right.
[01:26:36.140 --> 01:26:36.840]  I'm overboard!
[01:26:41.100 --> 01:26:42.480]  It ate Nick.
[01:26:43.700 --> 01:26:45.160]  It sucked up Nick.
[01:26:45.280 --> 01:26:47.100]  We're so close to escaping.
[01:26:47.300 --> 01:26:48.680]  We're right on the edge.
[01:26:50.000 --> 01:26:51.040]  So am I!
[01:26:51.180 --> 01:26:52.820]  Let me grab the boat!
[01:26:53.160 --> 01:26:54.040]  Come on, come on, come on.
[01:26:54.580 --> 01:26:56.180]  Can we harpoon Nick?
[01:26:56.560 --> 01:26:57.200]  Yes, I'm up.
[01:26:58.660 --> 01:26:59.120]  I got it.
[01:27:00.280 --> 01:27:02.380]  Fuck, it hit us and spun us.
[01:27:02.760 --> 01:27:03.200]  Fuck.
[01:27:03.580 --> 01:27:04.780]  Okay, tilting us back left.
[01:27:05.380 --> 01:27:06.520]  I'm gonna repair.
[01:27:06.820 --> 01:27:10.760]  I'll repair, you scoop.
[01:27:10.760 --> 01:27:12.380]  I gotta repair above.
[01:27:12.560 --> 01:27:13.860]  Hold on, let me get the water.
[01:27:14.120 --> 01:27:15.200]  There's a second floor.
[01:27:15.480 --> 01:27:16.880]  I'm setting the angle.
[01:27:18.380 --> 01:27:19.700]  We're almost there.
[01:27:22.800 --> 01:27:24.140]  Just let us out.
[01:27:24.200 --> 01:27:25.980]  We can't win. That's big.
[01:27:27.380 --> 01:27:28.500]  We're almost out.
[01:27:28.780 --> 01:27:29.300]  Come on.
[01:27:30.020 --> 01:27:32.080]  This is like a disaster movie.
[01:27:33.260 --> 01:27:33.680]  Like Titanic.
[01:27:35.060 --> 01:27:35.760]  We're out.
[01:27:36.000 --> 01:27:37.640]  We got a human ship to the left.
[01:27:37.640 --> 01:27:37.880]  No!
[01:27:39.320 --> 01:27:39.800]  No!
[01:27:41.000 --> 01:27:45.060]  Has anybody considered that it might have not been the iceberg, but actually a Kraken?
