[00:02.580 --> 00:04.380]  It's Summer Games Fest!
[01:32:36.800 --> 01:32:37.900]  I've been hearing that.
[01:32:38.580 --> 01:32:40.680]  Yeah, he just messaged me to ask you for him.
[01:32:43.100 --> 01:32:44.740]  Unpossiblers, thank you for the five subs.
[01:32:46.400 --> 01:32:48.340]  Second hand butt plug.
[01:32:48.740 --> 01:32:49.860]  What a name.
[01:32:50.520 --> 01:32:51.680]  Oh, my God.
[01:32:51.860 --> 01:32:54.660]  It's a new team of 50 with founders in Canada and Armenia.
[01:32:55.100 --> 01:32:57.680]  They partnered with the new Munfish powerhouse label.
[01:32:58.480 --> 01:33:04.420]  Insane Unreal Engine five game to life with unpredictable monsters and visceral dismemberment.
[01:33:04.600 --> 01:33:06.300]  Ooh, is your first look.
[01:33:15.150 --> 01:33:16.770]  Oh, team clout.
[01:33:18.670 --> 01:33:20.210]  I'm little thingy.
[01:33:20.590 --> 01:33:20.910]  Oh.
[01:33:23.670 --> 01:33:24.350]  Oh.
[01:33:25.630 --> 01:33:29.310]  What's the game where you're in like the insane asylum or whatever that we played?
[01:33:31.970 --> 01:33:33.530]  Uh, outlast trials.
[01:33:34.510 --> 01:33:35.490]  That's what this looks like.
[01:33:35.750 --> 01:33:36.510]  Oh, yeah.
[01:33:36.750 --> 01:33:37.710]  Yeah, but with a gun now.
[01:33:37.910 --> 01:33:38.110]  Yeah.
[01:33:39.850 --> 01:33:42.050]  Or maybe like killing floor.
[01:33:42.770 --> 01:33:43.990]  Yeah, kind of like killing floor.
[01:33:46.610 --> 01:33:47.110]  Damn.
[01:33:48.810 --> 01:33:49.770]  Gunplay looks good.
[01:33:51.610 --> 01:33:53.650]  Yeah, it looks scary.
[01:33:57.050 --> 01:33:58.590]  Oh, my God.
[01:33:58.590 --> 01:33:59.690]  Oh, man.
[01:33:59.890 --> 01:34:00.970]  I kind of want to play this.
[01:34:01.290 --> 01:34:01.790]  Oh, wow.
[01:34:02.430 --> 01:34:04.010]  Dismember reminds me of Resident Evil seven.
[01:34:04.570 --> 01:34:05.830]  Yeah, I can see that too.
[01:34:07.430 --> 01:34:08.390]  Shoot him in the leg.
[01:34:08.710 --> 01:34:09.110]  Dead space.
[01:34:09.470 --> 01:34:10.630]  That's very dead space.
[01:34:10.770 --> 01:34:10.910]  Yeah.
[01:34:13.910 --> 01:34:14.670]  Back off.
[01:34:14.750 --> 01:34:15.530]  Fuck up.
[01:34:18.250 --> 01:34:19.190]  Oh, my God.
[01:34:19.470 --> 01:34:20.150]  That was a big head.
[01:34:20.590 --> 01:34:21.430]  Ill communication.
[01:34:21.590 --> 01:34:22.070]  Beastie boys.
[01:34:25.090 --> 01:34:25.250]  Oh.
[01:34:27.130 --> 01:34:28.050]  Oh, it's the.
[01:34:28.250 --> 01:34:32.090]  It's the baby from train spotting.
[01:34:32.670 --> 01:34:33.910]  We got a child kicker game.
[01:34:33.950 --> 01:34:36.410]  Oh, poor little babies.
[01:34:36.690 --> 01:34:36.970]  All right.
[01:34:36.990 --> 01:34:37.430]  I'm into that.
[01:34:37.670 --> 01:34:38.770]  It is one of 2025.
[01:34:39.170 --> 01:34:39.410]  I'll play.
[01:34:39.430 --> 01:34:39.970]  I play that.
[01:34:39.990 --> 01:34:41.030]  I'll play the hell out of that.
[01:34:41.290 --> 01:34:46.530]  Previous beta amassing over 300,000 concurrent players on Steam and three million players
[01:34:46.530 --> 01:34:47.090]  in total.
[01:34:47.450 --> 01:34:52.330]  In this game, you explore a sci fi universe of pilot powerful mechs with immersive aerial
[01:34:52.330 --> 01:34:52.830]  and ground.
[01:34:53.030 --> 01:34:53.610]  Hello, Gundam.
[01:34:53.730 --> 01:34:54.610]  No kidding.
[01:34:54.610 --> 01:34:55.350]  We're stabbed.
[01:34:55.450 --> 01:34:56.330]  He's probably flipping out.
[01:34:56.790 --> 01:34:57.050]  Yeah.
[01:34:57.050 --> 01:34:59.310]  Well, he's not because it's not officially Gundam.
[01:34:59.630 --> 01:35:00.510]  Yeah, it's important.
[01:35:00.530 --> 01:35:02.810]  Is Mecha Brake's latest trailer with the answer.
[01:35:06.050 --> 01:35:08.330]  When is Mecha Brake going to come out?
[01:35:08.570 --> 01:35:09.190]  That's what I'm saying.
[01:35:11.810 --> 01:35:13.410]  I'm not going to watch the fucking news.
[01:35:14.650 --> 01:35:15.910]  I tricked again.
[01:35:21.640 --> 01:35:23.280]  At least they're playing my favorite song.
[01:35:24.240 --> 01:35:24.780]  Yeah.
[01:35:29.940 --> 01:35:31.660]  I can't wait to hear this in Luminous.
[01:35:38.130 --> 01:35:39.810]  He actually plays the teddy bear.
[01:35:40.930 --> 01:35:41.530]  Oh, finally.
[01:35:43.070 --> 01:35:46.010]  So do you think they've been living amongst these rocks this whole time?
[01:35:46.070 --> 01:35:47.810]  And then suddenly they all the rocks stood up?
[01:35:48.450 --> 01:35:50.210]  What do you think they were doing?
[01:35:50.410 --> 01:35:54.870]  Or do you think they were just like running through this desert and then got attacked by
[01:35:54.870 --> 01:35:55.290]  rocks?
[01:35:55.530 --> 01:35:56.310]  I don't know.
[01:35:57.130 --> 01:35:59.510]  But I want a movie called The Day the Rock Stood Up.
[01:36:03.450 --> 01:36:06.410]  It's crazy that dog tag is still the way to identify people.
[01:36:06.610 --> 01:36:06.930]  But all right.
[01:36:10.530 --> 01:36:11.050]  Classics.
[01:36:11.130 --> 01:36:11.970]  Classics for a reason.
[01:36:12.450 --> 01:36:12.670]  Yep.
[01:36:13.150 --> 01:36:14.010]  We need you back.
[01:36:18.470 --> 01:36:20.670]  We should make a Fast and Furious mech game.
[01:36:21.950 --> 01:36:22.390]  Hell yeah.
[01:36:31.280 --> 01:36:31.800]  Yeah.
[01:36:33.340 --> 01:36:35.060]  Show me gameplay.
[01:36:40.560 --> 01:36:43.040]  This is just watching anime and I don't do that.
[01:36:43.740 --> 01:36:44.140]  Yeah.
[01:36:44.600 --> 01:36:46.880]  I think you've been doing it for about an hour and 30 minutes.
[01:36:47.160 --> 01:36:47.560]  No!
[01:36:50.680 --> 01:36:52.800]  The only anime I watch is Huckleberry Hound.
[01:36:54.340 --> 01:36:58.240]  I'm having fun watching this trailer, but as soon as it ends, I'm never like it's gone.
[01:36:58.380 --> 01:36:59.500]  I'm never going to remember this.
[01:37:05.500 --> 01:37:05.900]  Wishlist.
[01:37:09.300 --> 01:37:10.420]  I wish they showed gameplay.
[01:37:10.420 --> 01:37:14.460]  Small soldiers?
[01:37:16.120 --> 01:37:17.220]  Grounded 2.
[01:37:23.140 --> 01:37:26.860]  Give me Chip Hazard.
[01:37:37.760 --> 01:37:38.960]  It's Bug?
[01:37:39.960 --> 01:37:40.840]  It's Bug?
[01:37:41.260 --> 01:37:42.340]  Is Ants?
[01:37:43.800 --> 01:37:45.380]  Is Ants Life 2?
[01:37:52.020 --> 01:37:52.540]  Wow.
[01:37:53.820 --> 01:37:55.080]  Pikmin, but gritty.
[01:37:56.260 --> 01:37:56.780]  Gritman?
[01:37:57.880 --> 01:37:58.400]  Gritman!
[01:37:59.960 --> 01:38:02.460]  Are we going to wait for Death Stranding 3 to get Gritman?
[01:38:02.720 --> 01:38:02.920]  Yeah.
[01:38:08.480 --> 01:38:09.520]  Star Wars?
[01:38:10.800 --> 01:38:12.900]  It sounded like Star Wars for a second there.
[01:38:15.440 --> 01:38:22.660]  Having this be on Earth, like just in the garden, is such an interesting choice.
[01:38:22.840 --> 01:38:23.860]  Yeah, what a great idea.
[01:38:24.200 --> 01:38:26.040]  What, like, that's so interesting.
[01:38:26.280 --> 01:38:29.220]  I want to know what's up with the world that's bigger than them.
[01:38:29.280 --> 01:38:30.160]  It's gone or what?
[01:38:31.100 --> 01:38:33.220]  It's all happening in somebody's backyard.
[01:38:33.720 --> 01:38:34.400]  It is.
[01:38:35.960 --> 01:38:36.960]  That's so crazy.
[01:38:37.560 --> 01:38:37.960]  Cool.
[01:38:38.780 --> 01:38:40.780]  You should put small soldiers in that game.
[01:38:41.460 --> 01:38:42.600]  Yeah, dude!
[01:38:43.060 --> 01:38:44.360]  I do play Grounded.
[01:38:44.840 --> 01:38:45.760]  It's Conflame.
[01:38:46.140 --> 01:38:46.260]  It's good.
[01:38:46.940 --> 01:38:47.380]  It's great.
[01:38:49.340 --> 01:38:50.300]  Love Grounded.
[01:38:52.000 --> 01:38:52.480]  Hard.
[01:38:56.590 --> 01:38:57.470]  Half-Life 3.
[01:38:57.770 --> 01:38:58.830]  Master Chief Smokin'?
[01:38:58.830 --> 01:38:59.050]  Oh.
[01:39:00.310 --> 01:39:00.790]  Yes!
[01:39:00.890 --> 01:39:01.290]  Yes!
[01:39:03.530 --> 01:39:07.730]  Oh, wait, oh, no, wait, wait, hold on, wait, what is it?
[01:39:07.730 --> 01:39:09.550]  This might be a remake of, like, the original.
[01:39:09.670 --> 01:39:10.950]  Don't get, don't get excited.
[01:39:12.010 --> 01:39:13.430]  We don't know if this is 9.
[01:39:14.630 --> 01:39:18.570]  Okay, they're just, they're just fucking around right now.
[01:39:18.650 --> 01:39:20.450]  I think it's for the Capcom sale again.
[01:39:20.970 --> 01:39:22.910]  If it's the Capcom sale again.
[01:39:26.190 --> 01:39:28.090]  All of our games are half-off!
[01:39:28.230 --> 01:39:29.230]  Go buy our games!
[01:39:34.210 --> 01:39:35.990]  30th anniversary, that's crazy.
[01:39:36.070 --> 01:39:38.870]  With our 30th remake of episode number one.
[01:39:39.310 --> 01:39:39.670]  No kidding.
[01:39:40.730 --> 01:39:42.210]  That is probably...
[01:39:42.210 --> 01:39:42.850]  And zero.
[01:39:45.970 --> 01:39:47.690]  Code Veronica remake now.
[01:39:54.790 --> 01:39:56.050]  Oh, that was...
[01:39:56.050 --> 01:39:56.210]  Nah.
[01:39:56.650 --> 01:39:57.050]  Are you...
[01:39:58.990 --> 01:39:59.430]  Hey.
[01:40:05.190 --> 01:40:05.630]  Aww!
[01:40:06.530 --> 01:40:09.330]  Boo! Boo, boo, boo, boo, boo, boo, boo, boo, boo, boo, boo!
[01:40:09.330 --> 01:40:09.950]  Why bother?
[01:40:12.590 --> 01:40:14.130]  That was hilarious.
[01:40:15.270 --> 01:40:16.570]  Oh, there's you, uh...
[01:40:16.570 --> 01:40:17.210]  Oh, hell yeah!
[01:40:17.390 --> 01:40:17.710]  Hang on, wait.
[01:40:19.810 --> 01:40:21.090]  Are they doing another fight for...
[01:40:21.090 --> 01:40:23.210]  No, this has to be, like, Final Fantasy or some shit.
[01:40:23.670 --> 01:40:24.410]  Oh, it is!
[01:40:24.470 --> 01:40:26.010]  Fuck yeah, it's Street Fighter!
[01:40:28.110 --> 01:40:29.910]  Kenny Omega is Alex, fuck yeah.
[01:40:35.230 --> 01:40:36.030]  Is this...
[01:40:39.350 --> 01:40:40.630]  Wait, so what...
[01:40:40.630 --> 01:40:42.030]  So what game is this?
[01:40:42.470 --> 01:40:43.170]  Is...
[01:40:43.170 --> 01:40:44.630]  If this is Sea Viper...
[01:40:50.800 --> 01:40:52.700]  I'm so fucking mad right now.
[01:40:56.140 --> 01:40:57.860]  Okay, I feel better.
[01:41:02.400 --> 01:41:03.000]  Crazy.
[01:41:05.300 --> 01:41:07.100]  Anyway, check out Creating Character Podcast.
[01:41:16.500 --> 01:41:19.340]  Is this Capcom, like, Fighting Evolution 2 or some shit?
[01:41:19.420 --> 01:41:20.240]  Like, what is this?
[01:41:20.940 --> 01:41:23.660]  Oh, this is the announcement for them in 6!
[01:41:24.160 --> 01:41:25.100]  Oh my god!
[01:41:27.680 --> 01:41:29.740]  Oh, Sagat looks crazy.
[01:41:32.120 --> 01:41:32.640]  Wow.
[01:41:34.520 --> 01:41:35.400]  That's a good strategy.
[01:41:36.120 --> 01:41:37.620]  They just added Elena and that was pretty cool.
[01:41:48.020 --> 01:41:49.420]  I'm very into this.
[01:42:04.260 --> 01:42:06.100]  I'm less into this if it's PvP.
[01:42:06.680 --> 01:42:08.240]  That's exactly what it looks like, huh?
[01:42:08.540 --> 01:42:11.060]  Yeah, I was thinking it would be like a co-op...
[01:42:11.060 --> 01:42:11.180]  Yep.
[01:42:12.140 --> 01:42:12.620]  ...type thing.
[01:42:13.760 --> 01:42:15.020]  Still like the art quite a bit.
[01:42:15.680 --> 01:42:15.880]  Yeah.
[01:42:17.300 --> 01:42:17.700]  Stylish.
[01:42:18.420 --> 01:42:19.080]  Very stylish.
[01:42:19.100 --> 01:42:20.720]  This is like a Team Fortress game, right?
[01:42:21.120 --> 01:42:22.220]  It seems like it.
[01:42:27.830 --> 01:42:28.550]  Phil Spencer?
[01:42:32.390 --> 01:42:33.190]  Last flag.
[01:42:34.210 --> 01:42:37.070]  Okay, if it's just to capture the flag game, I'm kind of into it as well.
[01:42:37.370 --> 01:42:37.730]  I'm back.
[01:42:37.730 --> 01:42:40.610]  It looks sort of like it's capture the flag.
[01:42:41.330 --> 01:42:42.250]  It's definitely.
[01:42:42.930 --> 01:42:44.750]  Or at least capture the last flag.
[01:42:46.290 --> 01:42:48.730]  Oh, and then you have to hide it and defend it?
[01:42:50.690 --> 01:42:51.630]  It's pretty cool.
[01:43:14.940 --> 01:43:17.620]  It is very Team Fortress 2 inspired.
[01:43:22.720 --> 01:43:26.120]  I was briefly hoping it was like time splitters related.
[01:43:26.720 --> 01:43:28.600]  Oh god, I remember time splitters.
[01:43:28.600 --> 01:43:29.300]  Oh, time splitters.
[01:43:30.860 --> 01:43:32.920]  Oh man, I haven't thought about that game in ages.
[01:43:43.320 --> 01:43:43.660]  Okay.
[01:43:58.140 --> 01:43:59.320]  Hey, Nick, check it out.
[01:43:59.440 --> 01:44:00.020]  A bleak world.
[01:44:00.440 --> 01:44:00.940]  Hey.
[01:44:02.840 --> 01:44:04.780]  Is that seat made from bone?
[01:44:04.980 --> 01:44:05.240]  Oh.
[01:44:06.500 --> 01:44:07.000]  Oh.
[01:44:12.240 --> 01:44:13.140]  Oh, that's cool.
[01:44:14.520 --> 01:44:15.620]  Oh, that's cool too.
[01:44:36.390 --> 01:44:37.390]  Bird lady.
[01:44:39.450 --> 01:44:40.390]  Go birds.
[01:44:41.450 --> 01:44:45.550]  One day someone will make a bleak world full of milfs and feet and Nick will be sad.
[01:44:50.290 --> 01:44:53.290]  Nick will not understand that it's a bleak world.
[01:44:54.990 --> 01:44:57.130]  And I will be rich and full of life.
[01:44:59.830 --> 01:45:01.130]  Sleeping on the worms again.
[01:45:05.860 --> 01:45:07.600]  Feels like a Frank and Charlie thing.
[01:45:09.540 --> 01:45:11.100]  Oh, she was playing Nightcrawlers.
[01:45:11.340 --> 01:45:11.580]  Okay.
[01:45:15.390 --> 01:45:16.510]  Brass line.
[01:45:26.860 --> 01:45:27.540]  What?
[01:45:27.800 --> 01:45:28.340]  What?
[01:45:29.040 --> 01:45:29.460]  What?
[01:45:29.680 --> 01:45:33.540]  Are they doing a remaster of the...
[01:45:33.540 --> 01:45:33.720]  What?
[01:45:34.120 --> 01:45:36.340]  What do we have going on here?
[01:45:37.780 --> 01:45:39.780]  Or is it a new Wu-Tang game?
[01:45:44.800 --> 01:45:47.860]  And it's probably like soundtracked by RZA?
[01:45:48.520 --> 01:45:48.800]  This.
[01:45:49.500 --> 01:45:50.600]  Hell yeah.
[01:45:51.060 --> 01:45:51.420]  Oh, this.
[01:45:51.860 --> 01:45:52.920]  Yeah, dude.
[01:45:54.160 --> 01:45:54.880]  It's like Creamery.
[01:45:54.880 --> 01:45:57.460]  Oh, I'm so into this.
[01:45:57.860 --> 01:45:58.020]  Yep.
[01:46:01.040 --> 01:46:04.760]  Yeah, this looks a lot like all the other games I saw today, but they have me at Wu-Tang.
[01:46:05.020 --> 01:46:06.600]  Presented by Ghostface.
[01:46:06.920 --> 01:46:07.060]  Interesting.
[01:46:08.640 --> 01:46:11.460]  Make another W-shaped controller, you cowards.
[01:46:11.540 --> 01:46:12.340]  Yeah, no kidding.
[01:46:15.900 --> 01:46:18.560]  Ghostface killer is calling on you to rescue him.
[01:46:18.660 --> 01:46:19.840]  Yeah, he is.
[01:46:20.340 --> 01:46:21.880]  All right, all right.
[01:46:22.820 --> 01:46:23.300]  Cool.
[01:46:23.300 --> 01:46:25.140]  With anime style fighting.
[01:46:25.540 --> 01:46:29.500]  And it's the debut title from the 53 member Brass Lion Entertainment.
[01:46:29.720 --> 01:46:31.400]  Her left hand is just doing circles.
[01:46:31.740 --> 01:46:35.400]  I was gonna call it out earlier, but I didn't feel right doing it,
[01:46:35.460 --> 01:46:36.960]  because it was still pretty early in this thing.
[01:46:37.340 --> 01:46:38.460]  That's her move.
[01:46:38.560 --> 01:46:41.800]  You can take advantage of double XP all weekend long.
[01:46:44.800 --> 01:46:45.900]  Double XP, Geoff.
[01:46:47.240 --> 01:46:47.720]  Yay.
[01:46:48.400 --> 01:46:49.240]  Guild Wars 2.
[01:46:50.820 --> 01:46:51.720]  That's the second Guild Wars.
[01:46:52.100 --> 01:46:53.660]  The equivalent follow-up to Guild Wars.
[01:46:53.660 --> 01:46:56.320]  I did commercials in Guild Wars 1.
[01:46:56.440 --> 01:46:57.080]  That's the last time I played.
[01:46:57.080 --> 01:46:58.140]  Oh, did you really?
[01:46:58.780 --> 01:47:00.160]  Yeah, when it was coming out.
[01:47:04.680 --> 01:47:07.920]  Only guild I'm in is in Sea of Thieves with you guys.
[01:47:08.020 --> 01:47:08.400]  Hell yeah.
[01:47:10.500 --> 01:47:11.080]  It's true.
[01:47:11.220 --> 01:47:14.400]  I tried to sign up for your guild and then you took the paper away before I could sign it.
[01:47:14.540 --> 01:47:16.240]  And then you had to pull it out again.
[01:47:21.300 --> 01:47:22.700]  Dude, I love stores.
[01:47:23.120 --> 01:47:25.120]  Oh my god, I can't get enough stores, guys.
[01:47:29.530 --> 01:47:30.790]  I don't like mushrooms.
[01:47:32.290 --> 01:47:32.990]  You don't?
[01:47:33.230 --> 01:47:33.670]  I'm not a fan.
[01:47:33.910 --> 01:47:35.750]  A strange cat-like creature appears.
[01:47:35.930 --> 01:47:36.770]  Its origin is unknown.
[01:47:37.010 --> 01:47:40.830]  Not a fan as in a food or as a item?
[01:47:40.830 --> 01:47:42.150]  I'm allergic as a food.
[01:47:42.310 --> 01:47:43.810]  I don't mind it as an item in a game.
[01:47:44.210 --> 01:47:45.210]  Oh, you're allergic.
[01:47:45.570 --> 01:47:45.870]  Interesting.
[01:47:47.530 --> 01:47:48.390]  I feel like we should have known that.
[01:47:49.090 --> 01:47:50.870]  Yeah, maybe you just haven't eaten the right mushroom yet.
[01:47:52.330 --> 01:47:55.510]  I should just keep eating mushrooms to find the one I'm not allergic to?
[01:47:55.510 --> 01:47:58.650]  You have to build up a tolerance, you know?
[01:47:59.090 --> 01:47:59.950]  Exposure therapy.
[01:48:02.590 --> 01:48:04.710]  That looks like AndrewBot.
[01:48:05.250 --> 01:48:06.290]  A little bit, yeah.
[01:48:10.930 --> 01:48:11.650]  Furthering Heights?
[01:48:11.770 --> 01:48:11.910]  What?
[01:48:12.810 --> 01:48:13.610]  Ah, Genshin.
[01:48:14.530 --> 01:48:15.770]  I want to play Splitgate 2.
[01:48:15.870 --> 01:48:16.830]  I hear it's very good.
[01:48:17.850 --> 01:48:19.250]  I think you would like it, Geoff.
[01:48:19.350 --> 01:48:20.390]  It's like Halo combat.
[01:48:21.270 --> 01:48:21.890]  Let's play it.
[01:48:22.810 --> 01:48:25.610]  It's like Halo mixes with Portal, I think.
[01:48:26.210 --> 01:48:26.790]  Even better.
[01:48:26.890 --> 01:48:27.490]  Try to stop me.
[01:48:27.490 --> 01:48:28.170]  Let's get going.
[01:48:28.370 --> 01:48:29.730]  Let's make a video of it right now.
[01:48:35.120 --> 01:48:37.840]  I think the Resident Evil guys pissed about this sale.
[01:48:38.940 --> 01:48:39.480]  He's furious.
[01:48:39.600 --> 01:48:40.700]  I'm the only one!
[01:48:41.180 --> 01:48:43.100]  He's throwing his wine all over his office.
[01:48:48.520 --> 01:48:54.160]  So if it's not here, I bet you Resident Evil 9 is at the Xbox showcase on Sunday.
[01:48:54.720 --> 01:48:56.080]  Yeah, probably.
[01:48:58.500 --> 01:49:00.240]  Is this a selling point for the Switch 2?
[01:49:00.240 --> 01:49:01.540]  It is.
[01:49:02.400 --> 01:49:04.220]  Apparently, it runs really well on it.
[01:49:04.540 --> 01:49:04.980]  Really?
[01:49:05.580 --> 01:49:10.040]  It's wild to see the Switch 2 cart, that tiny little thing, and then be like,
[01:49:10.140 --> 01:49:11.540]  the whole game is on here.
[01:49:11.860 --> 01:49:14.160]  They're like, there's a day zero update.
[01:49:14.360 --> 01:49:15.560]  Don't feel like you have to download it.
[01:49:15.600 --> 01:49:15.920]  You don't.
[01:49:15.920 --> 01:49:17.220]  And it was like, oh, shit.
[01:49:17.320 --> 01:49:17.560]  Wow.
[01:49:18.380 --> 01:49:19.560]  Into the unwell?
[01:49:22.960 --> 01:49:24.740]  I'm really impressed with the Switch 2 so far.
[01:49:25.220 --> 01:49:26.080]  It looks good.
[01:49:26.120 --> 01:49:26.620]  It feels good.
[01:49:26.620 --> 01:49:31.820]  The controllers, like, taking off the actual Joy-Cons feels so fucking cool.
[01:49:34.400 --> 01:49:35.000]  Oh.
[01:49:35.380 --> 01:49:36.160]  Oh, no.
[01:49:39.520 --> 01:49:40.540]  That's fucked.
[01:49:41.040 --> 01:49:42.060]  That's an expensive drink.
[01:49:43.580 --> 01:49:45.200]  Oh, and he threw it up anyway.
[01:49:46.680 --> 01:49:47.200]  Been there.
[01:49:50.400 --> 01:49:51.160]  Uh-oh.
[01:49:51.660 --> 01:49:53.720]  Another relapse, huh?
[01:49:57.220 --> 01:49:58.560]  Get well soon.
[01:49:59.060 --> 01:50:00.280]  Did he say another relapse?
[01:50:00.520 --> 01:50:00.920]  Oh, Christ.
[01:50:02.480 --> 01:50:06.000]  It's the Geoff from 2011 to 2018 game.
[01:50:11.120 --> 01:50:15.240]  Maybe it's too much for someone like you.
[01:50:16.660 --> 01:50:18.820]  So it's cup-headed about addiction?
[01:50:19.760 --> 01:50:19.900]  Yeah.
[01:50:20.300 --> 01:50:20.800]  Pizza!
[01:50:21.520 --> 01:50:22.240]  Hot dogs again!
[01:50:23.680 --> 01:50:24.040]  Geoff!
[01:50:24.780 --> 01:50:26.500]  You might have a lawsuit against this game.
[01:50:29.020 --> 01:50:32.540]  You'll be shocked to find out that these were all Rooster Teeth fans that made this game.
[01:50:33.500 --> 01:50:34.640]  What are your thoughts on eggplant?
[01:50:36.880 --> 01:50:37.680]  Oh, no, Teeth!
[01:50:37.920 --> 01:50:38.620]  It is everything!
[01:50:38.720 --> 01:50:39.640]  Oh, no, Geoff.
[01:50:40.020 --> 01:50:41.620]  This game is everything that's you.
[01:50:41.900 --> 01:50:42.380]  Oh, no.
[01:50:48.300 --> 01:50:48.840]  That's okay.
[01:50:48.860 --> 01:50:51.520]  I got all kinds of new issues that nobody even knows about yet.
[01:50:52.600 --> 01:50:53.840]  They can't steal them.
[01:50:54.260 --> 01:50:54.540]  Hey, look!
[01:50:57.060 --> 01:50:57.720]  Stand there.
[01:50:57.900 --> 01:50:58.320]  Hey, guys.
[01:50:58.520 --> 01:51:01.700]  I'm Ian Prue, the co-founder of 1047 Games.
[01:51:02.200 --> 01:51:03.300]  Hey, thanks for dressing up.
[01:51:03.580 --> 01:51:04.960]  Dumb fucking hat, by the way.
[01:51:05.120 --> 01:51:05.920]  Thanks for being here.
[01:51:06.520 --> 01:51:07.060]  Dumbest hat.
[01:51:07.340 --> 01:51:11.580]  That's one of the stupider hats I've ever seen in my life.
[01:51:11.800 --> 01:51:13.280]  I'm like, dude, I'm gonna go up there.
[01:51:13.360 --> 01:51:15.040]  I'm gonna make like a fucking statement, dude.
[01:51:15.120 --> 01:51:16.720]  Like, it's gonna be so sick.
[01:51:16.920 --> 01:51:20.080]  And just a room full of people going, okay, CEO.
[01:51:20.420 --> 01:51:20.900]  Thanks, man.
[01:51:22.700 --> 01:51:24.540]  Way to put your good pants on, buddy.
[01:51:25.100 --> 01:51:25.500]  Yeah.
[01:51:26.360 --> 01:51:29.140]  I'm gonna make people think about what they don't want to think about.
[01:51:29.280 --> 01:51:31.240]  And I'm not gonna make a statement at all.
[01:51:31.800 --> 01:51:34.300]  Only the finest velcro for me, sir.
[01:51:34.940 --> 01:51:38.260]  My biggest issue is I don't think FPS was ever bad as a job.
[01:51:38.600 --> 01:51:39.060]  Like, there's not...
[01:51:40.080 --> 01:51:46.260]  Wearing the aura ring while doing this too is like, dude, this is like so fucking hacky.
[01:51:46.300 --> 01:51:47.180]  It's fucking awesome.
[01:51:47.500 --> 01:51:47.760]  You suck.
[01:51:47.760 --> 01:51:49.900]  Speaking of hacking, he's biohacking right now.
[01:51:50.040 --> 01:51:51.600]  It's so easy to be a CEO.
[01:51:51.980 --> 01:51:52.640]  Jesus Christ.
[01:51:53.540 --> 01:51:54.380]  Yeah, they're the worst.
[01:51:56.420 --> 01:51:57.300]  Who's our CEO?
[01:51:57.660 --> 01:51:58.340]  It's Eric, right?
[01:51:58.780 --> 01:51:59.640]  No, I'm the president.
[01:52:00.760 --> 01:52:02.060]  Unfortunately, no, no.
[01:52:02.400 --> 01:52:03.460]  Altogether, different title.
[01:52:03.900 --> 01:52:05.620]  Altogether, I think we make up the CEO.
[01:52:06.280 --> 01:52:06.580]  Sweet.
[01:52:07.060 --> 01:52:07.200]  Yep.
[01:52:07.380 --> 01:52:09.880]  So just a quarter of each of us is bad.
[01:52:10.300 --> 01:52:11.820]  It's like the worst Voltron.
[01:52:12.420 --> 01:52:12.620]  Yep.
[01:52:14.560 --> 01:52:15.820]  Is this Splitgate?
[01:52:16.580 --> 01:52:16.980]  Yeah.
[01:52:17.200 --> 01:52:18.780]  I hear I might like this game.
[01:52:18.940 --> 01:52:19.540]  We should play it.
[01:52:19.720 --> 01:52:22.460]  I read, like, I was so high on it.
[01:52:22.500 --> 01:52:23.180]  And then that guy.
[01:52:24.020 --> 01:52:27.860]  I'm going to need to weakly forget that that person exists, and then I'll be back in.
[01:52:28.640 --> 01:52:29.640]  Give it 15 minutes.
[01:52:29.720 --> 01:52:30.020]  You'll be all right.
[01:52:30.440 --> 01:52:34.240]  I'm going to buy you that make FPS great again hat.
[01:52:37.000 --> 01:52:41.080]  I would rather wear the red boots than the make FPS great again hat.
[01:52:41.220 --> 01:52:42.500]  Oh, God, yes, absolutely.
[01:52:44.080 --> 01:52:45.960]  Wow, Nick, you must be feeling pretty lucky right about now.
[01:52:46.480 --> 01:52:46.980]  What's going on?
[01:52:47.080 --> 01:52:47.180]  What?
[01:52:51.140 --> 01:52:51.620]  High five.
[01:52:51.960 --> 01:52:52.900]  I love the high five.
[01:52:53.400 --> 01:52:54.740]  How many players is it, Andrew?
[01:52:55.840 --> 01:52:57.740]  Uh, I don't know.
[01:52:57.820 --> 01:52:58.520]  It's quite a few.
[01:52:59.000 --> 01:52:59.980]  It's a team shooter.
[01:53:00.320 --> 01:53:01.460]  We could do like five of us.
[01:53:02.320 --> 01:53:02.640]  Possibly.
[01:53:03.040 --> 01:53:04.220]  It's definitely at least four.
[01:53:04.900 --> 01:53:05.860]  Yeah, it looks like four.
[01:53:08.140 --> 01:53:08.900]  It doesn't look like four.
[01:53:08.900 --> 01:53:09.740]  Yeah, I'm going to say it's four.
[01:53:10.300 --> 01:53:11.680]  So we can play it while Gavin's not around.
[01:53:13.120 --> 01:53:13.680]  Which is whatever.
[01:53:15.220 --> 01:53:16.120]  Oh, look, it's like Portal.
[01:53:16.280 --> 01:53:17.560]  I heard it's like Portal a little bit.
[01:53:21.800 --> 01:53:25.000]  I gotta be honest, the song choice is pretty poor.
[01:53:25.180 --> 01:53:26.260]  Oh, you know what we gotta play?
[01:53:27.140 --> 01:53:28.100]  In all seriousness?
