[00:00.000 --> 00:01.140]  Let's set sail.
[54:24.470 --> 54:26.090]  This music rules, by the way.
[54:29.230 --> 54:30.610]  I don't see anybody to kill.
[54:30.970 --> 54:31.210]  Ah!
[54:32.310 --> 54:33.210]  I think Nick found him.
[54:33.690 --> 54:34.630]  Yep, Nick found him.
[54:37.950 --> 54:40.070]  Oh, man, that guy just got stabbed in the back several times.
[54:40.070 --> 54:41.110]  Oh, I think I see the boss.
[54:41.670 --> 54:41.970]  Yeah?
[54:42.050 --> 54:42.910]  I thought I saw red text.
[54:43.290 --> 54:43.670]  What level?
[54:44.030 --> 54:44.490]  Like, what floor?
[54:44.970 --> 54:45.370]  Ow!
[54:46.030 --> 54:46.370]  Ow!
[54:46.870 --> 54:47.490]  Very top?
[54:47.590 --> 54:47.750]  Okay.
[54:48.170 --> 54:48.650]  Pippity top?
[54:50.570 --> 54:51.350]  Leave me be, prick.
[54:51.410 --> 54:51.590]  Here we go.
[54:53.090 --> 54:53.750]  All the way up.
[54:53.770 --> 54:54.290]  Here we go, boys.
[54:54.390 --> 54:54.630]  Let's do it.
[54:55.070 --> 54:55.810]  All the way up.
[54:56.250 --> 54:56.830]  Let's do it.
[54:57.550 --> 54:58.370]  Make sure you're eating.
[54:58.570 --> 54:59.570]  Make sure you're healing.
[54:59.630 --> 55:00.250]  He's right here, Andrew.
[55:00.370 --> 55:00.710]  There he is.
[55:01.010 --> 55:01.370]  We're coming.
[55:01.510 --> 55:01.730]  We're coming.
[55:01.930 --> 55:02.990]  Me and Geoff are right behind you guys.
[55:04.770 --> 55:06.090]  He keeps disappearing and reappearing.
[55:06.130 --> 55:06.850]  Well, we're up top.
[55:06.950 --> 55:07.450]  I don't see him.
[55:07.490 --> 55:07.650]  Yep.
[55:08.130 --> 55:08.530]  Got him.
[55:08.870 --> 55:09.270]  He's dead.
[55:09.870 --> 55:10.930]  So what do you think, Geoff?
[55:10.950 --> 55:12.010]  What do you think top floor means?
[55:12.130 --> 55:12.910]  I don't know.
[55:13.450 --> 55:14.810]  We were in the middle of the fight.
[55:15.010 --> 55:15.170]  Sorry.
[55:15.170 --> 55:15.410]  Sorry, yeah.
[55:15.490 --> 55:16.290]  It wasn't top top.
[55:16.430 --> 55:18.650]  It was second to the top.
[55:19.690 --> 55:20.870]  But I got the fortress key.
[55:21.070 --> 55:21.210]  Come on.
[55:21.370 --> 55:21.930]  Oh, hell yeah.
[55:24.170 --> 55:24.830]  Here we go.
[55:25.570 --> 55:26.210]  I'm with you, Andrew.
[55:28.030 --> 55:28.870]  Unlock the door.
[55:29.230 --> 55:29.830]  Wait a minute.
[55:30.770 --> 55:31.090]  Yay!
[55:32.050 --> 55:32.450]  Achievement.
[55:32.650 --> 55:33.930]  Oh, fuck yeah.
[55:33.990 --> 55:35.230]  Let's get this stuff.
[55:35.250 --> 55:36.110]  I got an achievement for that.
[55:37.830 --> 55:38.730]  Loads of money.
[55:38.770 --> 55:38.970]  It's like gold.
[55:40.310 --> 55:41.070]  Take a seat.
[55:41.430 --> 55:42.090]  I'm gonna do that.
[55:45.010 --> 55:46.590]  I got the Skull of the Damned.
[55:46.790 --> 55:49.450]  I guess it's not the Skull of the Damned, it's more like a Skull of the Damned.
[55:51.570 --> 55:53.530]  It's a Skull of some Damned.
[55:54.010 --> 55:55.350]  It's a Damned Skull.
[55:55.670 --> 55:57.030]  Yeah, a Skull of a Damned.
[55:58.810 --> 56:00.990]  So now let's just line everything up for that harpoon.
[56:01.330 --> 56:03.470]  Uh, let's get all the bags of gold, too.
[56:03.610 --> 56:05.230]  Why can't we take all the bags of gold, too?
[56:05.350 --> 56:06.170]  There's more stuff.
[56:06.250 --> 56:06.590]  Yeah, yeah, yeah.
[56:06.590 --> 56:07.550]  There's more stuff in here, too.
[56:07.610 --> 56:10.750]  If someone wants to go harpoon and start getting it going, that's fine.
[56:10.750 --> 56:12.050]  Villainous bounty skull.
[56:12.830 --> 56:13.970]  Uh, it's something worth taking.
[56:14.550 --> 56:15.730]  Yeah, absolutely we are.
[56:16.710 --> 56:18.630]  Beastie boys always on vacation.
[56:22.870 --> 56:24.270]  Oh, guys, open doors.
[56:24.270 --> 56:24.650]  Oh, here we go.
[56:26.270 --> 56:28.370]  God, it takes so long to open these fucking doors.
[56:28.450 --> 56:28.750]  There we go.
[56:29.110 --> 56:29.810]  Jesus Christ.
[56:30.670 --> 56:31.490]  Okay, got the gold pouch.
[56:31.530 --> 56:32.930]  Ooh, a crate of rare tea.
[56:34.730 --> 56:36.030]  Hey, captain's chest.
[56:36.290 --> 56:36.830]  Take this.
[56:38.650 --> 56:39.590]  This might be the best.
[56:40.170 --> 56:43.210]  I got a crate of exotic skills.
[56:43.670 --> 56:44.110]  Oh.
[56:44.330 --> 56:44.610]  Silks.
[56:44.810 --> 56:45.610]  Silks, probably.
[56:45.910 --> 56:46.530]  Is that what it was?
[56:46.750 --> 56:47.170]  Yeah.
[56:47.610 --> 56:48.290]  What do you mean, no?
[56:48.530 --> 56:49.170]  No, the skills.
[56:49.350 --> 56:50.590]  The skills are really exotic.
[56:50.870 --> 56:52.190]  What kind of skills did you learn, Eric?
[56:52.490 --> 56:52.930]  Skills.
[56:53.270 --> 56:54.810]  S-I-L-K-S.
[56:54.930 --> 56:55.690]  Skills, idiot.
[56:57.010 --> 56:57.730]  What'd you learn?
[56:58.010 --> 56:58.490]  Look at this.
[56:58.750 --> 56:59.830]  No, I didn't learn shit.
[57:00.130 --> 57:00.250]  Okay.
[57:00.970 --> 57:02.390]  Whoa, Andrew has the cannon?
[57:03.430 --> 57:04.450]  It's a portable cannon.
[57:04.570 --> 57:04.890]  It's new.
[57:04.990 --> 57:06.050]  I haven't really used it that much.
[57:06.090 --> 57:06.290]  Wow.
[57:06.290 --> 57:06.910]  That's awesome.
[57:06.910 --> 57:08.410]  The cannon gets hot with user damage.
[57:08.510 --> 57:09.830]  You manage the heat to avoid an explosion.
[57:10.110 --> 57:10.230]  Okay.
[57:10.890 --> 57:12.170]  There's one chest at my feet.
[57:12.570 --> 57:13.230]  You wanna grab that one?
[57:13.290 --> 57:13.430]  Yep.
[57:13.770 --> 57:14.190]  Got it.
[57:15.510 --> 57:16.150]  Captain's chest.
[57:16.510 --> 57:16.790]  We good?
[57:17.750 --> 57:20.730]  Have a look one more time just to do a sweep and then that might be it.
[57:21.350 --> 57:23.610]  Guys, I don't wanna speak out of turn here, but I might like this.
[57:23.850 --> 57:29.230]  This might be the best loot run anybody's ever had in the history of this game.
[57:29.270 --> 57:30.330]  It's real good.
[57:30.750 --> 57:32.230]  Oh, this isn't how it usually goes?
[57:32.390 --> 57:32.650]  No.
[57:32.830 --> 57:33.530]  No, it's...
[57:33.530 --> 57:34.210]  Oh, that's a bummer.
[57:34.230 --> 57:34.790]  Not when I play.
[57:34.790 --> 57:36.710]  This might be...
[57:36.710 --> 57:41.470]  This isn't all that not reflective of typical sessions that I've had.
[57:41.510 --> 57:41.830]  Now me!
[57:42.050 --> 57:42.230]  Ah!
[57:43.930 --> 57:44.770]  I got you.
[57:45.070 --> 57:45.830]  It worked.
[57:47.470 --> 57:49.430]  Our boat looks like shit.
[57:50.450 --> 57:51.390]  It took some damage.
[57:51.410 --> 57:51.910]  Well, it's not a rough day.
[57:52.190 --> 57:53.190]  Oh my god.
[57:55.230 --> 57:58.730]  Let's go southwest and we can... or just south actually.
[57:58.930 --> 57:59.490]  We're close.
[57:59.730 --> 58:00.250]  Let's just go south.
[58:00.790 --> 58:01.550]  We can cash out.
[58:02.650 --> 58:03.270]  Call it a day.
[58:03.970 --> 58:09.990]  How this works, Eric, is we have all this loot, but we don't get any credit for any of it until we sell it back.
[58:10.110 --> 58:10.930]  Oh my god.
[58:10.970 --> 58:12.790]  Okay, well, let's avoid fights.
[58:13.910 --> 58:14.570]  Don't say that.
[58:14.590 --> 58:16.110]  Steals everything, we lose everything.
[58:16.430 --> 58:18.430]  Okay, so anchor's up and we're away?
[58:18.810 --> 58:19.030]  Yep.
[58:19.610 --> 58:19.990]  Anchor's up.
[58:19.990 --> 58:21.190]  Oh, we had a little bump.
[58:21.370 --> 58:22.950]  I'll go... me and Nick will go check the bottom.
[58:23.070 --> 58:24.690]  Yeah, there seems to be water coming in.
[58:25.270 --> 58:25.550]  Yeah.
[58:27.470 --> 58:28.470]  There's the outpost.
[58:28.750 --> 58:29.290]  Where's a hole?
[58:29.830 --> 58:30.470]  I got it already.
[58:30.870 --> 58:31.870]  I see a player boat.
[58:32.630 --> 58:33.050]  No.
[58:34.010 --> 58:34.430]  What?
[58:34.530 --> 58:34.770]  No.
[58:34.990 --> 58:35.370]  No, no.
[58:35.450 --> 58:36.850]  No, you don't.
[58:36.950 --> 58:37.370]  Shut up.
[58:38.570 --> 58:39.530]  You heard the man, shut up.
[58:39.530 --> 58:40.010]  Where's the loot?
[58:40.290 --> 58:41.170]  It's coming this way.
[58:41.590 --> 58:41.810]  Where?
[58:42.050 --> 58:42.930]  No way.
[58:43.550 --> 58:43.970]  Where?
[58:51.130 --> 58:54.170]  We might be able to sell everything before they get to us.
[58:54.250 --> 58:55.130]  Yeah, let's do it.
[58:55.130 --> 58:56.070]  Let's do it.
[58:59.270 --> 59:02.270]  Because that outpost is literally the island in front of us.
[59:03.750 --> 59:05.230]  Do we need to re-angle them?
[59:06.090 --> 59:06.290]  Yeah.
[59:06.710 --> 59:07.690]  Sail length lowered.
[59:08.130 --> 59:08.710]  Sail's lowered.
[59:09.130 --> 59:10.250]  Lower them until they catch wind.
[59:10.490 --> 59:11.510]  Or change them until they catch wind.
[59:12.610 --> 59:14.090]  Wouldn't that be taking us the wrong direction though?
[59:14.950 --> 59:15.830]  Yeah, which way are we going?
[59:17.030 --> 59:19.250]  Going to the right of this island.
[59:23.990 --> 59:25.390]  And could you...
[59:25.390 --> 59:27.930]  We're going like backwards from where the wind's blowing.
[59:28.770 --> 59:30.670]  Yeah, that happens a lot in this game.
[59:30.930 --> 59:33.950]  Oh cool, it's everything I loved about Wind Waker. Awesome.
[59:36.470 --> 59:38.570]  This guy's positive and negative all over the place on this game.
[59:40.370 --> 59:42.490]  Well, he was like that about Wind Waker too.
[59:43.630 --> 59:45.970]  Yeah, I'm overall negative on Wind Waker.
[59:46.730 --> 59:47.070]  Oh really?
[59:47.430 --> 59:48.350]  I didn't like it.
[59:49.230 --> 59:50.450]  Hey, get in this boat.
[59:51.390 --> 59:51.890]  Uh, no.
[59:52.870 --> 59:55.350]  They fixed it on the HD remake or whatever.
[59:56.090 --> 59:57.490]  Brother, I ain't playing it again.
[59:57.490 --> 59:59.050]  We're getting pretty close to these rocks, Andrew.
[59:59.650 --> 01:00:01.430]  Yeah, you want to steer us a little right, Owen?
[01:00:01.650 --> 01:00:02.330]  Okay, I'll do it.
[01:00:03.850 --> 01:00:05.910]  Head right, hard right, hard right, hard right, hard right.
[01:00:06.230 --> 01:00:06.850]  Oh boy.
[01:00:07.130 --> 01:00:08.490]  We're alright. You're good. We got it.
[01:00:08.590 --> 01:00:09.170]  You good? Okay, cool.
[01:00:10.210 --> 01:00:10.930]  Yeah, that was good.
[01:00:13.490 --> 01:00:16.090]  Oh my god, please operate it. Yes, I don't know where we're going.
[01:00:16.470 --> 01:00:17.970]  Can you, uh...
[01:00:18.390 --> 01:00:19.830]  Do you want the angles changed or what?
[01:00:21.150 --> 01:00:22.910]  Let's start raising sails a little bit.
[01:00:23.930 --> 01:00:24.470]  Raising, okay.
[01:00:25.350 --> 01:00:25.850]  About halfway?
[01:00:26.770 --> 01:00:29.230]  Uh, let's take two sails fully up.
[01:00:29.430 --> 01:00:30.370]  I'll take the front one fully up.
[01:00:30.390 --> 01:00:32.730]  Okay, I'll bring...
[01:00:33.470 --> 01:00:34.390]  I'll leave mine down then.
[01:00:35.710 --> 01:00:39.110]  Right, right. They're bringing theirs all the way up. I'm leaving mine down.
[01:00:39.810 --> 01:00:40.010]  Okay.
[01:00:41.770 --> 01:00:43.130]  Is that what you want? You want something else?
[01:00:43.350 --> 01:00:45.750]  Yeah. No, we're good. Okay, let's do all sails up now.
[01:00:46.370 --> 01:00:46.890]  All sails up?
[01:00:50.910 --> 01:00:51.610]  All sails up?
[01:00:52.790 --> 01:00:55.430]  Yeah, Geoff wants to hit this button bad, so just let him know.
[01:00:57.970 --> 01:00:59.410]  Coming in looking good.
[01:01:00.010 --> 01:01:00.950]  Good work, boys.
[01:01:01.870 --> 01:01:02.590]  Great work.
[01:01:03.530 --> 01:01:04.690]  Okay, Geoff, lower anchor.
[01:01:07.090 --> 01:01:07.970]  Lowering anchor.
[01:01:10.910 --> 01:01:13.790]  Do we have to carry all this or can we...
[01:01:13.790 --> 01:01:15.930]  No, just leave it. I can harpoon it over.
[01:01:16.430 --> 01:01:17.270]  Oh, really?
[01:01:18.710 --> 01:01:19.510]  That's one set.
[01:01:20.030 --> 01:01:23.050]  Should we have two harpoon people harpoon it?
[01:01:24.870 --> 01:01:26.510]  Oh, uh, do not think he needs us.
[01:01:26.510 --> 01:01:27.170]  No.
[01:01:28.950 --> 01:01:29.410]  Hang on.
[01:01:29.430 --> 01:01:32.230]  So if you want to hop over here and you can start selling the stuff.
[01:01:34.690 --> 01:01:35.070]  Whoa!
[01:01:36.310 --> 01:01:38.290]  It took me over here. You harpooned me?
[01:01:39.110 --> 01:01:39.870]  Yep. Sorry.
[01:01:40.850 --> 01:01:44.650]  I was moving. There was like another chest that was like lower and then all of a sudden I was over here.
[01:01:45.390 --> 01:01:47.330]  Uh, what do we do to sell it?
[01:01:48.530 --> 01:01:49.510]  Just talk to this guy?
[01:01:49.870 --> 01:01:52.150]  Yeah, just grab it and then hand it to them.
[01:01:52.150 --> 01:01:54.030]  Oh, we have to pick it up.
[01:01:54.030 --> 01:01:56.250]  Yeah, you have to physically...
[01:01:58.630 --> 01:02:00.710]  And then give storage? Is that what it is?
[01:02:00.890 --> 01:02:00.970]  Yeah.
[01:02:02.510 --> 01:02:02.750]  Okay.
[01:02:03.170 --> 01:02:04.910]  There you go. Okay, now just keep doing that.
[01:02:05.090 --> 01:02:05.350]  Okay.
[01:02:09.610 --> 01:02:12.230]  No, don't talk to him. I don't care what he has to say. Give him the skull.
[01:02:14.930 --> 01:02:15.290]  Okay.
[01:02:16.130 --> 01:02:17.810]  You tried to do...
[01:02:20.190 --> 01:02:21.710]  Let's try to adjust it for you.
[01:02:22.790 --> 01:02:23.390]  One sec.
[01:02:23.390 --> 01:02:26.110]  One sec. Hold. Hold your fire, Geoff.
[01:02:27.450 --> 01:02:28.970]  Hold your fire, Geoff!
[01:02:33.950 --> 01:02:35.390]  I don't doubt it.
[01:02:36.350 --> 01:02:39.370]  I just... I assume what we're getting right here is...
[01:02:39.370 --> 01:02:41.310]  I assume we're getting like a lot of money.
[01:02:41.590 --> 01:02:42.990]  I assume this is like a lot of money.
[01:02:43.530 --> 01:02:44.790]  It's so much money, dude.
[01:02:46.150 --> 01:02:47.210]  Can I buy a pet?
[01:02:48.090 --> 01:02:50.050]  No, that's different money. That's real money.
[01:02:50.130 --> 01:02:50.510]  No!
[01:02:50.510 --> 01:02:50.950]  No!
[01:02:53.010 --> 01:02:53.870]  Just one more.
[01:02:56.930 --> 01:02:57.410]  Thank you.
[01:02:57.510 --> 01:02:58.390]  Alright, there we go. That's it, right?
[01:03:01.190 --> 01:03:03.090]  I'm about to get a deed of progress
[01:03:03.090 --> 01:03:04.510]  update thing where it's hand him
[01:03:04.510 --> 01:03:05.490]  25 things.
[01:03:06.150 --> 01:03:06.490]  Nice.
[01:03:10.800 --> 01:03:12.240]  Guys, unfortunately, I think we have to
[01:03:12.240 --> 01:03:13.480]  play this game more soon.
[01:03:13.860 --> 01:03:15.860]  I'm high three, man. I'm right there with you.
[01:03:17.700 --> 01:03:20.600]  I know Andrew doesn't want to play with us, but we'll have to.
[01:03:22.460 --> 01:03:23.320]  This is great.
[01:03:24.900 --> 01:03:26.400]  Ooh, here, have this thing of tea.
[01:03:26.540 --> 01:03:27.100]  Shit in.
[01:03:28.060 --> 01:03:30.380]  I gotta say, if Gavin were here, I don't think it would have
[01:03:30.380 --> 01:03:32.240]  gone this well. Oh yeah. No!
[01:03:32.560 --> 01:03:34.440]  Wait, are we selling the cannon or are we keeping it?
[01:03:34.660 --> 01:03:36.220]  Yeah, we can sell it. Uh, you gotta
[01:03:36.220 --> 01:03:38.640]  take it to the other side. Can't take it with you, Nick.
[01:03:38.840 --> 01:03:40.480]  If you want, you just drop it and I'll
[01:03:40.480 --> 01:03:42.160]  go sell it. Okay. Thank you.
[01:03:44.680 --> 01:03:46.040]  I'm giving this guy a lot of skulls.
[01:03:46.260 --> 01:03:48.460]  At least we can sell all this stuff to him. Usually, you gotta go run
[01:03:48.460 --> 01:03:49.560]  all over the fucking place.
[01:03:49.560 --> 01:03:52.020]  These guys are real fucking dancing, dude.
[01:03:54.120 --> 01:03:55.760]  Got a lot of skulls.
[01:03:56.000 --> 01:03:57.780]  This guy wants your skulls.
[01:03:58.660 --> 01:04:00.120]  He needs your skulls.
[01:04:00.160 --> 01:04:02.060]  Yeah, and when you die, he'll want yours for real.
[01:04:02.820 --> 01:04:03.740]  Alright, there you go.
[01:04:03.900 --> 01:04:04.940]  That's everything.
[01:04:05.820 --> 01:04:06.600]  So I have... Hell yeah.
[01:04:07.360 --> 01:04:09.320]  77,000... 78,000...
[01:04:09.960 --> 01:04:11.900]  Oh, it's still... Oh my god, it's
[01:04:11.900 --> 01:04:12.940]  still tallying up.
[01:04:13.620 --> 01:04:14.860]  Oh my god.
[01:04:15.240 --> 01:04:17.820]  Let it all cash out and then we'll get all our
[01:04:18.300 --> 01:04:19.380]  We'll shoot up.
[01:04:20.120 --> 01:04:21.060]  We'll shoot up?
[01:04:21.820 --> 01:04:22.520]  Oh, hell yeah.
[01:04:23.900 --> 01:04:24.880]  Let's fucking shoot up.
[01:04:26.800 --> 01:04:28.240]  I'm gonna have a seat in here.
[01:04:28.540 --> 01:04:29.540]  Sure has.
[01:04:30.180 --> 01:04:31.140]  Our wallets have it.
[01:04:31.640 --> 01:04:33.400]  Oh, the wallets are looking fat.
[01:04:33.680 --> 01:04:34.960]  Well, now we can buy a new boat.
[01:04:35.420 --> 01:04:38.360]  Yeah, next time we play,
[01:04:38.440 --> 01:04:39.280]  we should customize it.
[01:04:41.440 --> 01:04:42.480]  I can't believe
[01:04:42.480 --> 01:04:44.240]  Louie costs actual money. That sucks.
[01:04:45.540 --> 01:04:46.880]  Louie was a Twitch drop.
[01:04:46.880 --> 01:04:49.160]  Oh, really? Damn it.
[01:04:49.480 --> 01:04:50.760]  A Twitch drop.
[01:04:51.100 --> 01:04:52.100]  I think we're getting close.
[01:04:52.980 --> 01:04:55.100]  Here we go, 428. I think that's all
[01:04:55.100 --> 01:04:56.620]  the gold. Now let's see that rep.
[01:04:57.900 --> 01:04:59.200]  Let's get those numbers
[01:04:59.200 --> 01:05:01.200]  going up. What do we... What do we do?
[01:05:01.720 --> 01:05:02.420]  We'll just sit here.
[01:05:03.060 --> 01:05:05.000]  This is catching up in the bottom of your screen.
[01:05:05.140 --> 01:05:07.060]  British Jackals earned milestone class
[01:05:07.060 --> 01:05:09.340]  one and treasure sold to the Merchant Alliance.
[01:05:10.100 --> 01:05:11.000]  I don't... Nothing's
[01:05:11.000 --> 01:05:13.080]  popping up on my screen. You earned milestone class
[01:05:13.080 --> 01:05:14.700]  one and treasure sold to the Sovereigns.
[01:05:14.700 --> 01:05:16.180]  You guys aren't getting this? Nope.
[01:05:18.620 --> 01:05:21.240]  British Jackals earned milestone class
[01:05:21.240 --> 01:05:22.940]  eight in gold earned. Eric,
[01:05:23.020 --> 01:05:24.300]  you know what's going to be a real mother?
[01:05:24.800 --> 01:05:27.080]  Is when we find out that we had to activate
[01:05:27.080 --> 01:05:28.560]  something to get credit for it. Oh, yeah.
[01:05:28.920 --> 01:05:29.360]  100%.
[01:05:31.460 --> 01:05:33.200]  Let's make sure you're in the guild.
[01:05:33.400 --> 01:05:35.020]  Not that... You don't lose anything
[01:05:35.020 --> 01:05:36.620]  for not being in it.
[01:05:37.740 --> 01:05:38.400]  How do I do this?
[01:05:39.240 --> 01:05:40.380]  Guild emotes. Guild invite.
[01:05:41.080 --> 01:05:43.240]  Here. You guys interact with this.
[01:05:43.240 --> 01:05:45.200]  Interact with...
[01:05:45.200 --> 01:05:47.300]  You are already in this guild.
[01:05:48.340 --> 01:05:49.180]  Join guild.
[01:05:49.720 --> 01:05:51.260]  Wait, did you just take it away before I joined it?
[01:05:51.560 --> 01:05:53.540]  That's pretty cool. Right on.
[01:05:54.060 --> 01:05:54.460]  Here we go.
[01:05:59.430 --> 01:06:00.530]  I'm going to join your guild.
[01:06:00.990 --> 01:06:02.730]  Success. There we go.
[01:06:03.710 --> 01:06:03.970]  Okay.
[01:06:04.850 --> 01:06:05.990]  I'm getting so much stuff.
[01:06:07.490 --> 01:06:09.290]  I did it. Thank you, Andrew. Merchant Alliance
[01:06:09.290 --> 01:06:11.310]  reputation increased. I don't...
[01:06:12.470 --> 01:06:13.370]  Does that reset
[01:06:13.370 --> 01:06:15.690]  at some point, Andrew? No. Seasonally
[01:06:15.690 --> 01:06:17.810]  or something? Okay. No. That does not.
[01:06:18.230 --> 01:06:19.590]  Uh, so it doesn't seem
[01:06:19.590 --> 01:06:21.470]  like you got pop-ups, but if you guys hit start
[01:06:21.470 --> 01:06:23.330]  and then go to pirate log. Yeah.
[01:06:23.930 --> 01:06:25.410]  And then click reputation.
[01:06:25.930 --> 01:06:27.750]  Yeah. You should see what your numbers
[01:06:27.750 --> 01:06:29.530]  are now for like what levels. How much
[01:06:29.530 --> 01:06:31.630]  you leveled up and all that in each of these factions.
[01:06:31.810 --> 01:06:34.110]  Oh! Builders, crew, the build rats.
[01:06:34.490 --> 01:06:35.750]  I have build rats
[01:06:36.210 --> 01:06:37.330]  and... I don't know.
[01:06:37.990 --> 01:06:39.590]  You should have gold hoarders and...
[01:06:40.350 --> 01:06:41.730]  Order of Souls.
[01:06:42.790 --> 01:06:44.230]  Merchant Alliance 7.
[01:06:44.390 --> 01:06:45.930]  Gold hoarders 7.
[01:06:46.250 --> 01:06:47.910]  Nice. Yeah. What's your
[01:06:47.910 --> 01:06:48.930]  highest number, Andrew?
[01:06:50.130 --> 01:06:52.010]  Uh, I think I'm 129
[01:06:52.010 --> 01:06:53.670]  in one. Jesus Christ.
[01:06:53.890 --> 01:06:55.850]  That's crazy. Do you get something for doing this?
[01:06:56.510 --> 01:06:57.670]  Uh, you get...
[01:06:57.670 --> 01:06:59.890]  The ability to like unlock new quests
[01:06:59.890 --> 01:07:02.090]  and like outfits
[01:07:02.090 --> 01:07:02.850]  and that type of thing.
[01:07:03.350 --> 01:07:06.250]  Guys, this was a great sailing adventure.
[01:07:06.450 --> 01:07:08.130]  Yes, it was. I had so much fun.
[01:07:08.870 --> 01:07:09.930]  Can't wait to do this again.
[01:07:10.390 --> 01:07:12.210]  Thank you all so much for watching.
[01:07:12.430 --> 01:07:14.230]  Hope you enjoyed it. Make sure to check out our
[01:07:14.230 --> 01:07:15.690]  Patreon at the Regulation Pod.
[01:07:16.090 --> 01:07:18.090]  Got podcasts, Let's Plays as you
[01:07:18.090 --> 01:07:19.990]  clearly know. All sorts of stuff.
[01:07:20.510 --> 01:07:21.350]  We'll talk to you soon.
[01:07:22.110 --> 01:07:24.130]  Bye! Guys, congratulations. I think we passed
[01:07:24.130 --> 01:07:26.250]  Andrew's audition. You sure did!
[01:07:26.310 --> 01:07:27.490]  We get to play Sea of Thieves again. This is great!
[01:07:27.750 --> 01:07:29.570]  Wow! Hooray!
[01:07:30.610 --> 01:07:31.570]  We did it?
[01:07:32.390 --> 01:07:34.230]  We did it! Bye!
