[00:01.280 --> 00:02.060]  You all right, Gavin?
[15:42.970 --> 15:43.670]  Is this...
[15:43.670 --> 15:44.730]  Hit the dice block.
[15:44.970 --> 15:47.450]  We should post a clip of Andrew hurting me from...
[15:48.010 --> 15:49.370]  Sorry about that.
[15:50.050 --> 15:50.450]  Sorry?
[15:51.210 --> 15:51.990]  He's not sorry.
[15:52.610 --> 15:53.690]  I am, I didn't mean to hit him.
[15:55.150 --> 15:56.810]  I'm just gonna dive off the couch peacefully.
[15:57.710 --> 15:58.650]  Look at you, six coins.
[15:59.350 --> 15:59.770]  What is it?
[15:59.850 --> 16:00.510]  Oh, here's another one.
[16:00.690 --> 16:01.250]  Oh, okay.
[16:03.630 --> 16:04.770]  Wow, you're getting lucky.
[16:05.590 --> 16:06.130]  Yeah, no kidding.
[16:06.290 --> 16:06.730]  So far.
[16:07.650 --> 16:08.030]  Ooh!
[16:08.410 --> 16:09.310]  An item bag!
[16:09.310 --> 16:09.670]  Ooh!
[16:11.010 --> 16:12.530]  Dude, Morse bag.
[16:13.710 --> 16:14.350]  Let's see what you got.
[16:14.410 --> 16:14.850]  Let's see.
[16:14.910 --> 16:15.890]  Put him in my bag!
[16:16.430 --> 16:16.810]  Dice.
[16:16.990 --> 16:17.890]  Nice, and a mushroom.
[16:19.370 --> 16:20.250]  Super creepy!
[16:23.890 --> 16:25.010]  Okay, another mushroom.
[16:25.030 --> 16:25.470]  You got two shrooms.
[16:29.490 --> 16:30.330]  I'll take that.
[16:34.410 --> 16:35.770]  I just need to...
[16:35.770 --> 16:35.970]  Hey, use your item.
[16:36.410 --> 16:37.090]  Not roll a one.
[16:37.190 --> 16:38.450]  I don't think I'm gonna use the item yet.
[16:38.450 --> 16:39.850]  I don't think I'm gonna do it.
[16:39.930 --> 16:40.330]  Roll a one.
[16:40.810 --> 16:41.610]  Please, not a one!
[16:41.830 --> 16:41.870]  One.
[16:42.050 --> 16:42.950]  Please, not a one!
[16:43.230 --> 16:43.250]  One!
[16:44.230 --> 16:44.690]  Seven!
[16:45.490 --> 16:47.210]  Gavin with the first star!
[16:47.410 --> 16:48.210]  Like a one.
[16:48.990 --> 16:49.450]  Wait!
[16:49.730 --> 16:50.110]  Lose money!
[16:51.030 --> 16:52.550]  You lost five coins!
[16:54.650 --> 16:55.110]  Terrible.
[16:56.390 --> 16:58.390]  Still, he hits you so hard.
[16:58.770 --> 16:59.830]  Eric was showing me the clip.
[17:00.090 --> 17:01.310]  He hits you so hard.
[17:01.510 --> 17:03.590]  He just swan dives right on you.
[17:05.090 --> 17:06.870]  Thank God I didn't lose more.
[17:06.930 --> 17:08.190]  I thought you were gonna lose more!
[17:08.450 --> 17:09.050]  You suck.
[17:09.270 --> 17:10.090]  That would've been awesome.
[17:10.230 --> 17:11.210]  I would've loved that.
[17:11.430 --> 17:11.730]  Holy shit.
[17:11.730 --> 17:12.910]  I would've taken that all day long.
[17:12.910 --> 17:15.630]  So what percentage had me as the first star?
[17:16.390 --> 17:17.330]  Let's find out.
[17:19.110 --> 17:20.210]  Where did that bet go?
[17:23.670 --> 17:24.390]  It's up there?
[17:24.510 --> 17:24.630]  Okay.
[17:25.390 --> 17:26.450]  I think you have to hit A, Gavin.
[17:26.810 --> 17:27.090]  It's alright.
[17:28.650 --> 17:29.730]  I was like, why isn't it showing?
[17:32.630 --> 17:33.430]  Okay, so...
[17:33.430 --> 17:35.250]  Gavin had 29%.
[17:35.250 --> 17:35.990]  Oh shit!
[17:36.550 --> 17:36.570]  Yeah!
[17:36.570 --> 17:37.150]  Yes!
[17:37.610 --> 17:39.810]  If this mof takes the star...
[17:39.810 --> 17:40.190]  Hell yeah!
[17:40.750 --> 17:41.270]  Take the star!
[17:41.950 --> 17:43.790]  Take it, take it, take it, take it, take it.
[17:43.890 --> 17:45.310]  Take it, Bowser!
[17:46.090 --> 17:46.870]  Take it, Bowser!
[17:47.370 --> 17:47.870]  Take that star!
[17:49.470 --> 17:49.870]  Oh!
[17:51.310 --> 17:52.130]  Damn it.
[17:53.530 --> 18:01.290]  The purple towelette and 278 others won 638,000 regulation points.
[18:01.450 --> 18:01.670]  Wow!
[18:01.670 --> 18:02.450]  Oh my God.
[18:02.530 --> 18:04.050]  Oh, there's like a trove somewhere?
[18:04.230 --> 18:05.450]  Oh, that's behind his cage?
[18:05.450 --> 18:06.330]  The vault?
[18:06.870 --> 18:06.990]  His cage!
[18:07.590 --> 18:09.450]  When do we find out some...
[18:10.330 --> 18:12.010]  I bet it's...
[18:12.010 --> 18:13.950]  The hammer bro seems to be guarding.
[18:13.970 --> 18:15.050]  It's probably 1, 2, 3, 4.
[18:16.210 --> 18:18.910]  I also pinned the clip of Andrew doing a swan dive.
[18:19.210 --> 18:19.670]  Thank you.
[18:20.430 --> 18:22.650]  Yeah, no problem. So people can grab that if they want.
[18:26.010 --> 18:26.770]  That is one!
[18:28.550 --> 18:28.970]  Ten!
[18:29.790 --> 18:31.010]  Nope, that's not ten.
[18:31.850 --> 18:32.310]  Oh yeah.
[18:32.950 --> 18:33.770]  It's half a ten.
[18:33.910 --> 18:34.590]  Which way will you go?
[18:34.590 --> 18:35.850]  Oh, you're gonna switch the direction?
[18:35.990 --> 18:36.250]  Go down.
[18:38.170 --> 18:39.590]  It'll just send you right back.
[18:39.710 --> 18:40.190]  Nah, I'm good.
[18:40.950 --> 18:41.090]  Okay.
[18:41.310 --> 18:42.050]  Might as well just go.
[18:43.410 --> 18:43.770]  Yeah.
[18:44.670 --> 18:45.370]  Might as well.
[18:45.630 --> 18:46.570]  Might as well.
[18:48.190 --> 18:51.390]  Ooh, is this our first team game here?
[18:52.030 --> 18:52.310]  Yep.
[18:52.770 --> 18:53.410]  Plan G.
[18:53.890 --> 18:54.610]  Plan G.
[18:54.610 --> 18:55.430]  Nick, we got this.
[18:55.990 --> 18:56.770]  We got this.
[18:57.290 --> 18:59.210]  Dude, just so many gifted subs today.
[18:59.430 --> 19:00.130]  Thank you guys so much.
[19:00.370 --> 19:01.130]  Thank you so much.
[19:01.970 --> 19:02.470]  Thank y'all.
[19:02.470 --> 19:03.930]  Yeah, appreciate everyone coming through today.
[19:04.310 --> 19:05.210]  Celebrating the anniversary.
[19:05.370 --> 19:06.010]  This has been a lot of fun.
[19:06.210 --> 19:06.770]  Oh yes.
[19:06.910 --> 19:07.590]  Oh no!
[19:08.750 --> 19:09.590]  Yeah, this is good.
[19:09.730 --> 19:10.370]  Oh no.
[19:10.990 --> 19:14.610]  What happened on the 30 turn where it was just like you guys couldn't get on the same page?
[19:14.610 --> 19:19.870]  I was just, it was early for my brain and I could not process at a certain point.
[19:19.890 --> 19:21.450]  What time is it there, Andrew?
[19:21.910 --> 19:22.250]  10?
[19:22.410 --> 19:23.210]  9.43.
[19:23.910 --> 19:24.990]  Might still be early enough.
[19:25.270 --> 19:25.730]  Oh, we're good.
[19:27.990 --> 19:29.150]  Better just leave it just like this.
[19:29.350 --> 19:29.490]  Yeah.
[19:30.150 --> 19:30.850]  No, why would you...
[19:36.410 --> 19:36.770]  Yes!
[19:38.710 --> 19:39.070]  Well...
[19:40.450 --> 19:41.910]  I thought you were going to do something, Nick.
[19:42.850 --> 19:43.990]  I thought you were going to do something.
[19:44.190 --> 19:44.930]  You know what?
[19:45.190 --> 19:45.950]  That's on us.
[19:46.850 --> 19:47.210]  Together.
[19:47.470 --> 19:49.390]  Alright, there's no way we can be hit by this if...
[19:49.390 --> 19:49.630]  Yeah.
[19:50.370 --> 19:50.750]  We're good.
[19:57.380 --> 19:57.620]  Oh!
[20:00.540 --> 20:00.900]  Yeah!
[20:06.920 --> 20:07.820]  Good job, Nick.
[20:08.380 --> 20:08.740]  Great!
[20:08.740 --> 20:10.160]  We got a victory!
[20:11.400 --> 20:12.560]  Oh my god.
[20:15.740 --> 20:16.180]  Alright.
[20:16.660 --> 20:17.260]  Locked in.
[20:17.760 --> 20:19.040]  Geoff, I'm not going to move.
[20:19.660 --> 20:20.540]  You know what to do.
[20:21.520 --> 20:22.240]  I'm going to move.
[20:23.040 --> 20:23.360]  Fuck.
[20:23.780 --> 20:24.160]  Yes!
[20:24.640 --> 20:25.180]  Oh shit.
[20:25.280 --> 20:25.960]  Sorry, I tried.
[20:26.100 --> 20:26.920]  I wasn't able to get up.
[20:26.920 --> 20:27.500]  No, it's alright.
[20:27.640 --> 20:27.920]  It's alright.
[20:28.160 --> 20:28.480]  It's alright.
[20:29.500 --> 20:30.100]  Oh no!
[20:33.140 --> 20:34.020]  Oh shit.
[20:39.450 --> 20:40.330]  Yeah, well I'll die.
[20:43.700 --> 20:44.690]  Oh my god.
[20:45.130 --> 20:46.110]  What?
[20:47.740 --> 20:48.230]  Guys.
[20:48.870 --> 20:49.170]  Guys.
[20:51.570 --> 20:54.390]  What in the world?
[20:55.090 --> 20:55.410]  I'll take that.
[20:56.310 --> 20:56.750]  Alright.
[20:57.230 --> 20:57.650]  Nobody move.
[21:08.960 --> 21:09.620]  Yes!
[21:11.760 --> 21:14.300]  Maybe I wasn't the problem on that side.
[21:14.480 --> 21:15.960]  You guys suck.
[21:17.700 --> 21:19.320]  Oh brother.
[21:23.380 --> 21:23.820]  Man.
[21:28.220 --> 21:28.660]  Nick!
[21:29.540 --> 21:29.980]  Wait.
[21:30.460 --> 21:30.760]  No!
[21:31.320 --> 21:31.660]  What?
[21:31.840 --> 21:32.560]  Why did I do that?
[21:32.620 --> 21:33.680]  I don't know.
[21:34.660 --> 21:36.420]  Andrew, you weren't the problem.
[21:36.420 --> 21:36.600]  I miss Adam.
[21:36.820 --> 21:37.220]  I miss Adam.
[21:39.280 --> 21:40.480]  Nick has so much noon.
[21:40.520 --> 21:40.800]  Yeah!
[21:42.100 --> 21:43.120]  I didn't sleep well.
[21:43.620 --> 21:43.940]  That's fair.
[21:52.180 --> 21:52.880]  Oh my god!
[21:52.880 --> 21:53.480]  I hit the button twice!
[21:53.900 --> 21:54.500]  There we go, we're fine.
[21:54.820 --> 21:55.260]  Oh!
[21:55.600 --> 21:55.920]  We're fine.
[21:56.660 --> 21:57.020]  Fuck.
[21:57.020 --> 21:57.700]  Wow.
[21:57.940 --> 21:58.480]  Is that it?
[21:58.660 --> 21:59.000]  Yeah.
[21:59.720 --> 22:00.120]  Well.
[22:00.920 --> 22:02.020]  Yeah, we did it!
[22:02.140 --> 22:02.440]  Hell yeah.
[22:02.440 --> 22:02.740]  Damn it.
[22:03.060 --> 22:05.400]  I take responsibility, Andrew.
[22:05.500 --> 22:06.020]  That's okay.
[22:06.260 --> 22:06.660]  Master's class.
[22:06.680 --> 22:07.660]  Because I made mistakes too.
[22:07.940 --> 22:08.780]  Market manipulation.
[22:09.820 --> 22:11.680]  Look, it just says birthday on it.
[22:12.740 --> 22:13.660]  Can't see the happy.
[22:13.760 --> 22:14.160]  Birthday!
[22:15.140 --> 22:15.340]  Birthday!
[22:15.340 --> 22:17.080]  It's not a happy birthday, but it is a birthday.
[22:17.240 --> 22:18.240]  Oh, you just get to keep the coins.
[22:18.340 --> 22:18.820]  Okay, well.
[22:19.840 --> 22:20.640]  No change.
[22:20.840 --> 22:23.580]  I'll tell you what, I'm not getting the minigame star.
[22:24.000 --> 22:25.580]  Dilkong has 50 coins.
[22:26.360 --> 22:27.640]  I got a coin or two.
[22:29.000 --> 22:30.580]  Lay down a good space or two.
[22:32.680 --> 22:33.760]  Where you going, Montyball?
[22:34.560 --> 22:37.120]  Going in raw was wild on that turn, dude.
[22:40.200 --> 22:42.720]  Does it feel like they walk slower on these ramps?
[22:43.560 --> 22:44.440]  It does feel that way.
[22:44.740 --> 22:45.920]  Another item bag?
[22:47.280 --> 22:47.760]  Ooh.
[22:48.880 --> 22:49.120]  Let's do it.
[22:49.520 --> 22:51.220]  There's gonna be peanut M&Ms in that thing.
[22:53.860 --> 22:55.260]  They're everywhere, Andrew.
[22:55.260 --> 22:56.060]  They're everywhere.
[22:56.280 --> 22:58.260]  Oh, star steel.
[22:58.580 --> 22:59.060]  Goddamn.
[22:59.220 --> 22:59.980]  That was quick.
[23:02.280 --> 23:03.240]  Shop up.
[23:08.930 --> 23:09.890]  Turn four.
[23:10.250 --> 23:13.430]  It's so nice to see the new turn number and not have to quit the game.
[23:13.610 --> 23:13.850]  Yeah!
[23:15.910 --> 23:18.150]  Yeah, we're four days into this recording already.
[23:23.070 --> 23:27.490]  As you guys are playing this and everything, how was it going back to Achievement City?
[23:28.170 --> 23:28.690]  Oh, yeah.
[23:29.130 --> 23:29.790]  It was crazy.
[23:29.990 --> 23:33.390]  Well, firstly, it all loads at the same time now.
[23:33.630 --> 23:34.970]  Yeah, the game is very different.
[23:35.330 --> 23:41.030]  The draw distance is the entire city, which makes it seem really small.
[23:41.310 --> 23:42.670]  Yeah, that was the first thing.
[23:43.730 --> 23:46.770]  It's like going back to your childhood bedroom as an adult and going,
[23:47.010 --> 23:48.050]  how did I fit in here?
[23:48.150 --> 23:49.850]  It's like when I go back to Waitrose and I'm like,
[23:49.890 --> 23:52.330]  oh, it used to be so big and intimidating and now it's tiny.
[23:55.230 --> 23:56.210]  Where am I going?
[23:58.370 --> 23:59.530]  Classic board looker.
[24:00.890 --> 24:02.270]  At least we can see it this time.
[24:02.730 --> 24:02.950]  It's true.
[24:03.130 --> 24:04.850]  Oh, Crucified Donkey five gifted.
[24:05.170 --> 24:06.690]  Thank you so much, Crucified Donkey.
[24:07.350 --> 24:08.790]  Crucified Donkey's back, baby.
[24:10.570 --> 24:11.310]  Crucified Donkey.
[24:11.370 --> 24:12.430]  I was telling my wife about that.
[24:12.490 --> 24:13.310]  Crucified Donkey.
[24:13.610 --> 24:15.330]  Nevertheless, hugs McJugs.
[24:15.690 --> 24:18.130]  Fucking Schindler's Fist.
[24:19.610 --> 24:20.450]  Get him, Gavin.
[24:21.310 --> 24:21.630]  Oh!
[24:22.410 --> 24:23.130]  That should be enough.
[24:25.070 --> 24:25.890]  Yeah, four beat him.
[24:26.890 --> 24:28.010]  That was only three.
[24:28.430 --> 24:28.990]  Good job.
[24:30.090 --> 24:30.370]  Yeah.
[24:32.170 --> 24:33.950]  I feel like I'm playing Expedition 33.
[24:36.270 --> 24:37.450]  Did you ever beat that?
[24:37.970 --> 24:40.050]  No, I'm still like 90% of the way done.
[24:40.610 --> 24:41.770]  Still stuck on that one, dude.
[24:42.150 --> 24:43.410]  Yeah, I just haven't gotten back to it.
[24:43.930 --> 24:45.130]  You guys are trapped.
[24:45.330 --> 24:45.870]  This is hell.
[24:46.670 --> 24:48.390]  How do I open that door that's there?
[24:49.690 --> 24:50.290]  You gotta go around.
[24:50.470 --> 24:51.270]  I think you circle back.
[24:51.590 --> 24:52.330]  Oh, piss.
[24:53.670 --> 24:54.310]  I'm gonna get a drink.
[24:54.310 --> 24:55.930]  What are you gonna get?
[24:56.050 --> 24:56.510]  White Monster?
[24:56.670 --> 24:57.210]  A little sody.
[24:57.350 --> 24:57.850]  Anyone want one?
[24:58.310 --> 24:59.090]  I'd love one.
[25:00.130 --> 25:00.770]  What do you want, Nick?
[25:00.910 --> 25:01.810]  The Dr. Pepper, please.
[25:02.410 --> 25:02.910]  Oh, fuck.
[25:02.950 --> 25:03.370]  Jesus.
[25:03.830 --> 25:05.450]  The mannequin scared me.
[25:06.610 --> 25:07.590]  All right, you're unmuted now.
[25:08.370 --> 25:10.670]  Granny Gumjob 69, 10 gifted.
[25:10.990 --> 25:11.410]  Wow.
[25:11.930 --> 25:13.070]  Granny Gumjob.
[25:13.370 --> 25:13.950]  Love it.
[25:16.130 --> 25:18.790]  Oh, and Nick says happy birthday to all the MILFs out there.
[25:19.270 --> 25:19.470]  Yeah.
[25:20.370 --> 25:21.030]  Oh, yeah.
[25:21.370 --> 25:21.770]  Whoa!
[25:22.590 --> 25:22.890]  Okay.
[25:24.190 --> 25:25.770]  What do you mean?
[25:26.470 --> 25:27.610]  I might as well own it.
[25:28.670 --> 25:30.510]  Gerpol's Glug Race, 10 gifted.
[25:32.150 --> 25:33.150]  Thank you so much.
[25:33.510 --> 25:35.410]  The Waistler, 5 gifted.
[25:35.430 --> 25:36.590]  You put it just out of reach.
[25:37.350 --> 25:39.730]  I went in there and immediately got scared by the mannequins.
[25:39.870 --> 25:40.010]  Yeah.
[25:41.790 --> 25:43.150]  That was me coming in this morning.
[25:45.630 --> 25:47.270]  Thanks for getting scared by those.
[25:47.310 --> 25:48.130]  I was really hoping for that.
[25:48.150 --> 25:49.550]  Oh, you mission accomplished.
[25:51.370 --> 25:52.170]  Oh, more golf.
[25:52.170 --> 25:52.830]  I'm not here yet, is he?
[25:52.930 --> 25:53.130]  Oh!
[25:53.410 --> 25:55.170]  My Joy-Con was on some peanut M&Ms.
[25:55.250 --> 25:55.850]  Come on!
[25:55.970 --> 25:56.370]  They're everywhere!
[25:57.930 --> 25:59.010]  Bust those open.
[25:59.510 --> 26:01.350]  Vintage Booty, Sneezes Christ.
[26:01.790 --> 26:02.890]  Thank you for the gifted.
[26:03.250 --> 26:04.010]  Sneezes Christ.
[26:04.010 --> 26:04.330]  Oh, no.
[26:04.470 --> 26:05.370]  Sneezes Christ.
[26:05.810 --> 26:06.530]  Sneezes Christ.
[26:07.470 --> 26:08.210]  Sneezes Christ.
[26:08.710 --> 26:09.050]  All right.
[26:09.150 --> 26:10.050]  I'm feeling good.
[26:10.930 --> 26:13.030]  Uncle Kai, the gang's all here.
[26:13.270 --> 26:14.170]  Do it on the night.
[26:17.840 --> 26:21.540]  Thank you for the gifted sub, Granny Gumjob 69.
[26:26.020 --> 26:27.740]  Otterly Chaotic's here, so is the rest of the gang.
[26:27.820 --> 26:30.400]  We really appreciate you guys being here as these idiots try to play golf.
[26:30.540 --> 26:31.020]  Look at them go.
[26:31.140 --> 26:31.460]  There we go.
[26:32.240 --> 26:34.220]  Roll, you piece of shit!
[26:37.420 --> 26:39.640]  How come nobody's urge to kill is rising?
[26:39.780 --> 26:40.500]  It's risen!
[26:42.800 --> 26:43.200]  No!
[26:46.660 --> 26:49.740]  Four, three, two, one!
[26:50.800 --> 26:51.400]  Get it off!
[26:51.540 --> 26:52.540]  Fuck it off!
[26:53.540 --> 26:54.700]  Thank you, Concus Boncus.
[26:56.780 --> 27:00.000]  We did just record golf with your friends not too long ago.
[27:00.620 --> 27:00.860]  Stop pissing me off!
[27:01.260 --> 27:02.800]  It's sort of like this.
[27:02.920 --> 27:03.520]  Ah, damn it.
[27:04.060 --> 27:05.240]  Well, it went about this way.
[27:08.420 --> 27:09.500]  I jumped right off.
[27:09.860 --> 27:10.640]  Get in there.
[27:10.820 --> 27:11.500]  Oh, you teased it.
[27:12.560 --> 27:14.020]  Zigzagging Centaur Bicycle.
[27:14.560 --> 27:16.540]  You can name yourself anything on this website.
[27:17.600 --> 27:18.400]  Damn it!
[27:18.500 --> 27:19.060]  Damn it!
[27:19.280 --> 27:20.380]  I'm freaking out!
[27:21.760 --> 27:22.240]  Shit!
[27:24.380 --> 27:25.860]  Get in the hole, Geoff!
[27:26.080 --> 27:26.400]  Yeah!
[27:29.080 --> 27:30.120]  Dillkong victory!
[27:32.360 --> 27:33.620]  Dillkong's doing really well.
[27:33.780 --> 27:34.340]  He's good at golf.
[27:35.260 --> 27:36.020]  Back to back!
[27:36.780 --> 27:37.100]  Okay.
[27:38.340 --> 27:40.240]  Oh, he did it!
[27:40.420 --> 27:41.340]  I got you!
[27:41.620 --> 27:42.220]  I got you!
[27:42.740 --> 27:44.260]  You thought I wasn't gonna do it!
[27:45.780 --> 27:49.000]  Hey, we got ten gifted subs from Shittison Kane.
[27:49.540 --> 27:50.980]  Thank you, Shittison Kane.
[27:51.020 --> 27:51.520]  Thank you!
[27:53.540 --> 27:55.020]  Should we get an airbag, Patrick?
[27:55.140 --> 27:55.320]  Yeah.
[27:55.480 --> 27:56.200]  For all those crashes.
[27:56.380 --> 27:58.200]  Yeah, we gotta get like a pillow for him or something.
[27:58.520 --> 27:59.160]  Jesus Christ.
[27:59.740 --> 28:02.040]  Oh, she's in the danger zone, man.
[28:02.120 --> 28:02.660]  It's Peach!
[28:02.960 --> 28:03.160]  Peach!
[28:04.820 --> 28:06.100]  You guys are awesome.
[28:06.240 --> 28:06.840]  This is great.
[28:06.980 --> 28:10.200]  And eight minutes until we launch everything on the store.
[28:10.200 --> 28:10.660]  Eight minutes?
[28:10.940 --> 28:11.340]  Wow!
[28:11.580 --> 28:14.200]  Yep, so maybe after this turn we'll have a little sit-down.
[28:14.240 --> 28:14.520]  Yeah!
[28:15.180 --> 28:17.900]  A little sit-down while you're seated.
[28:19.880 --> 28:21.320]  Maybe we'll have a little stand-up.
[28:21.460 --> 28:21.860]  Ooh!
[28:22.820 --> 28:24.200]  And don't forget...
[28:24.200 --> 28:24.680]  You got a type 5?
[28:25.240 --> 28:28.020]  Ratty Boy shirts are on sale now.
